keyword,rank,app,developer,appstore_url,rating,ratings_count,updated
affirmations,1,I am - Daily Affirmations,Monkey,https://apps.apple.com/us/app/id40046538165,4.60,5K*,6 days ago
affirmations,2,Motivation - Daily quotes,Monkey,https://apps.apple.com/us/app/id40046322405,4.38,4.9K*,8 days ago
affirmations,3,Mantra - Daily Affirmations,Broftware,https://apps.apple.com/us/app/id280072473626,4.62,169*,4 months ago
affirmations,4,Affirmations for You,Appcano,https://apps.apple.com/us/app/id334432603195,4.54,100*,2 months ago
affirmations,5,Daily Affirmations and Widgets,Learning,https://apps.apple.com/us/app/id338482320674,4.62,104,7 days ago
affirmations,6,Gratitude: Self-Care Journal,Hapjoy,https://apps.apple.com/us/app/id280709706388,4.67,37*,6 days ago
affirmations,7,Manifest & Affirmations - Soul,Matthew,https://apps.apple.com/us/app/id336972383035,4.74,69,5 months ago
affirmations,8,Manifesting - My Affirmations,Gloryck,https://apps.apple.com/us/app/id338507353866,5.00,1,4 months ago
affirmations,9,Self Love - Daily Affirmations,Ravi,https://apps.apple.com/us/app/id334836611418,4.57,28,20 days ago
affirmations,10,Unique Daily Affirmations,Gopher,https://apps.apple.com/us/app/id6519296,3.53,26*,10 days ago
