keyword,rank,app,appstore_url,rating,ratings_count
dashcam,1,Dazz Cam - Vintage Camera,https://apps.apple.com/us/app/,4.73,1.8K*
dashcam,2,DashCam Recorder,https://apps.apple.com/us/app/,2.71,9*
dashcam,3,Viidure,https://apps.apple.com/us/app/,4.47,389*
dashcam,4,Driver: Driving & Dash Cam App,https://apps.apple.com/us/app/,2,194
dashcam,5,Peztio,https://apps.apple.com/us/app/,4.84,62*
dashcam,6,Rove Dash Cam,https://apps.apple.com/us/app/,9,613
dashcam,7,Droid Dashcam - Video Recorder,https://apps.apple.com/us/app/,NA,NA
dashcam,8,VeeCar,https://apps.apple.com/us/app/,4.77,31*
dashcam,9,DashCam: Mobile Drive Recorder,https://apps.apple.com/us/app/,NA,NA
dashcam,10,Dash Cam: Dashcam Recorder,https://apps.apple.com/us/app/,4.29,149*
