keyword,rank,app,appstore_url,rating,ratings_count
escape room,1,Room Escape: 50 rooms I,https://apps.apple.com/us/app/,4.62,357*
escape room,2,50 Tiny Room Escape,https://apps.apple.com/us/app/,4,5234
escape room,3,Escape Rooms: Room Escape,https://apps.apple.com/us/app/,4.89,21*
escape room,4,Rooms & Exits: Puzzle Escape,https://apps.apple.com/us/app/,2,1554
escape room,5,Escape Room: Strange Case,https://apps.apple.com/us/app/,4.73,37*
escape room,6,100 Doors - Escape from Prison,https://apps.apple.com/us/app/,4.88,18*
escape room,7,Escape Room:Can you escape?,https://apps.apple.com/us/app/,2.00,19*
escape room,8,Room Escape Game-EXiTS-,https://apps.apple.com/us/app/,4.50,15*
escape room,9,Can You Escape,https://apps.apple.com/us/app/,4.75,6*
escape room,10,Escape Room Collection,https://apps.apple.com/us/app/,4.44,16*
