keyword,rank,app,developer,appstore_url,rating,ratings_count,category,updated
gratitude,1,Gratitude Plus - Journal Social,Redwheel,https://apps.apple.com/us/app/id281147116017,4.87,1.3K,Health & Fitness,7 days ago
gratitude,2,Gratitude: Self-Care Journal,Hapjoy,https://apps.apple.com/us/app/id280709706388,4.67,37*,Health & Fitness,6 days ago
gratitude,3,Gratitude Jar Positive Habit,Karen,https://apps.apple.com/us/app/id334452671783,4.00,3*,Lifestyle,8 months ago
gratitude,4,I am - Daily Affirmations,Monkey,https://apps.apple.com/us/app/id40046538165,4.60,5K*,Health & Fitness,6 days ago
gratitude,5,5 Minute Journal,Intelligent,https://apps.apple.com/us/app/id61651305313,4.72,58,Health & Fitness,2 days ago
gratitude,6,Good Things gratitude journal,Oatmeal,https://apps.apple.com/us/app/id280953381098,5.00,1,Health & Fitness,10 months ago
gratitude,7,Morning! - Gratitude Journal,Adriana,https://apps.apple.com/us/app/id281236706899,,,Lifestyle,3 years ago
gratitude,8,Bloom: Daily Gratitude Journal,Aaron,https://apps.apple.com/us/app/id338555887562,,,Health & Fitness,2 months ago
gratitude,9,Daily Gratitude Affirmations,Fancygames,https://apps.apple.com/us/app/id335243711947,,,Lifestyle,4 years ago
gratitude,10,Grateful: A Gratitude Journal,Kodeon,https://apps.apple.com/us/app/id280079022607,,,Lifestyle,3 months ago
