keyword,rank,app,developer,appstore_url,rating,ratings_count,category,updated
habit tracker,1,Habit Tracker Goal & ADHD Planner,InnerGrow,https://apps.apple.com/us/app/id281146970874,4.73,1.5K*,Productivity,13 days ago
habit tracker,2,Finch: Self-Care Pet,Finch,https://apps.apple.com/us/app/id334267546954,4.94,12.3K,Health & Fitness,4 days ago
habit tracker,3,HabitKit,Sebastian,https://apps.apple.com/us/app/id335832412120,4.83,89*,Productivity,4 days ago
habit tracker,4,Habit OK,Develife,https://apps.apple.com/us/app/id338306657277,3.33,3,Productivity,3 months ago
habit tracker,5,Onrise: Habit Tracker,Maximilian,https://apps.apple.com/us/app/id333918158105,4.66,31*,Productivity,3 days ago
habit tracker,6,Productive - Habit Tracker,Mosaic,https://apps.apple.com/us/app/id41308458642,3.00,25*,Productivity,5 months ago
habit tracker,7,Routine Planner Routinery,Routinery,https://apps.apple.com/us/app/id281143416778,4.63,286,Productivity,4 days ago
habit tracker,8,Atoms - from Atomic Habits,Atomic,https://apps.apple.com/us/app/id337227759454,4.88,74,Productivity,6 months ago
habit tracker,9,Habit Tracker Daily Goals,Uniqo,https://apps.apple.com/us/app/id337444706484,4.92,109,Productivity,4 months ago
habit tracker,10,Grit: Daily Habit Tracker,GrittyApps,https://apps.apple.com/us/app/id336744099256,4.64,459,Productivity,25 days ago
