keyword,rank,app,developer,appstore_url,rating,ratings_count,category,updated,released
journaling,1,Journal (Apple),Apple,https://apps.apple.com/us/app/id337063484894,4.74,11.7K,Health & Fitness,9 months ago,3 years ago
journaling,2,Sol - Inner Growth,Sol,https://apps.apple.com/us/app/id281614276775,4.00,9*,Health & Fitness,10 days ago,7 years ago
journaling,3,Day One: Daily Journal,Bloom,https://apps.apple.com/us/app/id42060940525,4.79,488,Health & Fitness,9 days ago,11 years ago
journaling,4,DailyBean - simplest journal,BlueSignum,https://apps.apple.com/us/app/id334013770767,4.76,291,Lifestyle,6 days ago,5 years ago
journaling,5,My Diary - Journal with Lock,BetterApp,https://apps.apple.com/us/app/id334367022904,4.62,186*,Lifestyle,5 days ago,5 years ago
journaling,6,stoic. journal & mental health,Stoic,https://apps.apple.com/us/app/id280495517980,4.72,273,Health & Fitness,21 days ago,9 years ago
journaling,7,Diary With Password No Ads,?,https://apps.apple.com/us/app/id280289220453,4.72,121*,Productivity,17 days ago,9 years ago
journaling,8,Planner & Journal - Zinnia,Pixite,https://apps.apple.com/us/app/id281977993597,4.66,692,Lifestyle,14 days ago,7 years ago
journaling,9,Gratitude: Self-Care Journal,Hapjoy,https://apps.apple.com/us/app/id280709706388,4.67,37*,Health & Fitness,6 days ago,8 years ago
journaling,10,Prompted Journal - Shadow Work,Oatmeal,https://apps.apple.com/us/app/id280948831738,,,Lifestyle,a year ago,8 years ago
