keyword,rank,app,appstore_url,rating,ratings_count
rummy,1,Rummy - Classic Card Game,https://apps.apple.com/us/app/,4.78,2.5K
rummy,2,Gin Rummy Plus - Fun Card Game,https://apps.apple.com/us/app/,4.85,196*
rummy,3,Rummy classic rummy card game,https://apps.apple.com/us/app/,0,15
rummy,4,Gin Rummy,https://apps.apple.com/us/app/,4.61,374*
rummy,5,Rummy 500 - Card Game,https://apps.apple.com/us/app/,4.87,4.4K
rummy,6,Gin Rummy Stars - Card Game,https://apps.apple.com/us/app/,4.91,670*
rummy,7,Rummy Fun & Friends,https://apps.apple.com/us/app/,4.73,48*
rummy,8,Rummy 500,https://apps.apple.com/us/app/,4.89,117*
rummy,9,Rummikub,https://apps.apple.com/us/app/,2,2124
rummy,10,Gin Rummy Best Card Game,https://apps.apple.com/us/app/,4.75,353*
