keyword,rank,app,appstore_url,rating,ratings_count
tennis,1,Tennis Clash: Sports Stars Game,https://apps.apple.com/us/app/,4.76,1.3K*
tennis,2,Tennis World Open 2026 - Sport,https://apps.apple.com/us/app/,4.70,103*
tennis,3,Tennis Arena,https://apps.apple.com/us/app/,4.76,97*
tennis,4,TNNS: Tennis Live Scores,https://apps.apple.com/us/app/,2.00,4*
tennis,5,Retro Slam Tennis,https://apps.apple.com/us/app/,3.43,8*
tennis,6,Ping Pong Fury: Table Tennis,https://apps.apple.com/us/app/,4.64,124*
tennis,7,TennisPAL: Find Players Nearby,https://apps.apple.com/us/app/,NA,1*
tennis,8,Mini Tennis: Perfect Smash,https://apps.apple.com/us/app/,4.17,24*
tennis,9,Hit Tennis 3,https://apps.apple.com/us/app/,4.42,21*
tennis,10,Stick Tennis,https://apps.apple.com/us/app/,4.50,12
tennis,11,SwingVision: Tennis Pickleball,https://apps.apple.com/us/app/,4.86,97
tennis,12,Mario Kart Tour,https://apps.apple.com/us/app/,4.42,810*
tennis,13,Cross Court Tennis 3,https://apps.apple.com/us/app/,4.50,13*
tennis,14,Tennis TV - Live Streaming,https://apps.apple.com/us/app/,3.00,5*
tennis,15,Tennis Champs Returns,https://apps.apple.com/us/app/,4.25,6*
