keyword,rank,app,developer,appstore_url,rating,ratings_count,updated
yoga,1,Yoga | Down Dog,Yoga Buddhi,https://apps.apple.com/us/app/id41497407587,4.77,186*,14 days ago
yoga,2,Bend: Stretching & Flexibility,Bowery,https://apps.apple.com/us/app/id293899931414,4.77,1.2K,4 days ago
yoga,3,Yoga Fit | Yoga for Beginners,Fast Builder,https://apps.apple.com/us/app/id280762028064,4.57,65*,a month ago
yoga,4,Yoga for Beginners Pilates+,Leap Health,https://apps.apple.com/us/app/id334415603711,4.88,60*,2 months ago
yoga,5,Glo | Yoga and Meditation,YogaGlo,https://apps.apple.com/us/app/id41928964405,1.67,9*,4 days ago
yoga,6,Daily Yoga: Fitness & Wellness,PhoeniXcel,https://apps.apple.com/us/app/id213895575,4.39,66*,5 days ago
yoga,7,Yoga Studio: Stretch on the Go,Fit For Life,https://apps.apple.com/us/app/id213701289,4.30,14*,6 months ago
yoga,8,Yoga Time: For Beginners,Yoga Collective,https://apps.apple.com/us/app/id282131307435,4.50,13*,5 years ago
yoga,9,Pocket Yoga,Rainfrog,https://apps.apple.com/us/app/id6038858,4.22,10*,8 months ago
yoga,10,Yoga-Go: Tai Chi & Pilates,WELLTECH,https://apps.apple.com/us/app/id280709017483,3.65,77*,7 days ago
