source_keyword,related_keyword,popularity,competitiveness,total_results
75 day challenge,atomic habits,9,64,
75 day challenge,75 hard tracker,25,49,
75 day challenge,75 day hard challenge,5,46,
75 day challenge,75 day soft challenge,5,52,
75 day challenge,75 challenge,5,52,
75 day challenge,70 days challenge,5,40,
75 day challenge,45 day challenge,5,49,
75 day challenge,75 soft challenge,34,60,
75 day challenge,100 day challenge,5,51,
75 day challenge,75 hard challenge,41,53,
75 day challenge,75 soft,6,60,
75 day challenge,28 days challenge,5,40,
75 day challenge,21 days challenge,5,62,
