source_keyword,related_keyword,popularity,competitiveness
astrology,astro,47,70
astrology,costar,62,72
astrology,astrotalk,56,45
astrology,astra,57,70
astrology,horoskop,29,68
astrology,sternzeichen,29,67
astrology,astrology horoscope,27,74
astrology,birth chart,6,77
astrology,human design,9,74
astrology,star sign,12,72
hydration,water tracker,54,88
hydration,waterminder,43,80
hydration,water drinking app,24,77
hydration,water tracker free,30,77
hydration,hydrow,21,42
hydration,hydratation,19,43
hydration,water,53,95
posture,posture corrector,5,47
posture,fix posture,5,40
posture,improve posture,5,43
posture,posture exercises,5,40
