source_keyword,related_keyword,popularity,competitiveness
badminton,badminton fitness,5,40
badminton,badminton workout,5,40
badminton,badminton training,5,50
badminton,badminton scorer,6,46
badminton,badminton tracker,NA,46
badminton,badminton scoring,5,51
badminton,badminton card value finder,5,42
badminton,badminto,5,90
badminton,badminton scoire,5,NA
badminton,badminton log,5,NA
badminton,badminton tournament,5,32
badminton,badminton scorekeeper,5,40
badminton,pure badminton,5,NA
badminton,badminton finder,5,NA
badminton,badminton lessons,5,NA
badminton,badminton tactics guide,NA,40
badminton,badminton score,5,56
badminton,score keeper badminton,5,38
badminton,badminton score keeper,5,NA
badminton,badminton stats,5,NA
badminton,badminton planner,5,86
badminton,badminton ai,5,NA
badminton,badminton court booking,5,NA
badminton,badminton scoreboard,10,55
badminton,badminton score tracker,5,NA
