source_keyword,related_keyword,popularity,competitiveness
bird identifier,merlin bird id,62,81
bird identifier,birda,39,66
bird identifier,bird call identifier,42,74
bird identifier,chirp,49,87
bird identifier,picture bird,5,63
bird identifier,bird sound identifier,8,72
bird identifier,merlin bird id by cornell lab,5,64
bird identifier,identify birds,5,79
garden planner,garden,49,78
garden planner,gartenplaner,9,37
garden planner,landscape design,6,79
garden planner,vegetable garden planner,5,65
garden planner,garden designer,5,54
garden planner,square foot gardening,5,57
garden planner,garden layout,5,55
