source_keyword,related_keyword,popularity,competitiveness
bowling,vegas,8,88
bowling,strike,50,82
bowling,bolong,5,56
bowling,bowling game,26,59
bowling,bolwing,5,56
bowling,action bowling rolling,5,32
bowling,bowling finder,5,NA
bowling,bowling figures,5,NA
bowling,league bowling,5,NA
bowling,bowling strike,5,53
bowling,bowling training,5,NA
bowling,bowling statistics,5,46
bowling,bowling game free,5,40
bowling,skyline%20bowling,5,32
bowling,bowling league,5,66
bowling,bolig,5,43
bowling,skyline bowling,5,66
bowling,bowling log book,NA,40
bowling,bowling games,34,44
bowling,bowling scores,5,60
bowling,bowling coach,5,58
bowling,bowling with friends,5,52
bowling,bowlling game,5,56
bowling,bowling handicap,5,NA
bowling,bowling king,25,98
