source_keyword,related_keyword,popularity,competitiveness,total_results
cleaning schedule,fly lady,8,53,
cleaning schedule,housework,5,56,
cleaning schedule,chores,32,77,
cleaning schedule,sweepy,8,84,
cleaning schedule,home tasker,5,59,
cleaning schedule,cleaning schedules,5,49,
cleaning schedule,Cleaning plan,5,57,
cleaning schedule,Cleaning tasks,5,41,
cleaning schedule,house cleaning schedule,5,56,
cleaning schedule,home cleaning schedule,5,46,
cleaning schedule,cleaning,47,77,
cleaning schedule,Cleaning Reminder,5,52,
cleaning schedule,Cleaning motivation,5,42,
cleaning schedule,Cleaning chart,5,47,
