source_keyword,related_keyword,popularity,competitiveness
cricket,cricat,5,57
cricket,mycricket,49,NA
cricket,circket,5,55
cricket,cricet,5,50
cricket,cricket finder,5,42
cricket,cricket game,8,55
cricket,cricket online,5,NA
cricket,cricket stats,5,NA
cricket,cricket voicemail,5,NA
cricket,my cricket app,52,86
cricket,cricket offline,5,NA
cricket,cricket info,5,NA
cricket,cricket unlock,5,NA
cricket,cricket run,NA,92
cricket,cricket mazza 11,9,NA
cricket,crickets,5,60
cricket,cricket wireless llc,NA,NA
cricket,cricket visual,5,51
cricket,cricket mobile,5,NA
cricket,cricket champions,5,61
cricket,cricket king,5,NA
cricket,cricket run counter,NA,42
cricket,cricket phone,5,NA
cricket,cricket free trial,5,NA
cricket,crocket,9,59
