source_keyword,related_keyword,popularity,competitiveness,total_results
diabetes tracker,diabetes app,33,67,
diabetes tracker,mysugr,9,55,
diabetes tracker,glucose,5,80,
diabetes tracker,sugarmate,5,64,
diabetes tracker,diabetic tracker,5,74,
diabetes tracker,diabetes sugar tracker,5,67,
diabetes tracker,a1c tracker,5,68,
diabetes tracker,diabetes log,5,51,
diabetes tracker,glucose blood sugar tracker,15,73,
diabetes tracker,insulin tracker,5,68,
diabetes tracker,glucose tracker,5,77,
diabetes tracker,blood glucose tracker,5,51,
diabetes tracker,diabetes log book,5,55,
