source_keyword,related_keyword,popularity,competitiveness,total_results
gratitude,diary,51,67,
gratitude,journal,61,92,
gratitude,journaling,7,79,
gratitude,mood tracker,5,74,
gratitude,mental health,49,87,
gratitude,gratitude journal,33,75,
gratitude,daily,37,97,
gratitude,morning,16,59,
gratitude,affirmations,38,89,
gratitude,depression,8,75,
gratitude,3 good things,5,46,
gratitude,vision board,7,100,
gratitude,stoic,43,60,
gratitude,grateful,7,62,
gratitude,affirmation,5,89,
gratitude,affirmation reminder,5,84,
gratitude,manifest,43,83,
gratitude,manifest affirmations,5,87,
gratitude,journaling for mental health,9,64,
