source_keyword,related_keyword,popularity,competitiveness
hockey,big win,9,59
hockey,hockey games,43,59
hockey,ice hockey,9,57
hockey,hot shot hockey,5,NA
hockey,hockey u,5,NA
hockey,astonishing hockey 21,5,20
hockey,hockey play maker,5,48
hockey,carte hockey,6,NA
hockey,at home hockey drills for kids,5,40
hockey,hockey skills,5,44
hockey,professional women's hockey,5,53
hockey,field hockey plays,5,40
hockey,hockey goal light,5,58
hockey,hockey practice,5,54
hockey,hockey playbook,5,45
hockey,heads up hockey,5,40
hockey,underwater hockey scoreboard,5,NA
hockey,hockey app,5,54
hockey,hockey collector,5,56
hockey,hockey log,NA,NA
hockey,hockey ice,5,44
hockey,coach board hockey,5,28
hockey,hockey value,5,44
hockey,hockey lessons,5,NA
hockey,hockey horns,5,52
