source_keyword,related_keyword,popularity,competitiveness,total_results
journal,tagebuch,43,45,
journal,paper,56,93,
journal,anxiety,6,98,
journal,diary,51,67,
journal,scrapbook,6,100,
journal,moleskin,5,47,
journal,journaling,7,87,
journal,journal app,9,84,
journal,mood tracker,5,74,
journal,journaling app,5,75,
journal,gratitude,6,81,
journal,the five minute journal,5,72,
journal,daily,37,97,
journal,morning,16,59,
journal,video diary,5,67,
journal,5 minute journal,6,78,
journal,bullet journal,9,75,
journal,journal intime,5,57,
journal,bipolar mood tracker,5,62,
journal,stoic,43,60,
journal,penbook,5,50,
journal,daily journal,5,44,
