source_keyword,related_keyword,popularity,competitiveness
journal prompts,journal,61,92
journal prompts,journey,47,64
journal prompts,daily,37,97
journal prompts,reflect,40,57
journal prompts,bullet journal,9,75
journal prompts,mindfulness journal,5,47
journal prompts,therapy journal,5,72
journal prompts,shadow work,26,58
journal prompts,shadow work journal,5,54
shadow work,shadow work,26,58
shadow work,reflect,40,57
shadow work,shadowwork,5,45
shadow work,shadow self,5,47
atomic habits,habit,53,96
atomic habits,routine,43,96
atomic habits,atoms,6,70
atomic habits,habitkit,9,66
habit streaks,habit streak,5,83
habit streaks,habit stacking,5,44
habit streaks,habit stacks,5,52
habit streaks,habit forest,5,46
habit streaks,habit tracker weekly,5,49
