source_keyword,related_keyword,popularity,competitiveness
kite,turkish,7,93
kite,schulte table,5,52
kite,prosperi,5,42
kite,helldivers,5,81
kite,kite spot,5,NA
kite,kite surfing,5,65
kite,kiteboarding wind,5,NA
kite,lightning kite llc,5,NA
kite,kitesurf,16,79
kite,kitesurfing,5,77
kite,kite forecast,5,62
kite,kitesurfing spot guide,5,40
kite,kite fighting,5,61
kite,kitesur,5,66
kite,kite flying,5,54
kite,kite boarding,5,NA
kite,kitesurf forecast,5,69
kite,flight kite,5,NA
kite,kiteen weight,5,40
kite,windsurf,5,70
kite,windsruf,5,NA
kite,kiteboarding,5,72
kite,kites ply,5,NA
kite,windsurfing,5,76
kite,kite surf,5,NA
