source_keyword,related_keyword,popularity,competitiveness
light meter,posemètre,6,38
light meter,lux light meter,5,47
light meter,lightme,9,54
light meter,photone,9,46
light meter,lghtmtr,5,35
light meter,light measurer,5,61
light meter,pro light meter,5,56
light meter,light meter analog,5,40
light meter,light meter photo,5,40
light meter,light meter pro,5,70
light meter,illumination meter,5,39
light meter,brightness meter,5,65
light meter,luminance meter,5,40
light meter,par light meter,5,43
light meter,cine light meter,5,39
light meter,light meter free,5,40
light meter,Luminometer,5,47
light meter,lighting meter,5,51
light meter,photo light meter,5,68
light meter,grow light meter,5,51
light meter,flash meter,5,66
light meter,light meter camera,5,66
light meter,lux meter free,5,40
