source_keyword,related_keyword,popularity,competitiveness
parrot,prompter,7,94
parrot,parrot games,5,46
parrot,parrot translator,6,54
autism tracker,autism 360,5,29
autism tracker,autism helper,5,47
autism tracker,autism experts,5,32
autism tracker,autism routine,5,48
autism tracker,aspergers,5,41
succulent,plant,50,90
succulent,succulents,5,54
succulent,succulent care,5,84
succulent,plant reminders,5,47
succulent,succulent care guide,5,43
orchid,orchid care,5,76
orchid,orchid tracker,5,44
orchid,orchid reminder,5,—
flower identifier,plant identifier,54,79
flower identifier,tree identifier,30,92
flower identifier,plant identification free,30,84
flower identifier,plant scanner,9,63
flower identifier,flower identification,5,94
aquarium fish,aquarium games,29,51
aquarium fish,fish tank,5,51
aquarium fish,aquarium keeping,5,43
