source_keyword,related_keyword,popularity,competitiveness
mma,boxing games,43,62
mma,sports,60,98
mma,slap kings,5,50
mma,world mma,5,74
mma,pl mma,5,87
mma,mma pl,5,89
mma,mma unlimited,5,NA
mma,live mma,5,44
mma,mma fighting,5,59
mma,mma athletics,5,47
mma,mma log,5,NA
mma,mma cup,5,85
mma,ufc 308,5,46
mma,mma callout app,5,NA
mma,mma korner 2,5,NA
mma,mma-d,5,NA
mma,mma live,5,79
mma,athletics mma,5,40
mma,mma official app,5,NA
mma,mma league,5,42
mma,efl mma,NA,40
mma,mma women,5,40
mma,rodtang,5,40
mma,mma sim,5,NA
mma,mma vienna,NA,NA
