source_keyword,related_keyword,popularity,competitiveness
parkour,vector,54,84
parkour,the floor is lava,33,53
parkour,parcours,28,73
parkour,getting over it,45,76
parkour,паркур,41,46
parkour,mysejahtera,5,87
parkour,Parkour app,5,44
parkour,parkour game,5,59
parkour,parkour map,5,45
parkour,parkour runner,5,60
parkour,parkour training,5,55
parkour,parkour%20games,5,39
parkour,parkour craft,5,30
parkour,parkour%20game,5,33
parkour,parkour roblox,5,NA
parkour,obby parkour,46,84
parkour,only up parkour,5,48
parkour,crazy parkour,5,47
parkour,obby survive parkour,NA,NA
parkour,parkour games,31,59
parkour,asmr parkour,5,70
parkour,Craft Parkour: 3D Blocky Race,5,44
parkour,parkour race - freerun game,5,49
parkour,par coeur,5,49
parkour,mega parkour: obby escape run,5,NA
