source_keyword,related_keyword,popularity,competitiveness,total_results
pickleball,padel,39,62,
pickleball,pickleball partners,5,62,
pickleball,pickelball,5,62,
pickleball,pickleball coach,5,55,
pickleball,pickleball ladder,5,49,
pickleball,pickleheads,8,66,
pickleball,swish pickleball,9,60,
pickleball,pickleball courts,5,52,
pickleball,pickleball training,5,50,
pickleball,pickleball trainer,5,44,
pickleball,pickleball league,5,54,
pickleball,pickleball groups,5,47,
pickleball,pickleball stats,5,50,
pickleball,pickleball open play,5,53,
pickleball,playtime scheduler for pickleball,34,28,
pickleball,pickleball expert training,5,40,
