source_keyword,related_keyword,popularity,competitiveness,total_results
sleep tracker,sleep watch,8,80,
sleep tracker,free sleep apps,9,82,
sleep tracker,autosleep,45,89,
sleep tracker,sleepzy,5,74,
sleep tracker,white noise,63,95,
sleep tracker,auto sleep,35,86,
sleep tracker,snorelab,39,61,
sleep tracker,better sleep,50,92,
sleep tracker,sleep talk recorder,5,73,
sleep tracker,schlaftracker,40,84,
sleep tracker,loona,9,50,
sleep tracker,baby sleep tracker,27,79,
sleep tracker,rise sleep,8,63,
sleep tracker,snoring,6,80,
sleep tracker,shuteye sleep tracker sounds,8,64,
