source_keyword,related_keyword,popularity,competitiveness,total_results
stoic journal,stoicism,5,57,
stoic journal,shadow work journal,5,54,
stoic journal,stoicism journal,5,47,
stoic journal,stoic reflection,5,49,
stoic journal,stoic mind,5,55,
stoic journal,stoic. ,5,52,
stoic journal,stoic meditations,5,53,
stoic journal,stoa: daily stoic philosophy,5,43,
stoic journal,daily stoic practice,5,50,
stoic journal,stoic app,5,49,
stoic journal,daily stoic journal,5,51,
stoic journal,stoic meditation,5,52,
stoic journal,stoic mindset,5,49,
stoic journal,stoic philosophy,5,58,
stoic journal,shadow work,5,54,
