keyword,popularity,competitiveness
commics,5,81
comic,49,93
comic book,29,86
comico,46,79
comic geeks,6,74
comic database,5,52
comics guide,5,NA
comicbook,5,84
free comics,5,97
comic book database,5,49
read comics,10,77
comix,19,85
comics kids,5,40
comics catalog,5,NA
whakoom: organize your comics!,5,NA
comic pricing,5,58
comic app,5,NA
comic book price guide,5,56
league of comic geeks,5,61
comic inventory,5,47
comic price,5,59
comic prices,5,56
comic book identifier,5,55
comic book value,5,65
comic catalog,5,52
