keyword,popularity,competitiveness
weatherx,5,75
migrain tracker,5,52
migraines tracker,5,54
free migraine tracker,5,73
migraine tracker.,5,NA
migraine tracker free,5,73
migraine tracking,5,74
migraine tracker headache,NA,52
migraine triggers tracker,5,52
headache-tracker-migraine,5,70
migraine buddy,7,77
migraine track,5,80
headache tracker: migraine,5,76
migrain pattern tracker,5,NA
migraine headache tracker,5,NA
migraine forecast,5,73
track migraine,5,77
headache tracker migraine pain,5,57
migrainetracker,5,NA
migraine tracker app,5,NA
headache tracker calendar,NA,40
migraine trigger tracker,5,NA
migraine diary,5,78
migraines,5,77
migraine log,5,84
