keyword,ranked,exact_title,avg_score,min_score,fresh_updated,top_titles
"bodyweight workout","10","2","4.57","4.00","0","Home Workout - No Equipment | Madbarz - Bodyweight Workouts | Freeletics: Fitness Workouts | Bodyweight Workout at Home | Caliverse - Bodyweight Fitness | Bodyweight Warrior | Hybrid Calisthenics - Fitness | Bodyweight by Mark Lauren | Calistree: home & gym workouts | Thenx: Calisthenics Training"
"kettlebell workout","10","4","4.59","4.17","0","Kettlebell Home Workout | Kettlebell | KBMH - Kettlebell Workouts | Kettlebell Training App | Pro Kettlebell Workouts | KETTLEBELL MONSTER™ | Kettlebell Workout Wizard — WO | AFFit Kettlebell Workouts | KETTLEBELL FUNCTIONAL TRAINING | Kettlebell Sport: Rep Counter"
"resistance band workout","10","4","4.00","2.47","0","Resistance Band Training App | Resistance Bands by Fitify | Resistance Band Exercises | Resistance Band Workout by GFT | Rubber Bands | Resistance Band Workout App | Mini Band Exercises | Resistance Band Workouts | Resistance Band Workout Plan | Workout with resistance bands"
"dumbbell workout","10","2","4.70","4.36","0","Dumbbell Workout at Home | Dumbbell Workout at Home & Gym | Dumbbell Home Workout | Dumbbell & Barbell Workouts | Dumbbell Training App | Muscle Booster Workout Planner | Muscle Monster Workout Planner | Barbell Workout at Home & Gym | Gym Exercises & Workouts | Fitbod: Workout & Gym Planner"
"calisthenics app","10","0","4.58","4.00","0","Calisteniapp: Workout Programs | Hybrid Calisthenics - Fitness | Thenics: Calisthenics Coach | Calistree: home & gym workouts | Thenx: Calisthenics Training | Calitracker: Calisthenics Log | Sport Is My Game: Calisthenics | CaliQuest: Calisthenics Quest | Simple Calisthenics Workouts | Calisthenics Workout - CalistX"
"stretching for splits","10","0","4.51","4.07","0","Splits Training in 30 Days | Split - Stretches at home | Splits. Stretching in 30 days | Bend: Stretching & Flexibility | Splits Training Challenge | Splits & Flexibility Coach | Splits, Spagat in 30 Days | Stretch Exercise - Flexibility | Splits in 30 Days - Stretching | Do the Splits in 30 Days"
"yoga for back pain","10","0","4.56","4.27","0","Back Pain Relief Yoga at Home | Back pain relief exercises | Lower Back Pain Exercises | Straight Posture－Back exercise | Bend: Stretching & Flexibility | Perfect Posture - Back Workout | Low Back Workout – Pain relief | Lower Back Pain Relief & Fix | Back Pain Exercises - By Dr.Op | Back Workout & Posture Fix"
"yoga for pregnancy","10","0","3.91","2.85","0","Prenatal Yoga | Down Dog | MomsLab: Pregnancy & Postnatal | Prenatal Pregnancy Yoga Pilate | Eve: Prenatal & Postnatal Yoga | Pregnancy Tracker Yoga - NIX | Pregnancy Workouts | Pregnancy Workout Program | Prenatal Yoga Poses | Elara: Pregnancy Yoga Tracker | PregActive Pregnancy Exercise"
"meditation for sleep","10","0","4.63","4.26","0","Medito: Meditation & Sleep | Calm - Sleep, Meditate, Relax | Headspace: Sleep & Meditation | Aura: Meditation & Sleep, CBT | Insight Timer - Meditation App | Balance: Meditation & Sleep | Let's Meditate: Relax & Sleep | Relax & Sleep Well Hypnosis | Lojong: Meditation & Sleep | Serenity: Guided Meditation"
"meditation for anxiety","10","0","4.59","4.25","0","Calm - Sleep, Meditate, Relax | Insight Timer - Meditation App | Headspace: Sleep & Meditation | Serenity: Guided Meditation | Simple Habit: Meditation | Medito: Meditation & Sleep | The Mindfulness App | Happier Meditation | Lojong: Meditation & Sleep | Let's Meditate: Relax & Sleep"
