cluster,volume_suggestions,exact_title,avg_score,min_score,verdict
game maker,37,8,3.74,2.71,OPPORTUNITE AI game maker
rpg maker,54,0,3.62,2.59,OPPORTUNITE - creation RPG no-code
visual novel,152,0,3.90,1.67,OPPORTUNITE - narrative interactive + AI
game creator,7,NA,NA,NA,A DECOUVRIR (fps/rpg/card/board)
game engine,9,1,4.05,3.39,OPPORTUNITE AI game engine
block coding,2,1,3.71,2.87,OPPORTUNITE coding kids
coding,266,3,4.25,3.46,OPPORTUNITE coding (kids + med test prep)
dungeon,122,NA,NA,NA,genre mais leader fort (Dungeon Crawler)
pixel art,4,NA,NA,NA,niche art/jeux
game creator,7,0,NA,NA,A DECOUER
