type,keyword,parent_keyword,popularity,competitiveness,app_name,app_rank,appstore_url
SOUS-NICHE,house design,room planner,67,68,,,
MOT-CLE,voice changer,voice-changer,62,60,,,
SOUS-NICHE,workout,home workout,60,81,,,
SOUS-NICHE,runna,running,60,82,,,
MOT-CLE,background remover,background-remover,59,85,,,
SOUS-NICHE,simple,intermittent fasting,59,73,,,
MOT-CLE,habit tracker,productivite,58,79,,,
SOUS-NICHE,Habit Tracker,habit tracker,58,65,,,
SOUS-NICHE,fitbod,home workout,56,74,,,
SOUS-NICHE,lose it,weight loss,56,80,,,
SOUS-NICHE,75 hard,habit,55,61,,,
SOUS-NICHE,75 hard,habit tracker,55,61,,,
MOT-CLE,passport photo,photo-ai-restore,54,60,,,
MOT-CLE,room planner,home-interior-design,53,74,,,
SOUS-NICHE,meme soundboard,home workout,53,68,,,
SOUS-NICHE,passport,passport photo,53,70,,,
SOUS-NICHE,diary,gratitude,51,67,,,
MOT-CLE,yoga,fitness,50,67,,,
SOUS-NICHE,75 day challenge,habit,49,62,,,
SOUS-NICHE,room design,room planner,49,79,,,
SOUS-NICHE,walkfit,running,49,79,,,
SOUS-NICHE,weight loss,weight loss,49,69,,,
MOT-CLE,home workout,fitness,48,68,,,
SOUS-NICHE,insight,meditation,48,77,,,
SOUS-NICHE,75 hard challenge,75 hard,44,52,,,
SOUS-NICHE,finch self care pet,self love,44,61,,,
SOUS-NICHE,stoic,gratitude,43,60,,,
SOUS-NICHE,stoic,gratitude journal,43,60,,,
SOUS-NICHE,tagebuch,journal,43,45,,,
SOUS-NICHE,stoic,journal,43,60,,,
SOUS-NICHE,balance,meditation,43,60,,,
SOUS-NICHE,passport photo maker,passport photo,43,56,,,
