rank,keyword,seed,en,fr,both,words,demand,score
"1","routine daily planner","routine","1","1","1","3","422","6.00"
"2","routine habit tracker","routine","1","1","1","3","422","6.00"
"3","routine route planner","routine","1","1","1","3","422","6.00"
"4","bitcoin key finder","bitcoin","1","1","1","3","521","6.00"
"5","bitcoin qr code scanner","bitcoin","1","1","1","4","521","6.00"
"6","bitcoin qr scanner","bitcoin","1","1","1","3","521","6.00"
"7","bitcoin to usd converter","bitcoin","1","1","1","4","521","6.00"
"8","my tarot journal","tarot","1","1","1","3","461","6.00"
"9","tarot primetrace technologies","tarot","1","1","1","3","461","6.00"
"10","tarot e numerologia","tarot","1","1","1","3","461","6.00"
"11","tarot y numerología","tarot","1","1","1","3","461","6.00"
"12","vegan app scanner","vegan","1","1","1","3","262","5.66"
"13","vegan video editor","vegan","1","1","1","3","262","5.66"
"14","vegan food scanner","vegan","1","1","1","3","262","5.66"
"15","vegan food tracker","vegan","1","1","1","3","262","5.66"
"16","vegan scanner kostenlos","vegan","1","1","1","3","262","5.66"
"17","vegan nutrition tracker","vegan","1","1","1","3","262","5.66"
"18","vegan product scanner","vegan","1","1","1","3","262","5.66"
"19","gratitude journal affirmations","affirmations","1","1","1","3","189","5.47"
"20","subliminal maker affirmations","affirmations","1","1","1","3","189","5.47"
"21","pollen allergy tracker","pollen","1","1","1","3","136","5.34"
"22","gratitude journal app","gratitude","1","1","1","3","105","5.26"
"23","gratitude journal free","gratitude","1","1","1","3","105","5.26"
"24","gratitude christian journal","gratitude","1","1","1","3","105","5.26"
"25","gratitude self-care journal","gratitude","1","1","1","3","105","5.26"
"26","clody gratitude journal","gratitude","1","1","1","3","105","5.26"
"27","gratitude daily journal","gratitude","1","1","1","3","105","5.26"
"28","routine planner","routine","1","1","1","2","422","5.00"
"29","routine tracker","routine","1","1","1","2","422","5.00"
"30","routine maker","routine","1","1","1","2","422","5.00"
"31","routine reminder","routine","1","1","1","2","422","5.00"
"32","routine journal","routine","1","1","1","2","422","5.00"
"33","tarot numerology","tarot","1","1","1","2","461","5.00"
"34","tarot practice","tarot","1","1","1","2","461","5.00"
"35","tarot tracker","tarot","1","1","1","2","461","5.00"
"36","vegan finder","vegan","1","1","1","2","262","4.66"
"37","affirmations counter","affirmations","1","1","1","2","189","4.47"
"38","affirmations journal","affirmations","1","1","1","2","189","4.47"
"39","affirmations maker","affirmations","1","1","1","2","189","4.47"
"40","affirmations reminder","affirmations","1","1","1","2","189","4.47"
"41","manifestation journal","manifestation","1","1","1","2","153","4.38"
"42","manifestation diary","manifestation","1","1","1","2","153","4.38"
"43","manifestation counter","manifestation","1","1","1","2","153","4.38"
"44","manifestation coach","manifestation","1","1","1","2","153","4.38"
"45","manifestation tracker","manifestation","1","1","1","2","153","4.38"
"46","gratitude diary","gratitude","1","1","1","2","105","4.26"
"47","gratitude reminder","gratitude","1","1","1","2","105","4.26"
"48","bitcoin generator app","bitcoin","1","0","0","3","521","3.00"
"49","bitcoin private key finder","bitcoin","0","1","0","4","521","3.00"
"50","tarot and numerology","tarot","1","0","0","3","461","3.00"
"51","ai chat editor","ai chat","1","0","0","3","286","2.71"
"52","ai chat image generator","ai chat","1","0","0","4","286","2.71"
"53","ai chat image editor","ai chat","1","0","0","4","286","2.71"
"54","ai chat journal","ai chat","1","0","0","3","286","2.71"
"55","ai chat maker","ai chat","1","0","0","3","286","2.71"
"56","ai chat no login","ai chat","1","0","0","4","286","2.71"
"57","ai chat photo editor","ai chat","1","0","0","4","286","2.71"
"58","ai chat photo generator","ai chat","1","0","0","4","286","2.71"
"59","asmr bracelet maker","asmr","1","0","0","3","279","2.70"
"60","asmr journal game","asmr","1","0","0","3","279","2.70"
"61","asmr video maker","asmr","1","0","0","3","279","2.70"
"62","asmr video generator","asmr","1","0","0","3","279","2.70"
"63","video equalizer editor","equalizer","1","0","0","3","268","2.67"
"64","audio equalizer editor","equalizer","1","0","0","3","268","2.67"
"65","voice equalizer editor","equalizer","1","0","0","3","268","2.67"
"66","music equalizer editor","equalizer","1","0","0","3","268","2.67"
"67","equalizer fx sound enhancer","equalizer","1","0","0","4","268","2.67"
"68","equalizer video maker","equalizer","1","0","0","3","268","2.67"
"69","daily selfie journal","selfie","1","0","0","3","242","2.60"
"70","home design floor planner","home design","1","0","0","4","225","2.56"
"71","home design maker","home design","1","0","0","3","225","2.56"
"72","home design room planner","home design","1","0","0","4","225","2.56"
"73","home design word search","home design","1","0","0","4","225","2.56"
"74","cashback forex calculator","cashback","1","0","0","3","225","2.56"
"75","cashback qr code scanner","cashback","1","0","0","4","225","2.56"
"76","cashback qr scanner","cashback","1","0","0","3","225","2.56"
"77","anatomy and physiology games","anatomy","1","0","0","4","220","2.55"
"78","anatomy and physiology quiz","anatomy","1","0","0","4","220","2.55"
"79","kenhub anatomy and physiology","anatomy","1","0","0","4","220","2.55"
"80","anatomy physiology notes","anatomy","1","0","0","3","220","2.55"
"81","radiology ct anatomy","anatomy","1","0","0","3","220","2.55"
"82","radiology anatomy app","anatomy","1","0","0","3","220","2.55"
"83","nails editor photo","nails","1","0","0","3","220","2.55"
"84","fake nails photo editor","nails","1","0","0","4","220","2.55"
"85","nails photo editor app","nails","1","0","0","4","220","2.55"
"86","nails logo maker","nails","1","0","0","3","220","2.55"
"87","nails poster maker","nails","1","0","0","3","220","2.55"
"88","resume cover letter maker","resume","1","0","0","4","220","2.55"
