keyword,popularity,competitiveness,comp_status,type,statut
workout for men,5,NA,not_enough_data,Fitness workout,score
workout for women,8,67,ok,Fitness workout,score
workout routines for women,5,NA,not_enough_data,Fitness workout,score
workout in pregnancy,5,NA,not_enough_data,Fitness workout,score
workout log app free,5,NA,not_enough_data,Fitness workout,score
fitness tracker app,5,92,ok,Fitness tracker,score
fitness tracker watch apps,5,NA,not_enough_data,Fitness tracker,score
calisthenics app no equipment,5,NA,not_enough_data,Calisthenics,score
push up routine,5,40,ok,Push up,score
stretching exercise app,5,NA,not_enough_data,Stretching,score
yoga for weight loss,5,40,ok,Yoga,score
yoga poses free,5,NA,not_enough_data,Yoga,score
home workout yoga,5,NA,not_enough_data,Yoga,score
pilates app,12,54,ok,Pilates,score
tai chi for seniors,5,56,ok,Tai chi,score
tai chi for beginners,NA,NA,dash,Tai chi,score
tai chi chair workout free,5,NA,not_enough_data,Tai chi,score
boxing workout,22,56,ok,Boxing,score
boxing bell timer,NA,40,ok,Boxing timer,score
walking app,35,95,ok,Walking,score
calorie counter,59,87,ok,Weight loss,score
meditation app,5,76,ok,Meditation,score
sleep meditation,5,89,ok,Meditation,score
gratitude journal app,5,71,ok,Gratitude journal,score
journal app,5,84,ok,Journal,score
mood journal,9,NA,ok,Journal,score
dream journal,9,56,ok,Journal,score
quit smoking app,5,NA,ok,Quit smoking,score
migraine journal,5,77,ok,Migraine tracker,score
migraine tracker app,5,54,ok,Migraine tracker,score
diabetes tracker,NA,NA,dash,Diabetes,score
anatomy app,5,NA,ok,Anatomy,score
white noise for sleep,5,74,ok,White noise,score
brown noise,6,NA,ok,Brown noise,score
tennis tracker,5,67,ok,Tennis,score
crossfit timer,5,35,ok,Crossfit,score
pickleball scoring app,5,NA,not_enough_data,Pickleball,score
prayer times app,5,NA,ok,Prayer times,score
ramadan tracker,NA,NA,dash,Muslim,score
bible app,56,93,ok,Bible study,score
horoscope app,5,79,ok,Astrology,score
constellation app,13,NA,ok,Constellation,score
dog whistle app,5,51,ok,Dog whistle,score
dog training app,5,NA,ok,Dog whistle,score
aquarium app,5,51,ok,Aquarium,score
beekeeping app,5,NA,ok,Beehive,score
parrot training,5,33,ok,Parrot,score
plant care app,NA,NA,dash,Plant care,score
garden planner,6,69,ok,Garden,score
voice changer app,6,NA,ok,Voice changer,score
room planner ai,5,NA,ok,AI room design,score
compass app,5,NA,ok,Compass,score
launcher app,5,NA,ok,Launcher,score
dashcam app,5,29,ok,Dash cam,score
bus tracker app,5,NA,ok,Bus tracker,score
heat index app,5,40,ok,Heat index,score
chores app,NA,NA,dash,Chores,score
savings app,5,NA,ok,Savings tracker,score
book tracker app,NA,NA,dash,Book tracker,score
language learning,59,NA,ok,Language,score
fishing app,NA,NA,dash,Fishing,score
fishing spots,9,NA,ok,Fishing,score
escape room app,5,55,ok,Escape room,score
watch faces app,5,NA,ok,Watch faces,score
medication reminder app,5,NA,ok,Medication reminder,score
symptom checker,5,NA,ok,Symptom checker,score
first aid app,5,NA,ok,First aid,score
pet health,5,66,ok,Pet health,score
cat care app,5,NA,ok,Cat care,score
gratitude app,NA,NA,dash,Gratitude,score
chores chart,5,48,ok,Chores chart,score
reward chart,5,NA,ok,Reward chart,score
weekly meal planner,NA,NA,dash,Meal planner,score
daily meal planner,NA,NA,dash,Meal planner,score
budget meal planner,5,68,ok,Meal planner,score
keto meal planner,5,NA,ok,Meal planner,score
meal prep planner,32,NA,ok,Meal planner,score
vegan meal planner,5,65,ok,Meal planner,score
diabetic meal planner,5,73,ok,Meal planner,score
meal planner with recipes,5,84,ok,Meal planner,score
grocery list and meal planner,5,NA,not_enough_data,Meal planner,score
meal planner for muscle gain,5,NA,not_enough_data,Meal planner,score
meal planner free,NA,NA,dash,Meal planner,score
