cluster,app,keyword,popularity,competitiveness,num_apps,rank,importance
animaux-oiseaux,iTrainer,petsmart,66,88,249,230,6.44
animaux-oiseaux,iTrainer,ı,61,40,250,70,7.41
animaux-oiseaux,iTrainer,bark,57,77,250,157,5.94
animaux-oiseaux,iTrainer,переводчик,52,80,248,113,5.75
animaux-oiseaux,iTrainer,виджеты,51,83,250,167,5.25
animaux-oiseaux,iTrainer,good dog,50,73,248,80,5.91
animaux-oiseaux,iTrainer,bip,50,,248,131,5.38
animaux-oiseaux,iTrainer,ウォッチ,50,28,244,195,5.01
animaux-oiseaux,iTrainer,pit boss app,50,,250,125,5.43
animaux-oiseaux,iTrainer,dog whistle,49,47,244,1,49.00
animaux-oiseaux,iTrainer,chirp,49,87,249,240,4.75
animaux-oiseaux,iTrainer,звук,48,97,246,90,5.55
animaux-oiseaux,iTrainer,犬,47,45,247,11,9.25
animaux-oiseaux,iTrainer,강아지,43,45,247,233,4.19
animaux-oiseaux,iTrainer,pet translator,39,70,247,13,7.27
animaux-oiseaux,iTrainer,메모위젯,39,68,246,236,3.79
animaux-oiseaux,iTrainer,woofz dog training,38,67,240,182,3.86
animaux-oiseaux,iTrainer,barkbox,32,62,188,124,3.48
animaux-oiseaux,iTrainer,puppy training,31,85,248,9,6.54
animaux-oiseaux,iTrainer,whistle app,29,35,230,6,7.16
animaux-oiseaux,iTrainer,perro,24,79,243,213,2.37
animaux-oiseaux,iTrainer,perros,21,80,247,185,2.13
animaux-oiseaux,iTrainer,스타일,20,86,245,141,2.12
animaux-oiseaux,iTrainer,개,14,82,241,11,2.76
animaux-oiseaux,iTrainer,cliker,13,40,238,103,1.46
animaux-oiseaux,iTrainer,collar,10,70,250,51,1.30
animaux-oiseaux,iTrainer,dog sounds,9,57,246,4,2.68
animaux-oiseaux,iTrainer,silbato,9,,126,2,4.13
animaux-oiseaux,iTrainer,puppy,8,83,246,12,1.53
animaux-oiseaux,iTrainer,cao,8,96,228,30,1.18
animaux-oiseaux,iTrainer,hunde,8,70,242,92,0.92
animaux-oiseaux,iTrainer,dog identifier,8,55,243,13,1.49
animaux-oiseaux,iTrainer,dog training,7,82,248,4,2.08
animaux-oiseaux,iTrainer,buzzer button,7,40,247,85,0.82
animaux-oiseaux,iTrainer,clicker app,7,48,245,3,2.44
animaux-oiseaux,iTrainer,dog clicker,7,55,245,1,7.00
animaux-oiseaux,iTrainer,sound proof puppy training,6,45,247,41,0.82
animaux-oiseaux,iTrainer,button sounds,6,43,241,114,0.66
animaux-oiseaux,iTrainer,dog camera,6,66,244,11,1.18
animaux-oiseaux,iTrainer,service dog training,6,,248,12,1.15
animaux-oiseaux,iTrainer,dog apps,5,85,248,8,1.10
animaux-oiseaux,iTrainer,obey,5,74,145,45,0.67
animaux-oiseaux,iTrainer,my talking dog,5,,203,202,0.50
animaux-oiseaux,iTrainer,cat noises,5,,193,15,0.89
animaux-oiseaux,iTrainer,cat sound,5,58,238,79,0.59
animaux-oiseaux,iTrainer,high pitch sound,5,,203,5,1.34
animaux-oiseaux,iTrainer,high pitch,5,45,248,122,0.55
animaux-oiseaux,iTrainer,high frequency,5,58,246,161,0.52
animaux-oiseaux,iTrainer,dog whistle app,5,51,238,1,5.00
animaux-oiseaux,iTrainer,dog noises,5,49,247,2,2.29
animaux-oiseaux,iTrainer,dog repeller,5,56,249,7,1.16
animaux-oiseaux,iTrainer,silent dog whistle,5,35,243,1,5.00
animaux-oiseaux,iTrainer,dog training sounds,5,45,248,1,5.00
animaux-oiseaux,iTrainer,dog barking,5,79,245,3,1.74
animaux-oiseaux,iTrainer,talking dog app,5,,212,111,0.55
animaux-oiseaux,iTrainer,dog talking app,5,59,192,25,0.77
animaux-oiseaux,iTrainer,dog app,5,69,247,5,1.34
animaux-oiseaux,iTrainer,golden buzzer,5,,242,223,0.49
animaux-oiseaux,iTrainer,dog breed,5,56,238,12,0.96
animaux-oiseaux,iTrainer,pawmoji,5,38,54,2,2.29
animaux-oiseaux,iTrainer,the bom,5,66,235,167,0.52
animaux-oiseaux,iTrainer,annoying noises,5,43,244,113,0.55
animaux-oiseaux,iTrainer,pupy,5,71,247,12,0.96
animaux-oiseaux,iTrainer,stoppers,5,67,170,110,0.56
animaux-oiseaux,iTrainer,звуки для сна,5,60,248,188,0.50
animaux-oiseaux,iTrainer,dog sound,5,81,239,2,2.29
animaux-oiseaux,iTrainer,dog breed identifier,5,55,242,13,0.93
animaux-oiseaux,iTrainer,ändern,5,92,243,224,0.49
animaux-oiseaux,iTrainer,barking,5,81,248,10,1.02
animaux-oiseaux,iTrainer,cat whistle,5,50,248,2,2.29
animaux-oiseaux,iTrainer,dog training whistle,5,42,243,1,5.00
animaux-oiseaux,iTrainer,dog commands,5,69,248,5,1.34
animaux-oiseaux,iTrainer,beep app,5,47,249,44,0.67
animaux-oiseaux,iTrainer,distraction counter,5,,220,46,0.67
animaux-oiseaux,iTrainer,pitch sound,5,,213,88,0.58
animaux-oiseaux,iTrainer,dogy,5,,224,88,0.58
animaux-oiseaux,iTrainer,corrector,5,55,241,241,0.48
animaux-oiseaux,iTrainer,dog toy,5,76,247,4,1.49
animaux-oiseaux,iTrainer,dogs barking,5,73,247,8,1.10
animaux-oiseaux,iTrainer,hunde app,5,,247,10,1.02
animaux-oiseaux,iTrainer,listen and obey,5,72,249,8,1.10
animaux-oiseaux,iTrainer,dog to human translator,5,,212,12,0.96
animaux-oiseaux,iTrainer,cat clicker,5,51,250,1,5.00
animaux-oiseaux,iTrainer,would you press the button,5,44,226,148,0.53
animaux-oiseaux,iTrainer,whitleblower,5,40,249,149,0.53
animaux-oiseaux,iTrainer,whistleblower,5,52,250,109,0.56
animaux-oiseaux,iTrainer,dog whistler,5,45,246,3,1.74
animaux-oiseaux,iTrainer,vocal training app,5,,225,106,0.56
animaux-oiseaux,iTrainer,响,5,45,246,1,5.00
animaux-oiseaux,iTrainer,狗,5,48,221,28,0.75
animaux-oiseaux,iTrainer,&,5,100,226,152,0.52
animaux-oiseaux,iTrainer,silent night,5,51,92,74,0.60
animaux-oiseaux,iTrainer,whistle blow,5,40,53,4,1.49
animaux-oiseaux,iTrainer,dog monitor app,5,60,248,157,0.52
animaux-oiseaux,iTrainer,whistle sound,5,51,247,4,1.49
animaux-oiseaux,iTrainer,clicker dog,5,29,196,1,5.00
animaux-oiseaux,iTrainer,dog soundboard,5,32,248,3,1.74
animaux-oiseaux,iTrainer,dog howl,5,45,243,5,1.34
animaux-oiseaux,iTrainer,talk dog,5,,246,189,0.50
