cluster,app,keyword,popularity,competitiveness,num_apps,rank,importance
art-creatif,Sketchar,그림,63,78,239,7,14.62
art-creatif,Sketchar,artworkout,62,97,250,72,7.49
art-creatif,Sketchar,drawing,61,95,248,39,8.43
art-creatif,Sketchar,draw,60,98,248,44,8.07
art-creatif,Sketchar,sketchbook,60,95,248,30,8.84
art-creatif,Sketchar,ar drawing,60,87,247,19,9.98
art-creatif,Sketchar,simply draw,60,91,248,53,7.74
art-creatif,Sketchar,krita,52,86,246,107,5.81
art-creatif,Sketchar,sketch,51,97,248,15,9.10
art-creatif,Sketchar,lern app,50,92,248,47,6.62
art-creatif,Sketchar,drawing projector,49,84,248,26,7.49
art-creatif,Sketchar,voi,48,93,246,218,4.72
art-creatif,Sketchar,ar drawing sketch paint,46,83,245,45,6.15
art-creatif,Sketchar,рисовать,45,87,250,31,6.58
art-creatif,Sketchar,draw things,45,95,248,144,4.76
art-creatif,Sketchar,앱,42,81,246,31,6.14
art-creatif,Sketchar,drawing apps free,41,82,247,212,4.05
art-creatif,Sketchar,trace drawing app,30,,248,158,3.12
art-creatif,Sketchar,paar app,28,92,244,143,2.97
art-creatif,Sketchar,learn to draw free,27,84,234,33,3.89
art-creatif,Sketchar,ar drawing free,24,84,248,12,4.59
art-creatif,Sketchar,ドローイング,23,46,250,7,5.34
art-creatif,Sketchar,ensi,14,82,248,111,1.55
art-creatif,Sketchar,drawing vibe,13,,208,11,2.56
art-creatif,Sketchar,adobe draw,9,58,245,202,0.90
art-creatif,Sketchar,sketch app,9,93,244,33,1.30
art-creatif,Sketchar,ar draw,9,93,247,18,1.52
art-creatif,Sketchar,how to draw,9,96,249,227,0.88
art-creatif,Sketchar,ardrawing,9,81,239,69,1.10
art-creatif,Sketchar,dessins,8,44,240,19,1.33
art-creatif,Sketchar,lightbox trace,8,58,206,13,1.49
art-creatif,Sketchar,drawly,8,92,249,223,0.78
art-creatif,Sketchar,art drawing,7,88,247,214,0.69
art-creatif,Sketchar,draw app,7,91,247,208,0.69
art-creatif,Sketchar,sketch up,7,58,241,193,0.70
art-creatif,Sketchar,drawing desk,7,78,248,85,0.82
art-creatif,Sketchar,tayasui sketches,7,70,241,238,0.68
art-creatif,Sketchar,trace table,7,74,149,109,0.78
art-creatif,Sketchar,sketch ar,6,65,247,1,6.00
art-creatif,Sketchar,aprender a dibujar,6,89,248,106,0.67
art-creatif,Sketchar,arworkout,6,93,249,51,0.78
art-creatif,Sketchar,ar draw sketch,6,94,243,43,0.81
art-creatif,Sketchar,ar sketch,6,90,249,7,1.39
art-creatif,Sketchar,ar trace,6,93,249,214,0.59
art-creatif,Sketchar,draw something classic,5,95,173,49,0.66
art-creatif,Sketchar,ve,5,93,222,10,1.02
art-creatif,Sketchar,ar kit,5,58,241,170,0.51
art-creatif,Sketchar,draw on video,5,,216,30,0.74
art-creatif,Sketchar,drawing apps for ipad,5,91,247,198,0.50
art-creatif,Sketchar,sketchers,5,85,250,129,0.54
art-creatif,Sketchar,sketcher,5,58,247,2,2.29
art-creatif,Sketchar,outline drawing,5,79,248,203,0.50
art-creatif,Sketchar,how to apps,5,,221,90,0.58
art-creatif,Sketchar,drawing design,5,,248,18,0.84
art-creatif,Sketchar,plan drawing,5,,221,27,0.76
art-creatif,Sketchar,ar app,5,70,247,7,1.16
art-creatif,Sketchar,ar learning,5,50,243,37,0.70
art-creatif,Sketchar,drying,5,83,247,198,0.50
art-creatif,Sketchar,sketchar,5,66,248,1,5.00
art-creatif,Sketchar,zeichen,5,85,151,2,2.29
art-creatif,Sketchar,finger draw,5,67,193,16,0.87
art-creatif,Sketchar,pixel draw,5,79,211,58,0.63
art-creatif,Sketchar,pixel art drawing,5,69,234,34,0.71
art-creatif,Sketchar,free ar apps,5,85,250,2,2.29
art-creatif,Sketchar,angry birds ar isle of pigs,5,86,197,15,0.89
art-creatif,Sketchar,de trace,5,40,245,188,0.50
art-creatif,Sketchar,how to design,5,40,235,76,0.60
art-creatif,Sketchar,design in ar,5,25,247,55,0.64
art-creatif,Sketchar,art sketch,5,87,246,141,0.53
art-creatif,Sketchar,camera lucida,5,,192,10,1.02
art-creatif,Sketchar,应用,5,88,239,28,0.75
art-creatif,Sketchar,dumb ways to draw,5,,207,14,0.91
art-creatif,Sketchar,drawing story,5,83,248,17,0.86
art-creatif,Sketchar,ar paint,5,70,247,163,0.52
art-creatif,Sketchar,write on pictures app,5,,189,91,0.58
art-creatif,Sketchar,learn drawing,5,96,248,33,0.72
art-creatif,Sketchar,рисовать на фото,5,88,250,123,0.54
art-creatif,Sketchar,drawing tutorials,5,93,245,63,0.62
art-creatif,Sketchar,ipad drawing app,5,84,243,144,0.53
art-creatif,Sketchar,paper.io,5,100,244,158,0.52
art-creatif,Sketchar,dessiner,5,64,245,2,2.29
art-creatif,Sketchar,art inspiration,5,91,218,208,0.50
