cluster,app,keyword,popularity,competitiveness,num_apps,rank,importance
bricolage-diy,FineWoodworking,woodsense,9,80,215,13,1.68
bricolage-diy,FineWoodworking,woodber,6,62,248,241,0.58
bricolage-diy,FineWoodworking,woodwork,5,88,248,10,1.02
bricolage-diy,FineWoodworking,woodworking,5,84,248,12,0.96
bricolage-diy,FineWoodworking,fine,5,80,242,75,0.60
bricolage-diy,FineWoodworking,pumpkin carving ideas,5,,136,25,0.77
bricolage-diy,FineWoodworking,woodworking plans,5,76,249,214,0.49
bricolage-diy,FineWoodworking,woodshop,5,82,249,133,0.54
bricolage-diy,FineWoodworking,fine del,5,74,238,4,1.49
bricolage-diy,FineWoodworking,Review Gallery,5,68,7,2,2.29
bricolage-diy,FineWoodworking,craft training,5,51,215,17,0.86
bricolage-diy,FineWoodworking,DIY Craft Ideas,5,52,231,164,0.52
bricolage-diy,FineWoodworking,woodworker,5,85,247,2,2.29
bricolage-diy,FineWoodworking,board feet,5,55,249,133,0.54
bricolage-diy,FineWoodworking,interactive magazine,5,37,70,7,1.16
bricolage-diy,FineWoodworking,Photo review,5,55,180,149,0.53
bricolage-diy,FineWoodworking,Color wood Sort,5,52,240,182,0.51
bricolage-diy,FineWoodworking,pic press,5,87,100,16,0.87
bricolage-diy,FineWoodworking,craft activity,5,17,199,60,0.63
bricolage-diy,FineWoodworking,carpenter practice test,5,58,228,125,0.54
bricolage-diy,FineWoodworking,diy tips,5,,212,161,0.52
bricolage-diy,FineWoodworking,bevel gauge,5,,209,36,0.70
bricolage-diy,FineWoodworking,bias tape maker,5,,238,155,0.52
bricolage-diy,FineWoodworking,wood%20stud%20finder,5,49,248,202,0.50
bricolage-diy,FineWoodworking,tools%20for%20procreate,5,67,222,70,0.61
bricolage-diy,FineWoodworking,magazine%20maker,5,57,245,107,0.56
bricolage-diy,FineWoodworking,one%20punch,5,24,221,43,0.68
bricolage-diy,FineWoodworking,flush it ventin,5,,199,6,1.24
bricolage-diy,FineWoodworking,project plans,5,53,231,165,0.52
bricolage-diy,FineWoodworking,wall%20wood%20stud%20finder,5,43,248,199,0.50
bricolage-diy,FineWoodworking,alone hobbies,5,,193,19,0.83
bricolage-diy,FineWoodworking,how to build a campfire,5,,202,41,0.68
bricolage-diy,FineWoodworking,quiltspace,5,,209,35,0.71
bricolage-diy,FineWoodworking,todays quilter,5,,204,17,0.86
bricolage-diy,FineWoodworking,string art ideas,5,,225,19,0.83
bricolage-diy,FineWoodworking,wet folding,5,,199,29,0.74
bricolage-diy,FineWoodworking,craft guide,5,22,170,114,0.55
bricolage-diy,FineWoodworking,craftybox,5,76,207,28,0.75
bricolage-diy,FineWoodworking,scrapbooking inspiration,5,,208,45,0.67
bricolage-diy,FineWoodworking,macramé knot guide,5,,180,44,0.67
bricolage-diy,FineWoodworking,furniture restoration tips,5,,247,212,0.49
bricolage-diy,FineWoodworking,upcycling projects,5,,206,4,1.49
bricolage-diy,FineWoodworking,crafts for machine,5,,208,13,0.93
bricolage-diy,FineWoodworking,woodworking tables,5,,248,13,0.93
bricolage-diy,FineWoodworking,kawaii workshop,5,,206,17,0.86
bricolage-diy,FineWoodworking,pcb solder guide,5,,187,17,0.86
bricolage-diy,FineWoodworking,wood carving guide,5,40,242,18,0.84
bricolage-diy,FineWoodworking,wood sense craft identifier,5,77,245,24,0.78
bricolage-diy,FineWoodworking,find similar furniture,5,,211,73,0.60
bricolage-diy,FineWoodworking,jesse sipola,5,,206,9,1.06
bricolage-diy,FineWoodworking,vintage oji,5,,208,22,0.80
bricolage-diy,FineWoodworking,valentine cricut,5,,211,147,0.53
bricolage-diy,FineWoodworking,plan work,5,,249,243,0.48
bricolage-diy,FineWoodworking,peachy layout,5,,223,11,0.98
bricolage-diy,FineWoodworking,storing articles,5,,225,59,0.63
bricolage-diy,FineWoodworking,project gallery,5,40,242,16,0.87
bricolage-diy,FineWoodworking,wood board feet,5,40,243,192,0.50
bricolage-diy,FineWoodworking,nail size chart,5,,212,106,0.56
bricolage-diy,FineWoodworking,crewel patterns,5,,237,91,0.58
bricolage-diy,FineWoodworking,euchre pegboard,5,,211,32,0.73
bricolage-diy,FineWoodworking,soldering helper,5,,240,30,0.74
bricolage-diy,FineWoodworking,macrame knot counter,5,,228,39,0.69
bricolage-diy,FineWoodworking,woodworking dovetail calculator,5,40,249,236,0.49
bricolage-diy,FineWoodworking,chain spacing,5,,229,11,0.98
bricolage-diy,FineWoodworking,shelf mount,5,,210,46,0.67
bricolage-diy,FineWoodworking,crochet pattern make,5,,232,159,0.52
bricolage-diy,FineWoodworking,craftdocs,5,,209,55,0.64
bricolage-diy,FineWoodworking,diy guide,5,,241,236,0.49
bricolage-diy,FineWoodworking,learn carpentry,5,,205,6,1.24
bricolage-diy,FineWoodworking,rh drawer pulls,5,,225,34,0.71
bricolage-diy,FineWoodworking,planning tool,5,60,242,148,0.53
bricolage-diy,FineWoodworking,woodworking stencils,5,71,249,187,0.51
bricolage-diy,FineWoodworking,wood scanner woodworking furniture speci,5,,247,71,0.61
bricolage-diy,FineWoodworking,crafting lessons,5,,228,180,0.51
bricolage-diy,FineWoodworking,craft master: place it,5,,245,245,0.48
bricolage-diy,FineWoodworking,docrafts creativity magazine,5,,177,9,1.06
bricolage-diy,FineWoodworking,quilters newsletter magazine,5,,191,37,0.70
bricolage-diy,FineWoodworking,adult craft,5,,206,38,0.70
bricolage-diy,FineWoodworking,seed planting log,5,,210,31,0.73
bricolage-diy,FineWoodworking,craft detailed,5,,210,23,0.79
bricolage-diy,FineWoodworking,second hand log,5,,196,46,0.67
bricolage-diy,FineWoodworking,tutorial reviews easy bumpers plates red,5,,200,4,1.49
bricolage-diy,FineWoodworking,voices journal tutorial,5,,229,49,0.66
bricolage-diy,FineWoodworking,bushcraft manual,5,40,245,98,0.57
bricolage-diy,FineWoodworking,cnc milling guide,5,40,250,235,0.49
bricolage-diy,FineWoodworking,woodworking joints guide,5,40,247,6,1.24
bricolage-diy,FineWoodworking,free bushcraft,5,48,248,187,0.51
bricolage-diy,FineWoodworking,renovation binder,5,,211,53,0.64
bricolage-diy,FineWoodworking,border notebook,5,,214,12,0.96
bricolage-diy,FineWoodworking,panel beater,5,,222,13,0.93
bricolage-diy,FineWoodworking,wooden boat refit,5,,209,42,0.68
bricolage-diy,FineWoodworking,bushcraft skills,5,,246,132,0.54
bricolage-diy,FineWoodworking,woodworking joints,5,40,248,9,1.06
bricolage-diy,FineWoodworking,dovetail joint guide,5,,250,57,0.63
bricolage-diy,FineWoodworking,wood finish guide,5,,247,55,0.64
bricolage-diy,FineWoodworking,wood species guide,5,40,249,209,0.50
bricolage-diy,FineWoodworking,wood turning log,5,,247,237,0.49
bricolage-diy,FineWoodworking,leather tooling log,5,,250,152,0.52
bricolage-diy,FineWoodworking,pen spinning log,5,,221,11,0.98
bricolage-diy,FineWoodworking,pottery fix sharecare,5,,202,42,0.68
bricolage-diy,FineWoodworking,custom plate rack,5,80,248,219,0.49
bricolage-diy,FineWoodworking,peekaso,5,,226,46,0.67
bricolage-diy,FineWoodworking,woodworking project,5,49,245,4,1.49
bricolage-diy,FineWoodworking,wood project plans,5,,249,18,0.84
bricolage-diy,FineWoodworking,cut list woodworking,5,40,250,56,0.64
bricolage-diy,FineWoodworking,firewood tracker,5,,228,18,0.84
bricolage-diy,FineWoodworking,firewood seasoning,5,,224,17,0.86
bricolage-diy,FineWoodworking,woodworker calculator,5,,225,82,0.59
bricolage-diy,FineWoodworking,wicker weaving,5,,216,20,0.82
bricolage-diy,FineWoodworking,woodworking cut list,5,,249,60,0.63
bricolage-diy,FineWoodworking,wood plans & guides,5,,246,18,0.84
bricolage-diy,FineWoodworking,dycut,5,,220,66,0.62
bricolage-diy,FineWoodworking,purchase log helper,5,,216,7,1.16
bricolage-diy,FineWoodworking,project plan template,5,,199,74,0.60
bricolage-diy,FineWoodworking,woodworking project tracker,5,,250,11,0.98
bricolage-diy,FineWoodworking,wood plans app,5,,243,12,0.96
bricolage-diy,FineWoodworking,wood plans,5,,248,222,0.49
bricolage-diy,FineWoodworking,craft tutorials,5,,243,200,0.50
bricolage-diy,FineWoodworking,layout forge,5,,247,193,0.50
bricolage-diy,FineWoodworking,diy ideas  beginner tutorials,5,,243,119,0.55
bricolage-diy,FineWoodworking,diy%20keyboard,,,228,70,
bricolage-diy,FineWoodworking,diy%20projects,,,244,182,
bricolage-diy,FineWoodworking,paint recipe log,,,223,74,
bricolage-diy,FineWoodworking,carving tips,,,127,10,
bricolage-diy,FineWoodworking,crochet inspo,,,225,136,
bricolage-diy,FineWoodworking,review lite,,,226,179,
bricolage-diy,FineWoodworking,wall quick kindreds,,,215,41,
bricolage-diy,FineWoodworking,woodworking project planner,,40,247,13,
bricolage-diy,FineWoodworking,easy bushcraft,,40,250,162,
bricolage-diy,FineWoodworking,magazyn app,,,229,133,
bricolage-diy,FineWoodworking,paper craft log,,,189,28,
bricolage-diy,FineWoodworking,woodworking background,,,212,1,
bricolage-diy,FineWoodworking,review photos,,87,240,176,
bricolage-diy,FineWoodworking,wood plans guides,,,248,36,
bricolage-diy,FineWoodworking,layout craft,,,248,175,
bricolage-diy,FineWoodworking,woodworking plan,,,243,8,
bricolage-diy,Lowes,walmart,83,100,247,138,8.85
bricolage-diy,Lowes,target,79,98,246,74,9.49
bricolage-diy,Lowes,costco,77,98,242,26,11.77
bricolage-diy,Lowes,t mobile,72,71,247,192,7.24
bricolage-diy,Lowes,home depot,72,100,248,2,33.04
bricolage-diy,Lowes,best buy,71,97,245,21,11.49
bricolage-diy,Lowes,ukg,68,69,86,30,10.02
bricolage-diy,Lowes,american express,67,86,246,148,7.05
bricolage-diy,Lowes,lowes,67,83,249,1,67.00
bricolage-diy,Lowes,us bank,66,,250,249,6.35
bricolage-diy,Lowes,kroger‘s app,65,,247,195,6.52
bricolage-diy,Lowes,sam's club,63,53,245,20,10.33
bricolage-diy,Lowes,hobby lobby,63,81,102,23,9.95
bricolage-diy,Lowes,synchrony bank,63,86,249,91,7.26
bricolage-diy,Lowes,michaels,62,98,249,27,9.38
bricolage-diy,Lowes,kohls app,62,,250,43,8.38
bricolage-diy,Lowes,autozone,62,77,247,15,11.06
bricolage-diy,Lowes,Home:,62,73,246,10,12.61
bricolage-diy,Lowes,ways,60,98,248,185,6.07
bricolage-diy,Lowes,kohls,60,97,214,35,8.51
bricolage-diy,Lowes,sams,60,100,249,145,6.34
bricolage-diy,Lowes,tractor supply,60,75,250,5,16.05
bricolage-diy,Lowes,five below,60,88,250,133,6.44
bricolage-diy,Lowes,ace hardware,59,,93,4,17.57
bricolage-diy,Lowes,ourday,59,90,198,12,11.29
bricolage-diy,Lowes,sams club,58,97,248,21,9.39
bricolage-diy,Lowes,khols,57,89,184,31,8.33
bricolage-diy,Lowes,synchrony credit card,57,79,249,207,5.66
bricolage-diy,Lowes,menards,57,,62,4,16.97
bricolage-diy,Lowes,bread financial,57,86,250,89,6.60
bricolage-diy,Lowes,my walmart app,56,97,247,222,5.49
bricolage-diy,Lowes,shopmy,55,98,250,58,6.95
bricolage-diy,Lowes,apple developer,53,90,248,232,5.16
bricolage-diy,Lowes,bestbuy,53,97,248,20,8.69
bricolage-diy,Lowes,the home depot,53,85,248,2,24.32
bricolage-diy,Lowes,bild,53,97,236,133,5.69
bricolage-diy,Lowes,mypay,53,85,249,223,5.20
bricolage-diy,Lowes,wat,53,96,248,45,7.09
bricolage-diy,Lowes,pingo,53,98,248,111,5.88
bricolage-diy,Lowes,bed bath and beyond,52,77,234,12,9.95
bricolage-diy,Lowes,rent a center,52,74,250,90,6.01
bricolage-diy,Lowes,synchrony,52,90,202,14,9.47
bricolage-diy,Lowes,apple configurator,51,91,248,109,5.68
bricolage-diy,Lowes,the,51,100,248,75,6.11
bricolage-diy,Lowes,ashley furniture,51,57,247,17,8.76
bricolage-diy,Lowes,ace,51,68,248,133,5.47
bricolage-diy,Lowes,faire,51,80,250,229,4.98
bricolage-diy,Lowes,lowes foods,51,82,248,3,17.78
bricolage-diy,Lowes,sherwin williams,50,67,79,7,11.60
bricolage-diy,Lowes,wallmart,49,97,246,153,5.13
bricolage-diy,Lowes,cos,47,89,250,69,5.73
bricolage-diy,Lowes,harbor freight,46,,248,4,13.70
bricolage-diy,Lowes,walmart app,45,,243,109,5.01
bricolage-diy,Lowes,touch,45,77,247,72,5.44
bricolage-diy,Lowes,com,45,98,248,178,4.58
bricolage-diy,Lowes,es,45,100,247,100,5.09
bricolage-diy,Lowes,an,45,100,247,77,5.36
bricolage-diy,Lowes,ماك,45,,249,138,4.80
bricolage-diy,Lowes,home design 3d,43,78,248,243,4.16
bricolage-diy,Lowes,home credit,43,47,244,98,4.89
bricolage-diy,Lowes,tapp,43,100,244,232,4.19
bricolage-diy,Lowes,hyperjar,43,72,247,215,4.24
bricolage-diy,Lowes,parfumo,43,42,127,12,8.23
