cluster,app,keyword,popularity,competitiveness,num_apps,rank,importance
education-codage,Tynker,minecraft education,61,100,248,117,6.70
education-codage,Tynker,zipline,54,93,146,28,8.10
education-codage,Tynker,replit,54,100,248,161,5.60
education-codage,Tynker,tinker,41,80,168,4,12.21
education-codage,Tynker,learning apps for kids,30,79,246,236,2.91
education-codage,Tynker,coding game,29,69,248,111,3.22
education-codage,Tynker,666,28,93,242,204,2.79
education-codage,Tynker,kid games for free,26,80,248,248,2.50
education-codage,Tynker,ماين كرفت,25,95,202,122,2.73
education-codage,Tynker,scratchjr,22,72,170,11,4.33
education-codage,Tynker,free lego games for kids,21,,248,127,2.27
education-codage,Tynker,minecraft mod maker,21,45,226,5,5.62
education-codage,Tynker,lego insiders club,21,,157,18,3.55
education-codage,Tynker,coding games,19,54,244,11,3.74
education-codage,Tynker,lego education,15,,178,40,2.06
education-codage,Tynker,coding games for kids,9,54,247,3,3.14
education-codage,Tynker,minecraft diamond finder,9,67,170,53,1.16
education-codage,Tynker,lego fortnite,9,,184,160,0.93
education-codage,Tynker,spirio,8,,28,27,1.21
education-codage,Tynker,koder,7,65,232,196,0.70
education-codage,Tynker,barbi,6,88,240,172,0.61
education-codage,Tynker,kids coding,6,43,246,5,1.61
education-codage,Tynker,free coding,5,,245,33,0.72
education-codage,Tynker,minecraft lite,5,,207,92,0.58
education-codage,Tynker,barb,5,,223,94,0.57
education-codage,Tynker,barbei,5,,219,199,0.50
education-codage,Tynker,free kids games for ipad,5,58,248,175,0.51
education-codage,Tynker,for kids,5,98,247,214,0.49
education-codage,Tynker,coding for kids,5,48,246,4,1.49
education-codage,Tynker,hopster coding safari for kids,5,,204,13,0.93
education-codage,Tynker,kidscode,5,40,250,15,0.89
education-codage,Tynker,free coding for kids,5,,249,3,1.74
education-codage,Tynker,coding kids,5,40,246,4,1.49
education-codage,Tynker,hour of code,5,81,248,9,1.06
education-codage,Tynker,kid coding,5,40,248,2,2.29
education-codage,Tynker,coding curriculum,5,40,246,134,0.54
education-codage,Tynker,explore coding,5,42,244,225,0.49
education-codage,Tynker,code program for kids,5,40,239,1,5.00
education-codage,Tynker,code own project,5,43,249,246,0.48
education-codage,Tynker,kid-friendly programming,5,43,246,18,0.84
education-codage,Tynker,tynker,5,,59,1,5.00
education-codage,Tynker,coding apps for kids,5,42,239,6,1.24
education-codage,Tynker,lego hidden side,5,55,138,88,0.58
education-codage,Tynker,kids programming,5,73,243,2,2.29
education-codage,Tynker,programmation,5,53,247,108,0.56
education-codage,Tynker,code monkey,5,47,246,10,1.02
education-codage,Tynker,programming for kids,5,47,246,4,1.49
education-codage,Tynker,code de la,5,,241,47,0.66
education-codage,Tynker,lego kids,5,,158,46,0.67
education-codage,Tynker,孩子们,5,48,248,165,0.52
education-codage,Tynker,coding challenge,5,,241,61,0.63
education-codage,Tynker,nocode,5,86,249,237,0.49
education-codage,Tynker,learn coding offline,5,,208,17,0.86
education-codage,Tynker,python 2,5,86,230,198,0.50
education-codage,Tynker,a revolutionary platform on your ipad capable of building powerful apps. no code skills required.,5,83,240,45,0.67
education-codage,Tynker,the coder bot.,5,47,244,225,0.49
education-codage,Tynker,build apps no code,5,71,241,230,0.49
education-codage,Tynker,no Coding,5,,228,14,0.91
education-codage,Tynker,game programming,5,60,243,122,0.55
education-codage,Tynker,c ide,5,,238,46,0.67
education-codage,Tynker,gcode,5,89,229,73,0.60
education-codage,Tynker,stem apps for kids,5,66,246,22,0.80
education-codage,Tynker,kids coding games,5,40,237,3,1.74
education-codage,Tynker,coding for kids learn to code,5,40,238,3,1.74
education-codage,Tynker,code for kids,5,40,248,3,1.74
education-codage,Tynker,zepline,5,4,60,18,0.84
education-codage,Tynker,learn flutter,5,,195,13,0.93
education-codage,Tynker,mie,5,,224,222,0.49
education-codage,Tynker,un code,5,,240,64,0.62
education-codage,Tynker,educate kids,5,44,247,169,0.51
education-codage,Tynker,stem kids,5,46,248,62,0.62
education-codage,Tynker,minecraft servers,5,45,163,79,0.59
education-codage,Tynker,minecraft realms,5,94,214,211,0.49
education-codage,Tynker,scratch programming,5,,216,15,0.89
education-codage,Tynker,coding playground,5,56,245,83,0.59
education-codage,Tynker,minecraft mode,5,72,188,145,0.53
education-codage,Tynker,modos,5,52,221,212,0.49
education-codage,Tynker,Kid games for free​,5,69,248,138,0.53
education-codage,Tynker,kids learning code game,5,42,246,3,1.74
education-codage,Tynker,minecraft launcher,5,,188,88,0.58
education-codage,Tynker,coding classes,5,78,247,158,0.52
education-codage,Tynker,coding skills,5,49,245,241,0.48
education-codage,Tynker,coding lesson,5,48,246,160,0.52
education-codage,Tynker,coding school,5,40,240,61,0.63
education-codage,Tynker,coding 101,5,42,246,37,0.70
education-codage,Tynker,codin,5,70,245,101,0.56
education-codage,Tynker,Beginner Coding,5,47,246,196,0.50
education-codage,Tynker,coding teacher,5,40,241,32,0.73
education-codage,Tynker,coding tutor,5,60,246,13,0.93
education-codage,Tynker,codeschool,5,40,239,52,0.65
education-codage,Tynker,coding for beginner,5,44,242,138,0.53
education-codage,Tynker,يعيش لاليجا,5,90,249,226,0.49
education-codage,Tynker,نتيجة الليغا,5,89,270,191,0.50
education-codage,Tynker,creator minecraft,5,96,132,68,0.61
education-codage,Tynker,world cup 2022,5,94,205,187,0.51
education-codage,Tynker,game codes,5,,223,16,0.87
education-codage,Tynker,python learn to code,5,42,233,120,0.55
education-codage,Tynker,code challenges,5,55,212,8,1.10
education-codage,Tynker,learning stem,5,40,248,92,0.58
education-codage,Tynker,stem games kids,5,45,241,56,0.64
education-codage,Tynker,kid code,5,26,235,3,1.74
education-codage,Tynker,kids games coding,5,40,235,3,1.74
education-codage,Tynker,coding program,5,40,236,53,0.64
education-codage,Tynker,coding for children,5,40,241,2,2.29
education-codage,Tynker,learn coding for children,5,40,241,2,2.29
education-codage,Tynker,learn stem,5,44,243,76,0.60
education-codage,Tynker,stem for kids,5,46,248,1,5.00
education-codage,Tynker,learn to make game,5,66,238,62,0.62
education-codage,Tynker,repliy,5,97,247,95,0.57
education-codage,Tynker,varagh,5,79,212,207,0.50
education-codage,Tynker,minecraft kits,5,66,179,13,0.93
education-codage,Tynker,code lesson,5,66,222,7,1.16
education-codage,Tynker,learn coding python,5,69,234,139,0.53
education-codage,Tynker,python learn coding,5,42,237,130,0.54
education-codage,Tynker,program python,5,40,228,156,0.52
education-codage,Tynker,python program,5,57,230,159,0.52
education-codage,Tynker,python anaconda,5,65,227,217,0.49
education-codage,Tynker,learn coding/programming,5,,233,111,0.55
education-codage,Tynker,codes skins,5,36,236,83,0.59
education-codage,Tynker,learn python coding offline,5,,211,32,0.73
education-codage,Tynker,learn codinb,5,57,198,11,0.98
education-codage,Tynker,code writing,5,98,231,18,0.84
education-codage,Tynker,lego builder app,5,,143,90,0.58
education-codage,Tynker,minecraft finder,5,,167,65,0.62
education-codage,Tynker,gpt for kids,5,84,242,39,0.69
education-codage,Tynker,ai tutor for kids,5,61,247,210,0.50
education-codage,Tynker,hackers studio,5,44,201,11,0.98
education-codage,Tynker,BuildIt Kids,5,62,246,45,0.67
education-codage,Tynker,for learning,5,82,246,244,0.48
education-codage,Tynker,for educators,5,52,246,190,0.50
education-codage,Tynker,pythons,5,73,196,151,0.52
education-codage,Tynker,ochui,5,7,237,64,0.62
education-codage,Tynker,BARBIE ROOM,5,75,212,130,0.54
education-codage,Tynker,code write,5,56,219,7,1.16
education-codage,Tynker,python anywhere,5,86,200,193,0.50
education-codage,Tynker,code for roblox,5,37,212,39,0.69
education-codage,Tynker,learncode,5,59,232,60,0.63
education-codage,Tynker,Codecandy studio,5,,236,7,1.16
education-codage,Tynker,fuel calc,5,86,223,184,0.51
education-codage,Tynker,för,5,54,248,144,0.53
education-codage,Tynker,codefinity,5,96,219,41,0.68
education-codage,Tynker,바크,5,67,250,179,0.51
education-codage,Tynker,idz digital,5,33,233,9,1.06
education-codage,Tynker,Codeway dijital,5,60,241,10,1.02
education-codage,Tynker,tinker diy,5,37,52,43,0.68
education-codage,Tynker,python coding game,5,,247,71,0.61
education-codage,Tynker,Python Manual,5,89,207,98,0.57
education-codage,Tynker,ai learning for kids,5,71,249,125,0.54
education-codage,Tynker,mod for,5,91,206,82,0.59
education-codage,Tynker,coding quiz,5,,213,18,0.84
education-codage,Tynker,development for kids,5,40,248,85,0.58
education-codage,Tynker,craft palace,5,85,196,168,0.51
education-codage,Tynker,kids ipad,5,77,244,79,0.59
education-codage,Tynker,kids educational app,5,92,242,228,0.49
education-codage,Tynker,kid coding games,5,57,248,34,0.71
education-codage,Tynker,kid coding  games,5,42,236,3,1.74
education-codage,Tynker,craftcraft,5,65,94,28,0.75
education-codage,Tynker,Kids todo,5,76,244,135,0.54
education-codage,Tynker,learn game dev,5,68,236,162,0.52
education-codage,Tynker,learn coding with ai,5,48,246,84,0.59
education-codage,Tynker,kids sandbox,5,30,246,147,0.53
education-codage,Tynker,turtle programming,5,9,178,5,1.34
education-codage,Tynker,program games,5,48,247,204,0.50
education-codage,Tynker,learn code kids,5,42,241,2,2.29
education-codage,Tynker,margaret,5,80,197,147,0.53
education-codage,Tynker,python guide,5,87,204,109,0.56
education-codage,Tynker,gor,5,,223,99,0.57
