cluster,app,keyword,popularity,competitiveness,num_apps,rank,importance
immobilier-maison,Zillow,group me,77,93,236,103,8.67
immobilier-maison,Zillow,zillow,76,68,248,1,76.00
immobilier-maison,Zillow,xfinity,75,93,248,70,9.12
immobilier-maison,Zillow,walgreens,73,87,249,26,11.16
immobilier-maison,Zillow,turo,69,20,249,100,7.81
immobilier-maison,Zillow,wayfair,68,69,250,127,7.36
immobilier-maison,Zillow,publix,68,84,248,118,7.46
immobilier-maison,Zillow,house design,67,92,249,210,6.64
immobilier-maison,Zillow,vrbo,67,70,248,34,9.57
immobilier-maison,Zillow,lowes,67,81,250,98,7.61
immobilier-maison,Zillow,kijiji,66,98,249,31,9.65
immobilier-maison,Zillow,dexcom g7,66,85,249,88,7.66
immobilier-maison,Zillow,realtor com,65,45,247,8,14.32
immobilier-maison,Zillow,redfin,65,20,249,3,22.66
immobilier-maison,Zillow,wyze,64,100,250,97,7.29
immobilier-maison,Zillow,homebase,63,87,248,65,7.78
immobilier-maison,Zillow,menufit,63,93,228,113,6.97
immobilier-maison,Zillow,real,62,86,222,52,8.03
immobilier-maison,Zillow,nextdoor,62,96,248,61,7.76
immobilier-maison,Zillow,autozone,62,64,249,74,7.45
immobilier-maison,Zillow,Home:,62,73,244,20,10.17
immobilier-maison,Zillow,what not,62,90,203,61,7.76
immobilier-maison,Zillow,butterflymx,61,47,239,7,14.15
immobilier-maison,Zillow,divar,61,97,250,35,8.65
immobilier-maison,Zillow,bilt,61,91,250,24,9.52
immobilier-maison,Zillow,the measure арр,61,58,248,218,6.00
immobilier-maison,Zillow,budget car rental,59,55,249,92,6.79
immobilier-maison,Zillow,waffle house,59,83,250,34,8.43
immobilier-maison,Zillow,apartments,58,74,247,8,12.78
immobilier-maison,Zillow,grailed,58,90,250,47,7.68
immobilier-maison,Zillow,the real real,58,90,250,14,10.57
immobilier-maison,Zillow,zello,58,98,250,4,17.27
immobilier-maison,Zillow,nuuly,58,14,245,22,9.27
immobilier-maison,Zillow,dealseek,58,93,250,103,6.53
immobilier-maison,Zillow,appfolio,57,94,249,5,15.25
immobilier-maison,Zillow,dexcom follow,57,85,249,65,7.04
immobilier-maison,Zillow,sniffles,57,95,249,59,7.18
immobilier-maison,Zillow,furnished finder,57,85,249,20,9.35
immobilier-maison,Zillow,rent,56,87,249,2,25.70
immobilier-maison,Zillow,trulia,56,32,247,3,19.52
immobilier-maison,Zillow,eharmony,55,90,248,41,7.52
immobilier-maison,Zillow,zillow rentals,55,74,250,1,55.00
immobilier-maison,Zillow,miniso,55,95,250,52,7.12
immobilier-maison,Zillow,progressive leasing,55,74,248,61,6.88
immobilier-maison,Zillow,realtor,54,60,248,2,24.78
immobilier-maison,Zillow,vrbo vacation rentals,54,77,250,31,7.89
immobilier-maison,Zillow,ohio lottery app,54,100,247,46,7.19
immobilier-maison,Zillow,homeaglow,54,69,229,11,10.63
immobilier-maison,Zillow,sellraze,54,81,227,22,8.63
immobilier-maison,Zillow,group,53,82,250,121,5.79
immobilier-maison,Zillow,rentcafe,53,85,250,16,9.27
