cluster,app,keyword,popularity,competitiveness,num_apps,rank,importance
jeux-2d,MergeDragons,in,67,100,247,67,8.22
jeux-2d,MergeDragons,progressive,65,98,249,231,6.34
jeux-2d,MergeDragons,yt,63,98,246,45,8.43
jeux-2d,MergeDragons,マージ,63,92,224,44,8.47
jeux-2d,MergeDragons,kahoot,62,82,248,38,8.62
jeux-2d,MergeDragons,merge games,61,95,247,10,12.40
jeux-2d,MergeDragons,dragon city,60,81,247,11,11.81
jeux-2d,MergeDragons,merge,58,96,247,7,13.46
jeux-2d,MergeDragons,dragon,58,81,246,23,9.16
jeux-2d,MergeDragons,night sky,55,95,247,12,10.52
jeux-2d,MergeDragons,upgrade,55,94,247,151,5.77
jeux-2d,MergeDragons,ドラゴン,55,69,160,33,7.92
jeux-2d,MergeDragons,hatch dragons,53,68,225,4,15.78
jeux-2d,MergeDragons,merge dragons,52,71,247,1,52.00
jeux-2d,MergeDragons,هويتي,51,50,250,182,5.18
jeux-2d,MergeDragons,dragonvale,49,64,250,19,8.15
jeux-2d,MergeDragons,dragons,46,79,245,16,8.05
jeux-2d,MergeDragons,dragon mania legends,41,58,235,212,4.05
jeux-2d,MergeDragons,midas,41,54,181,158,4.27
jeux-2d,MergeDragons,魔法,38,76,213,29,5.65
jeux-2d,MergeDragons,top games,32,97,232,186,3.24
jeux-2d,MergeDragons,merge gardens,30,72,249,41,4.10
jeux-2d,MergeDragons,puzzle and dragons,27,53,243,70,3.28
jeux-2d,MergeDragons,top free games,18,97,247,198,1.80
jeux-2d,MergeDragons,journey home,10,73,247,246,0.96
jeux-2d,MergeDragons,tweeter,9,95,149,64,1.11
jeux-2d,MergeDragons,dragon merge,9,64,247,1,9.00
jeux-2d,MergeDragons,merge magic,9,72,246,3,3.14
jeux-2d,MergeDragons,evermerge,9,46,105,30,1.33
jeux-2d,MergeDragons,iexpand,8,44,78,61,1.00
jeux-2d,MergeDragons,dragon games,7,66,244,28,1.05
jeux-2d,MergeDragons,dragon game,7,65,232,84,0.82
jeux-2d,MergeDragons,marge,7,88,248,16,1.22
jeux-2d,MergeDragons,dragon mania,7,42,239,69,0.85
jeux-2d,MergeDragons,kahot,6,84,248,36,0.85
jeux-2d,MergeDragons,iphone x,5,,221,203,0.50
jeux-2d,MergeDragons,merge dragon,5,92,248,1,5.00
jeux-2d,MergeDragons,how to train your dragon,5,79,242,25,0.77
jeux-2d,MergeDragons,dragons titan uprising,5,,163,8,1.10
jeux-2d,MergeDragons,dragon vale,5,59,250,16,0.87
jeux-2d,MergeDragons,5 star games,5,89,242,161,0.52
jeux-2d,MergeDragons,gram games,5,,208,3,1.74
jeux-2d,MergeDragons,dragon land,5,,166,5,1.34
jeux-2d,MergeDragons,best rated games,5,96,231,194,0.50
jeux-2d,MergeDragons,how to apps,5,,221,193,0.50
jeux-2d,MergeDragons,merg,5,100,228,6,1.24
jeux-2d,MergeDragons,kahhot,5,92,248,39,0.69
jeux-2d,MergeDragons,top 10 games,5,97,231,213,0.49
jeux-2d,MergeDragons,dragon egg,5,71,237,10,1.02
jeux-2d,MergeDragons,gemr,5,,244,230,0.49
jeux-2d,MergeDragons,merging games,5,88,245,14,0.91
jeux-2d,MergeDragons,dragon games for kids,5,,238,67,0.61
jeux-2d,MergeDragons,dragons world,5,45,186,14,0.91
jeux-2d,MergeDragons,dragons of atlantis,5,,167,52,0.65
jeux-2d,MergeDragons,magic words,5,80,222,65,0.62
jeux-2d,MergeDragons,puzzles and dragons,5,53,239,169,0.51
jeux-2d,MergeDragons,gmae,5,88,242,166,0.52
jeux-2d,MergeDragons,dragon village,5,66,149,23,0.79
jeux-2d,MergeDragons,top 10 free games,5,98,247,198,0.50
jeux-2d,MergeDragons,unlock phone,5,31,212,130,0.54
jeux-2d,MergeDragons,granted,5,90,241,93,0.57
jeux-2d,MergeDragons,dragon eggs,5,67,240,7,1.16
jeux-2d,MergeDragons,pane,5,94,229,196,0.50
jeux-2d,MergeDragons,sins,5,75,211,141,0.53
jeux-2d,MergeDragons,dragin,5,,248,17,0.86
jeux-2d,MergeDragons,one by one,5,65,238,145,0.53
jeux-2d,MergeDragons,kids monster games,5,60,204,59,0.63
jeux-2d,MergeDragons,tres,5,96,248,222,0.49
jeux-2d,MergeDragons,how to train your dragons,5,65,181,180,0.51
jeux-2d,MergeDragons,my games,5,,240,149,0.53
jeux-2d,MergeDragons,games like dragon city,5,,215,175,0.51
jeux-2d,MergeDragons,drag n drop,5,44,237,150,0.52
jeux-2d,MergeDragons,reverie,5,51,98,97,0.57
jeux-2d,MergeDragons,siti,5,93,250,87,0.58
jeux-2d,MergeDragons,deagon,5,,248,17,0.86
jeux-2d,MergeDragons,science vs magic,5,,213,99,0.57
jeux-2d,MergeDragons,draco,5,,29,18,0.84
jeux-2d,MergeDragons,merge fairies,5,49,38,35,0.71
jeux-2d,MergeDragons,dragon warrior,5,52,163,39,0.69
jeux-2d,MergeDragons,kajoot,5,90,248,38,0.70
jeux-2d,MergeDragons,brand new,5,92,205,193,0.50
jeux-2d,MergeDragons,ادان,5,39,248,240,0.48
jeux-2d,MergeDragons,merge phones,5,40,241,17,0.86
jeux-2d,MergeDragons,merge mobile phones,5,64,247,51,0.65
jeux-2d,MergeDragons,saisonal,5,25,236,201,0.50
jeux-2d,MergeDragons,сложные загадки,5,60,235,152,0.52
jeux-2d,MergeDragons,off limits,5,65,202,146,0.53
jeux-2d,MergeDragons,expand game,5,64,237,132,0.54
jeux-2d,MergeDragons,drag game‪s,5,53,250,187,0.51
jeux-2d,MergeDragons,games top,5,98,232,200,0.50
jeux-2d,MergeDragons,龍,5,54,244,112,0.55
jeux-2d,MergeDragons,quét,5,100,248,183,0.51
jeux-2d,MergeDragons,aniversário,5,50,241,62,0.62
jeux-2d,MergeDragons,grow bigger,5,53,239,100,0.57
jeux-2d,MergeDragons,merge fairys,5,39,35,33,0.72
jeux-2d,MergeDragons,dragões,5,45,204,83,0.59
jeux-2d,MergeDragons,princess & dragon shape match,5,13,195,4,1.49
jeux-2d,MergeDragons,emberwing: lost legacy - a hidden object adventure with dragons,5,28,247,171,0.51
jeux-2d,MergeDragons,يلا كورة تعيش,5,92,275,54,0.64
jeux-2d,MergeDragons,level upgrade,5,42,236,82,0.59
jeux-2d,MergeDragons,dinosaur games offline puzzle,5,58,192,9,1.06
jeux-2d,MergeDragons,puzzelen kind,5,40,244,232,0.49
jeux-2d,MergeDragons,hatch and grow,5,37,83,41,0.68
jeux-2d,MergeDragons,collect dragons,5,56,224,176,0.51
jeux-2d,MergeDragons,dragon island,5,,179,15,0.89
jeux-2d,MergeDragons,leni,5,84,190,173,0.51
jeux-2d,MergeDragons,ange,5,50,191,107,0.56
jeux-2d,MergeDragons,growing online,5,87,249,215,0.49
jeux-2d,MergeDragons,phone magic,5,28,215,24,0.78
jeux-2d,MergeDragons,revery,5,37,96,92,0.58
jeux-2d,MergeDragons,merge master games,5,45,245,150,0.52
jeux-2d,MergeDragons,excite,5,78,183,102,0.56
jeux-2d,MergeDragons,merge screenshot,5,45,243,216,0.49
jeux-2d,MergeDragons,heroes- save,5,87,232,222,0.49
jeux-2d,MergeDragons,j2me,5,98,245,183,0.51
jeux-2d,MergeDragons,sign meme,5,80,246,85,0.58
jeux-2d,MergeDragons,happy merge,5,,160,154,0.52
jeux-2d,MergeDragons,family merge island,5,40,244,131,0.54
jeux-2d,MergeDragons,labe,5,98,231,212,0.49
jeux-2d,MergeDragons,upgrate,5,91,247,158,0.52
jeux-2d,MergeDragons,limit drag,5,64,230,141,0.53
jeux-2d,MergeDragons,الثلث الأخير من الليل,5,90,250,57,0.63
jeux-2d,MergeDragons,update my phone,5,,232,165,0.52
jeux-2d,MergeDragons,f marry kill,5,83,244,109,0.56
jeux-2d,MergeDragons,drunk games for couples,5,97,241,232,0.49
jeux-2d,MergeDragons,top 100 games,5,98,231,203,0.50
jeux-2d,MergeDragons,new games 2017,5,84,222,28,0.75
jeux-2d,MergeDragons,couple dare games,5,97,243,238,0.48
jeux-2d,MergeDragons,intimate couples game,5,97,240,222,0.49
jeux-2d,MergeDragons,Rescue Gaames,5,55,216,71,0.61
jeux-2d,MergeDragons,إذا اخترت وضع متابعة الحمل:,5,87,275,38,0.70
jeux-2d,MergeDragons,line voom,5,,239,105,0.56
jeux-2d,MergeDragons,expandable game,5,44,238,198,0.50
jeux-2d,MergeDragons,farms rewards,5,65,202,132,0.54
jeux-2d,MergeDragons,discover one,5,,233,154,0.52
jeux-2d,MergeDragons,Magic crystals,5,51,170,91,0.58
jeux-2d,MergeDragons,vaguely,5,63,189,37,0.70
jeux-2d,MergeDragons,Dinosaur City Attack,5,39,189,81,0.59
jeux-2d,MergeDragons,اذان الصلاه في وقتها بدون نت,5,75,269,52,0.65
jeux-2d,MergeDragons,magia blanca,5,64,226,61,0.63
jeux-2d,MergeDragons,magical world,5,64,214,147,0.53
jeux-2d,MergeDragons,：,5,100,243,21,0.81
jeux-2d,MergeDragons,merge save,5,40,244,97,0.57
jeux-2d,MergeDragons,bong,5,,238,232,0.49
jeux-2d,MergeDragons,jin ne,5,85,26,2,2.29
jeux-2d,MergeDragons,magic battle,5,63,206,102,0.56
jeux-2d,MergeDragons,sleep over games,5,96,240,232,0.49
jeux-2d,MergeDragons,===,5,58,241,27,0.76
jeux-2d,MergeDragons,City Sim 3d,5,84,227,195,0.50
jeux-2d,MergeDragons,➜,5,48,239,43,0.68
jeux-2d,MergeDragons,magink,5,98,228,40,0.69
jeux-2d,MergeDragons,dragon trail 2 fantasy world,5,,197,35,0.71
jeux-2d,MergeDragons,offline pro,5,,243,119,0.55
jeux-2d,MergeDragons,*=*,5,32,239,46,0.67
jeux-2d,MergeDragons,magic a,5,98,232,143,0.53
jeux-2d,MergeDragons,wagon,5,73,194,95,0.57
jeux-2d,MergeDragons,progresses,5,95,249,245,0.48
jeux-2d,MergeDragons,tales merge game,5,43,244,157,0.52
jeux-2d,MergeDragons,crystal magic,5,35,186,34,0.71
jeux-2d,MergeDragons,magic word,5,100,209,176,0.51
jeux-2d,MergeDragons,dragon coloring,5,75,219,1,5.00
jeux-2d,MergeDragons,dragons in the world,5,49,210,165,0.52
jeux-2d,MergeDragons,drangons quest,5,75,218,59,0.63
jeux-2d,MergeDragons,world of dragons 3d simulator,5,46,205,172,0.51
jeux-2d,MergeDragons,a.m.,5,91,247,71,0.61
jeux-2d,MergeDragons,a.m.a.,5,97,248,51,0.65
jeux-2d,MergeDragons,a.r.,5,82,241,147,0.53
jeux-2d,MergeDragons,a.u.,5,93,245,224,0.49
jeux-2d,MergeDragons,hero upgrade,5,79,204,71,0.61
jeux-2d,MergeDragons,cute lines,5,32,152,91,0.58
jeux-2d,MergeDragons,cloti,5,,212,104,0.56
jeux-2d,MergeDragons,grow harvest,5,40,245,216,0.49
jeux-2d,MergeDragons,linner,5,86,236,120,0.55
jeux-2d,MergeDragons,binn,5,42,236,171,0.51
jeux-2d,MergeDragons,fast growing,5,61,231,170,0.51
jeux-2d,MergeDragons,家庭游戏,5,38,242,238,0.48
jeux-2d,MergeDragons,agonizing,5,34,55,7,1.16
jeux-2d,MergeDragons,dinosaurs games for toddlers,5,80,223,81,0.59
jeux-2d,MergeDragons,two player gmaes,5,97,239,211,0.49
jeux-2d,MergeDragons,ying,5,,239,204,0.50
jeux-2d,MergeDragons,dird,5,,234,155,0.52
jeux-2d,MergeDragons,vird,5,,238,145,0.53
jeux-2d,MergeDragons,car fight games,5,96,239,207,0.50
jeux-2d,MergeDragons,bluming,5,56,217,23,0.79
jeux-2d,MergeDragons,mac,5,,241,75,0.60
jeux-2d,MergeDragons,post apocalypse game,5,97,242,235,0.49
jeux-2d,MergeDragons,fntsy,5,41,221,126,0.54
jeux-2d,MergeDragons,merge master ai,5,47,244,209,0.50
jeux-2d,MergeDragons,s1 s2,5,31,241,161,0.52
jeux-2d,MergeDragons,too game,5,92,241,148,0.53
jeux-2d,MergeDragons,لعاب بدون نت,5,79,248,229,0.49
jeux-2d,MergeDragons,magic fusion,5,,199,54,0.64
jeux-2d,MergeDragons,magiv,5,,237,66,0.62
jeux-2d,MergeDragons,dagn,5,,211,118,0.55
jeux-2d,MergeDragons,free%20wifi%20game,5,86,242,192,0.50
jeux-2d,MergeDragons,merge%20animals,5,47,237,231,0.49
jeux-2d,MergeDragons,free%20games%20for%20ipad,5,75,243,160,0.52
jeux-2d,MergeDragons,%E9%80%9A%E8%AE%AF%E5%BD%95%E7%AE%A1%E7%90%86,5,79,240,98,0.57
jeux-2d,MergeDragons,%E3%82%A2%E3%83%BC%E3%83%88%E3%82%BB%E3%83%83%E3%83%88,5,49,245,9,1.06
jeux-2d,MergeDragons,monster clash,5,48,194,80,0.59
jeux-2d,MergeDragons,3o,5,,230,163,0.52
jeux-2d,MergeDragons,dragon%20world,5,,134,14,0.91
jeux-2d,MergeDragons,enbrel,5,,153,46,0.67
jeux-2d,MergeDragons,amgic,5,,237,66,0.62
jeux-2d,MergeDragons,no plans,5,,231,202,0.50
jeux-2d,MergeDragons,no plan,5,,227,219,0.49
jeux-2d,MergeDragons,midas gaes,5,,28,6,1.24
jeux-2d,MergeDragons,midas games,5,63,176,4,1.49
jeux-2d,MergeDragons,little dragons,5,44,209,157,0.52
jeux-2d,MergeDragons,rise of the brave son,5,,193,32,0.73
jeux-2d,MergeDragons,gamy,5,,242,194,0.50
