cluster,app,keyword,popularity,competitiveness,num_apps,rank,importance
jeux-enfant,DinoPark,게임,78,89,247,113,8.63
jeux-enfant,DinoPark,games for kids,58,97,248,220,5.70
jeux-enfant,DinoPark,free games for kids,57,91,247,225,5.58
jeux-enfant,DinoPark,raptor,57,71,249,77,6.79
jeux-enfant,DinoPark,kid games,56,88,248,153,5.86
jeux-enfant,DinoPark,tocaboca,50,91,248,221,4.91
jeux-enfant,DinoPark,kids game,49,93,248,242,4.74
jeux-enfant,DinoPark,jurassic world alive,49,80,247,84,5.74
jeux-enfant,DinoPark,العاب اطفال,48,55,249,144,5.08
jeux-enfant,DinoPark,gme,45,79,247,136,4.81
jeux-enfant,DinoPark,jeux a 4,44,,247,243,4.25
jeux-enfant,DinoPark,de,44,100,248,204,4.38
jeux-enfant,DinoPark,dames,42,34,247,221,4.12
jeux-enfant,DinoPark,앱,42,81,246,175,4.29
jeux-enfant,DinoPark,ganes,38,84,247,106,4.25
jeux-enfant,DinoPark,juegos de dinosaurios,37,69,249,134,3.96
jeux-enfant,DinoPark,学習アプリ,37,88,250,126,4.01
jeux-enfant,DinoPark,jeux pour enfants de 2 à 6 ans,37,43,247,40,5.09
jeux-enfant,DinoPark,for,36,100,248,31,5.26
jeux-enfant,DinoPark,世界,35,81,221,53,4.51
jeux-enfant,DinoPark,seis,35,90,248,178,3.57
jeux-enfant,DinoPark,giochi bambini 3 anni,34,38,155,26,5.20
jeux-enfant,DinoPark,jeux pour enfants,33,80,247,9,6.96
jeux-enfant,DinoPark,giochi bambini 5 anni,30,76,240,44,4.03
jeux-enfant,DinoPark,성인게임,28,,247,138,2.98
jeux-enfant,DinoPark,교육,27,53,245,136,2.89
jeux-enfant,DinoPark,kid games for free,26,80,248,81,3.07
jeux-enfant,DinoPark,lego jurassic world,26,,241,30,3.83
jeux-enfant,DinoPark,과학,26,53,243,233,2.53
jeux-enfant,DinoPark,dinosaur games kids,25,57,244,3,8.71
jeux-enfant,DinoPark,game kids,24,74,245,68,2.93
jeux-enfant,DinoPark,t rex game,24,75,204,48,3.16
