cluster,app,keyword,popularity,competitiveness,num_apps,rank,importance
motion-games,JustDanceNow,coverstar,67,86,55,27,10.14
motion-games,JustDanceNow,2 player games,66,96,249,223,6.47
motion-games,JustDanceNow,toca,61,96,247,192,6.13
motion-games,JustDanceNow,музыка,60,95,243,109,6.68
motion-games,JustDanceNow,musica,56,89,244,27,8.48
motion-games,JustDanceNow,just dance,54,92,250,1,54.00
motion-games,JustDanceNow,dubsmash,52,94,250,11,10.24
motion-games,JustDanceNow,sismo,51,79,149,149,5.36
motion-games,JustDanceNow,da fit,50,58,249,100,5.66
motion-games,JustDanceNow,thriller,49,82,249,246,4.73
motion-games,JustDanceNow,ubisoft,47,59,248,26,7.18
motion-games,JustDanceNow,dance,46,79,249,2,21.11
motion-games,JustDanceNow,just dance controller,45,52,250,3,15.68
motion-games,JustDanceNow,body groove,29,43,47,39,4.01
motion-games,JustDanceNow,dancefitme,24,75,249,3,8.37
motion-games,JustDanceNow,dancing games,23,80,248,13,4.29
motion-games,JustDanceNow,tocca,21,89,246,201,2.10
motion-games,JustDanceNow,zumba fitness,18,67,246,129,1.94
motion-games,JustDanceNow,just fit,9,73,197,180,0.92
motion-games,JustDanceNow,dancebit,9,76,250,8,1.98
motion-games,JustDanceNow,just,7,72,248,9,1.48
motion-games,JustDanceNow,sazam,6,92,244,167,0.62
motion-games,JustDanceNow,baile,6,,244,1,6.00
motion-games,JustDanceNow,dancing,5,79,250,4,1.49
motion-games,JustDanceNow,dancing apps,5,79,249,1,5.00
motion-games,JustDanceNow,dance games,5,47,220,16,0.87
motion-games,JustDanceNow,wii games,5,68,249,10,1.02
motion-games,JustDanceNow,dance off,5,76,244,7,1.16
motion-games,JustDanceNow,muisc,5,93,241,134,0.54
motion-games,JustDanceNow,now delivery,5,,215,123,0.54
motion-games,JustDanceNow,the biggest loser,5,79,153,103,0.56
motion-games,JustDanceNow,dance class,5,49,250,61,0.63
motion-games,JustDanceNow,dunce,5,80,225,221,0.49
motion-games,JustDanceNow,hip hop dance,5,,246,56,0.64
motion-games,JustDanceNow,tanz,5,70,125,6,1.24
motion-games,JustDanceNow,dance game,5,66,232,13,0.93
motion-games,JustDanceNow,learn dance,5,62,250,9,1.06
motion-games,JustDanceNow,trill,5,61,132,118,0.55
motion-games,JustDanceNow,learn to dance,5,71,248,5,1.34
motion-games,JustDanceNow,shaman,5,100,170,104,0.56
motion-games,JustDanceNow,stepin,5,,34,7,1.16
motion-games,JustDanceNow,kpop dance,5,,249,7,1.16
motion-games,JustDanceNow,steezy,5,,20,2,2.29
motion-games,JustDanceNow,sharam,5,,196,90,0.58
motion-games,JustDanceNow,terremoto,5,64,221,32,0.73
motion-games,JustDanceNow,dance workout,5,79,250,3,1.74
motion-games,JustDanceNow,workout music app,5,,227,15,0.89
motion-games,JustDanceNow,now now,5,,224,63,0.62
motion-games,JustDanceNow,fortnite dances,5,,182,27,0.76
motion-games,JustDanceNow,zumba dance,5,68,248,2,2.29
motion-games,JustDanceNow,populer,5,68,236,171,0.51
motion-games,JustDanceNow,fitness dance,5,63,247,16,0.87
motion-games,JustDanceNow,dance now,5,,225,1,5.00
motion-games,JustDanceNow,dance lessons,5,70,250,5,1.34
motion-games,JustDanceNow,dances,5,76,249,1,5.00
motion-games,JustDanceNow,dance workout for weight loss,5,46,250,219,0.49
motion-games,JustDanceNow,dance dance revolution,5,82,249,4,1.49
motion-games,JustDanceNow,dubs,5,95,181,176,0.51
motion-games,JustDanceNow,biggest,5,42,206,32,0.73
motion-games,JustDanceNow,dance fitness,5,79,247,7,1.16
motion-games,JustDanceNow,tiktok game,5,86,227,159,0.52
motion-games,JustDanceNow,how to dance,5,90,249,1,5.00
motion-games,JustDanceNow,kids dance,5,62,250,13,0.93
motion-games,JustDanceNow,learn how to dance,5,73,41,4,1.49
motion-games,JustDanceNow,just the,5,68,237,108,0.56
motion-games,JustDanceNow,called,5,51,110,106,0.56
motion-games,JustDanceNow,songs shazam,5,96,238,170,0.51
motion-games,JustDanceNow,dance fit,5,,229,4,1.49
motion-games,JustDanceNow,1000000,5,,64,2,2.29
motion-games,JustDanceNow,learn dancing,5,40,228,31,0.73
motion-games,JustDanceNow,carxie,5,84,75,7,1.16
motion-games,JustDanceNow,muis,5,93,242,136,0.53
motion-games,JustDanceNow,learn hip hop dancing,5,42,205,18,0.84
motion-games,JustDanceNow,juts,5,55,249,18,0.84
motion-games,JustDanceNow,dhar,5,71,111,109,0.56
motion-games,JustDanceNow,dancebit weight,5,40,230,8,1.10
motion-games,JustDanceNow,dance kpop,5,40,244,129,0.54
motion-games,JustDanceNow,dhar man,5,,71,66,0.62
motion-games,JustDanceNow,dance workouts,5,77,248,12,0.96
motion-games,JustDanceNow,dança,5,82,249,14,0.91
motion-games,JustDanceNow,hip hop workout music,5,52,215,10,1.02
motion-games,JustDanceNow,dance party,5,75,244,4,1.49
motion-games,JustDanceNow,last call,5,95,131,129,0.54
motion-games,JustDanceNow,2023 date,5,54,173,151,0.52
motion-games,JustDanceNow,secret shuffle,5,49,203,196,0.50
motion-games,JustDanceNow,populate,5,93,204,135,0.54
motion-games,JustDanceNow,couple dance games for parties,5,40,244,211,0.49
motion-games,JustDanceNow,dance party games for adults,5,42,244,192,0.50
motion-games,JustDanceNow,music to dance to,5,25,244,132,0.54
motion-games,JustDanceNow,dance fitness free,5,67,248,4,1.49
motion-games,JustDanceNow,ove,5,,206,13,0.93
motion-games,JustDanceNow,ou vous,5,56,115,80,0.59
motion-games,JustDanceNow,dancing bear,5,67,146,67,0.61
motion-games,JustDanceNow,workouts dance,5,47,245,210,0.50
motion-games,JustDanceNow,dancefitme:fun workouts,5,57,248,4,1.49
motion-games,JustDanceNow,бк марафон,5,47,75,36,0.70
motion-games,JustDanceNow,dancefitme fun workouts,5,,222,3,1.74
motion-games,JustDanceNow,dubmate,5,56,191,139,0.53
motion-games,JustDanceNow,homework apop,5,,164,6,1.24
motion-games,JustDanceNow,dance moves,5,74,247,4,1.49
motion-games,JustDanceNow,justfit!,5,56,241,104,0.56
motion-games,JustDanceNow,뮤지컬,5,45,128,15,0.89
motion-games,JustDanceNow,Artificer,5,43,97,58,0.63
motion-games,JustDanceNow,weight loss dance,5,51,71,20,0.82
motion-games,JustDanceNow,barre workouts,5,37,184,142,0.53
motion-games,JustDanceNow,dance workout weight loss,5,49,249,6,1.24
motion-games,JustDanceNow,rhythm+,5,79,210,37,0.70
motion-games,JustDanceNow,tiktok song,5,91,198,126,0.54
motion-games,JustDanceNow,fakce,5,68,247,2,2.29
motion-games,JustDanceNow,tiktok dances,5,94,248,20,0.82
motion-games,JustDanceNow,gameover,5,97,226,224,0.49
motion-games,JustDanceNow,zuna,5,70,214,119,0.55
motion-games,JustDanceNow,saddam,5,95,197,28,0.75
motion-games,JustDanceNow,dance cardio,5,82,250,5,1.34
motion-games,JustDanceNow,tiktok\,5,82,169,151,0.52
motion-games,JustDanceNow,create dance,5,40,243,94,0.57
motion-games,JustDanceNow,tiktök,5,93,171,145,0.53
motion-games,JustDanceNow,gry logiczne,5,78,245,162,0.52
motion-games,JustDanceNow,tap dancing,5,,206,35,0.71
motion-games,JustDanceNow,dancebi,5,,33,4,1.49
motion-games,JustDanceNow,dancebiy,5,,33,4,1.49
motion-games,JustDanceNow,dance lesson,5,68,231,5,1.34
motion-games,JustDanceNow,shazam2,5,74,185,3,1.74
motion-games,JustDanceNow,zumba exercises,5,,216,8,1.10
motion-games,JustDanceNow,jogo de ritmo,5,,239,104,0.56
motion-games,JustDanceNow,jogo ritmo,5,,138,34,0.71
motion-games,JustDanceNow,juust,5,,234,7,1.16
motion-games,JustDanceNow,copperknob,5,,227,220,0.49
motion-games,JustDanceNow,tap to learn,5,45,195,63,0.62
motion-games,JustDanceNow,line%20learner,5,82,218,12,0.96
motion-games,JustDanceNow,go%202,5,82,69,45,0.67
motion-games,JustDanceNow,dance%20battle,5,52,214,11,0.98
motion-games,JustDanceNow,dance%20game,5,55,196,8,1.10
motion-games,JustDanceNow,dance%20dance%20revolution,5,59,214,5,1.34
motion-games,JustDanceNow,dance%20fitness,5,52,238,9,1.06
motion-games,JustDanceNow,dance%20workout,5,53,250,230,0.49
motion-games,JustDanceNow,love%20count,5,30,203,30,0.74
motion-games,JustDanceNow,play kalimba,5,45,221,46,0.67
motion-games,JustDanceNow,dance%20fitness%20free,5,46,249,105,0.56
motion-games,JustDanceNow,play & dance kids,5,,249,144,0.53
motion-games,JustDanceNow,dance kids,5,58,250,1,5.00
motion-games,JustDanceNow,dance learn,5,,249,2,2.29
motion-games,JustDanceNow,dance dance revolution calculator,5,,216,15,0.89
motion-games,JustDanceNow,dance game calculator,5,,217,5,1.34
motion-games,JustDanceNow,edpt pre,5,52,220,5,1.34
motion-games,JustDanceNow,dance game companion,5,,199,10,1.02
motion-games,JustDanceNow,dance nights,5,,226,12,0.96
motion-games,JustDanceNow,milonga night,5,,209,10,1.02
motion-games,JustDanceNow,dancer tip tracker,5,,232,9,1.06
motion-games,JustDanceNow,the graduate,5,,146,126,0.54
motion-games,JustDanceNow,musical theater,5,,181,120,0.55
motion-games,JustDanceNow,dance gmes,5,,241,18,0.84
motion-games,JustDanceNow,dancedancerevolution,5,,227,1,5.00
motion-games,JustDanceNow,appsallday,5,,231,4,1.49
motion-games,JustDanceNow,sheram,5,,200,113,0.55
motion-games,JustDanceNow,fitness by dance,5,67,249,7,1.16
motion-games,JustDanceNow,dance ninja,5,84,250,4,1.49
motion-games,JustDanceNow,club dance,5,,211,19,0.83
motion-games,JustDanceNow,health by game,5,,225,170,0.51
motion-games,JustDanceNow,outfit iai,5,,217,208,0.50
motion-games,JustDanceNow,just dance weight loss,5,,226,19,0.83
motion-games,JustDanceNow,dance mat,5,,233,1,5.00
motion-games,JustDanceNow,dance dance revoultion,5,,250,4,1.49
motion-games,JustDanceNow,kid dance,5,53,247,14,0.91
motion-games,JustDanceNow,cance,5,,217,3,1.74
motion-games,JustDanceNow,grovetime,5,,31,4,1.49
motion-games,JustDanceNow,trending tiktok songs,5,,190,127,0.54
motion-games,JustDanceNow,ryhtm,5,,220,200,0.50
motion-games,JustDanceNow,presets hula,5,,222,28,0.75
motion-games,JustDanceNow,how things work,5,,200,152,0.52
motion-games,JustDanceNow,tiktok for games,5,65,208,202,0.50
motion-games,JustDanceNow,pic to dance,5,,236,64,0.62
motion-games,JustDanceNow,freeze dance,5,,248,3,1.74
motion-games,JustDanceNow,baby dance maker,5,74,229,32,0.73
motion-games,JustDanceNow,dj mix nama,5,,170,36,0.70
motion-games,JustDanceNow,dancr,5,,250,1,5.00
motion-games,JustDanceNow,dance floot,5,,221,4,1.49
motion-games,JustDanceNow,dance floor,5,78,224,4,1.49
motion-games,JustDanceNow,dance now step,5,,220,4,1.49
motion-games,JustDanceNow,intricate training for,5,,232,17,0.86
motion-games,JustDanceNow,steezy learn how,5,,206,14,0.91
motion-games,JustDanceNow,tmilly learn dance,5,,228,37,0.70
motion-games,JustDanceNow,brings dance,5,,235,7,1.16
motion-games,JustDanceNow,class dance,5,,243,27,0.76
motion-games,JustDanceNow,classic ballroom,5,,223,8,1.10
motion-games,JustDanceNow,dance beat,5,45,247,79,0.59
motion-games,JustDanceNow,dance combinations,5,,233,8,1.10
motion-games,JustDanceNow,dance content,5,,230,6,1.24
motion-games,JustDanceNow,dance education,5,,249,125,0.54
motion-games,JustDanceNow,dance here,5,,238,5,1.34
motion-games,JustDanceNow,dance inspiration,5,,231,6,1.24
motion-games,JustDanceNow,dance journey,5,,234,8,1.10
motion-games,JustDanceNow,dance makes,5,,237,36,0.70
motion-games,JustDanceNow,dance monthly,5,,236,5,1.34
motion-games,JustDanceNow,dance online,5,,229,31,0.73
motion-games,JustDanceNow,dance routine,5,,248,103,0.56
motion-games,JustDanceNow,dance routines,5,,243,4,1.49
motion-games,JustDanceNow,dance step,5,,215,19,0.83
motion-games,JustDanceNow,dance style,5,,223,9,1.06
motion-games,JustDanceNow,dance styles,5,,228,14,0.91
motion-games,JustDanceNow,dance this,5,,230,7,1.16
motion-games,JustDanceNow,dance you,5,,214,9,1.06
motion-games,JustDanceNow,dancer the,5,,241,183,0.51
motion-games,JustDanceNow,dancers app,5,,206,16,0.87
motion-games,JustDanceNow,dancers featuring,5,,224,7,1.16
motion-games,JustDanceNow,dancers the,5,,201,8,1.10
motion-games,JustDanceNow,dancers who,5,,217,13,0.93
motion-games,JustDanceNow,dancers will,5,,170,13,0.93
motion-games,JustDanceNow,dances are,5,,225,2,2.29
motion-games,JustDanceNow,dancing country,5,,207,9,1.06
motion-games,JustDanceNow,dancing latin,5,,182,10,1.02
motion-games,JustDanceNow,dancing strengthens,5,,228,3,1.74
motion-games,JustDanceNow,dancing with,5,,221,8,1.10
motion-games,JustDanceNow,daughter dance,5,,227,18,0.84
motion-games,JustDanceNow,certified baddie dance llc,5,,229,18,0.84
motion-games,JustDanceNow,coffee talk: episode 1,5,,211,14,0.91
motion-games,JustDanceNow,define dance,5,,241,22,0.80
motion-games,JustDanceNow,ev dance,5,,213,12,0.96
motion-games,JustDanceNow,hollywood connection dance,5,,225,22,0.80
motion-games,JustDanceNow,just dance 2025 controller,5,,223,3,1.74
motion-games,JustDanceNow,organic dance: weight loss app,5,,217,33,0.72
motion-games,JustDanceNow,teachdance,5,,221,18,0.84
motion-games,JustDanceNow,dance one,5,,222,13,0.93
motion-games,JustDanceNow,dancetime salsa beat finder,5,40,246,175,0.51
motion-games,JustDanceNow,rhythm fitness,5,,225,39,0.69
motion-games,JustDanceNow,free workout apps game,5,,249,197,0.50
motion-games,JustDanceNow,dance counter,5,,234,1,5.00
motion-games,JustDanceNow,dance diary,5,,234,6,1.24
motion-games,JustDanceNow,dance log,5,,230,6,1.24
motion-games,JustDanceNow,dance tracker,5,,249,14,0.91
motion-games,JustDanceNow,roller tap resolver,5,,188,12,0.96
motion-games,JustDanceNow,dance tutorial,5,68,249,3,1.74
motion-games,JustDanceNow,jazz dance log,5,,224,8,1.10
motion-games,JustDanceNow,hip hop dance log,5,,209,14,0.91
