cluster,app,keyword,popularity,competitiveness,num_apps,rank,importance
outdoor-nature,bergfex,all trails,66,97,248,145,6.97
outdoor-nature,bergfex,alltrails,57,97,248,73,6.87
outdoor-nature,bergfex,via,55,96,250,97,6.26
outdoor-nature,bergfex,trace,52,91,249,247,5.01
outdoor-nature,bergfex,kaiser,52,68,212,103,5.85
outdoor-nature,bergfex,17track,51,97,248,207,5.06
outdoor-nature,bergfex,komoot,50,98,247,121,5.46
outdoor-nature,bergfex,wetter app kostenlos,45,90,241,70,5.47
outdoor-nature,bergfex,wandern,41,68,237,3,14.29
outdoor-nature,bergfex,gmb,40,89,250,234,3.89
outdoor-nature,bergfex,navigation kostenlos,32,89,213,115,3.53
outdoor-nature,bergfex,percorsi trekking,31,87,249,6,7.66
outdoor-nature,bergfex,apple wetter,28,67,238,30,4.13
outdoor-nature,bergfex,berge erkennen,27,70,77,3,9.41
outdoor-nature,bergfex,visor,24,79,248,225,2.35
outdoor-nature,bergfex,wette,21,60,160,112,2.33
outdoor-nature,bergfex,gos,20,96,247,107,2.23
outdoor-nature,bergfex,wetterbericht,15,66,238,51,1.95
outdoor-nature,bergfex,wetteralarm,14,90,233,40,1.92
outdoor-nature,bergfex,hike route,10,72,244,12,1.91
outdoor-nature,bergfex,hiking,9,97,246,230,0.88
outdoor-nature,bergfex,polar steps,8,86,157,47,1.06
outdoor-nature,bergfex,montagna,8,49,234,20,1.31
outdoor-nature,bergfex,trailhead,8,89,248,220,0.79
outdoor-nature,bergfex,avalanche,8,57,244,125,0.87
outdoor-nature,bergfex,itinéraire,7,91,245,134,0.75
outdoor-nature,bergfex,peakvisor,7,69,227,17,1.20
outdoor-nature,bergfex,via ferrata,7,93,204,5,1.87
outdoor-nature,bergfex,randonnee,6,49,249,24,0.94
outdoor-nature,bergfex,senderismo,6,88,250,35,0.85
outdoor-nature,bergfex,wetter pro,6,56,232,137,0.64
outdoor-nature,bergfex,mountain maps,6,49,248,221,0.59
outdoor-nature,bergfex,gbs,5,95,247,184,0.51
outdoor-nature,bergfex,elevation map,5,68,194,43,0.68
outdoor-nature,bergfex,elevation finder,5,,196,140,0.53
outdoor-nature,bergfex,ski apple watch,5,51,245,65,0.62
outdoor-nature,bergfex,gpx trail tracker,5,76,247,124,0.54
outdoor-nature,bergfex,traking,5,94,231,181,0.51
outdoor-nature,bergfex,mountain watch,5,,247,27,0.76
outdoor-nature,bergfex,hikes,5,85,241,119,0.55
outdoor-nature,bergfex,kayak trails,5,,175,143,0.53
outdoor-nature,bergfex,walkmeter walking hiking gps,5,92,235,32,0.73
outdoor-nature,bergfex,wanderrouten,5,62,240,2,2.29
outdoor-nature,bergfex,hiking gps,5,81,247,113,0.55
outdoor-nature,bergfex,hiking maps,5,90,247,46,0.67
outdoor-nature,bergfex,motorcycle route planner,5,,224,224,0.49
outdoor-nature,bergfex,calcul itineraire,5,91,249,209,0.50
outdoor-nature,bergfex,gps de randonnée,5,56,242,20,0.82
