cluster,app,keyword,popularity,competitiveness,num_apps,rank,importance
outils-telephone,UniversalRemote,vizio tv remote,68,95,250,189,6.86
outils-telephone,UniversalRemote,telecommande universelle gratuit,68,74,250,165,7.02
outils-telephone,UniversalRemote,samsung tv remote,67,93,250,58,8.47
outils-telephone,UniversalRemote,samsung  tv remote,67,91,250,54,8.60
outils-telephone,UniversalRemote,tv remote,64,100,250,146,6.75
outils-telephone,UniversalRemote,tv remote:,64,82,225,26,9.78
outils-telephone,UniversalRemote,control remoto universal,63,92,250,161,6.53
outils-telephone,UniversalRemote,lg tv remote,63,92,249,40,8.66
outils-telephone,UniversalRemote,roku remote control free,63,95,247,51,8.19
outils-telephone,UniversalRemote,lg tv  remote,63,93,249,50,8.23
outils-telephone,UniversalRemote,remote,62,100,249,232,6.04
outils-telephone,UniversalRemote,universal remote free,62,86,250,33,8.92
outils-telephone,UniversalRemote,remote:,62,97,247,142,6.57
outils-telephone,UniversalRemote,onn tv remote,57,100,250,146,6.01
outils-telephone,UniversalRemote,onn tv  remote,57,96,250,135,6.10
outils-telephone,UniversalRemote,lg remote,56,83,249,71,6.79
outils-telephone,UniversalRemote,tv remote universal remote,55,89,250,173,5.63
outils-telephone,UniversalRemote,vizo remote,54,84,250,97,6.15
outils-telephone,UniversalRemote,fire tv remote,52,90,249,123,5.66
outils-telephone,UniversalRemote,fire: tv remote,52,56,233,191,5.23
outils-telephone,UniversalRemote,samsung smart switch,50,76,250,85,5.84
outils-telephone,UniversalRemote,apple tv remote,49,94,250,192,4.93
outils-telephone,UniversalRemote,control remoto universal gratis,49,94,250,28,7.35
outils-telephone,UniversalRemote,toshiba tv remote,48,90,250,146,5.06
outils-telephone,UniversalRemote,universal remote tv controller,48,80,248,60,6.03
outils-telephone,UniversalRemote,lg tv plus,47,68,250,197,4.71
outils-telephone,UniversalRemote,samsung tv remote control,47,83,248,106,5.26
outils-telephone,UniversalRemote,lg remote control,46,91,250,88,5.34
outils-telephone,UniversalRemote,google tv remote,44,89,247,96,5.02
outils-telephone,UniversalRemote,universal remote tv control,44,92,248,60,5.52
outils-telephone,UniversalRemote,stick remote control for tv,44,68,250,90,5.08
outils-telephone,UniversalRemote,samsung smart view,43,83,249,98,4.89
outils-telephone,UniversalRemote,samsung watch,43,73,249,188,4.34
outils-telephone,UniversalRemote,universal remote: tv control,43,75,242,32,6.24
outils-telephone,UniversalRemote,ac remote control,42,54,249,80,4.97
outils-telephone,UniversalRemote,smart remote control app,42,44,247,51,5.46
outils-telephone,UniversalRemote,remote tv,40,93,250,74,4.81
outils-telephone,UniversalRemote,telecommande bouygues,40,,246,34,5.71
outils-telephone,UniversalRemote,remote atv,40,64,250,33,5.76
outils-telephone,UniversalRemote,free universal tv remote,39,86,250,37,5.46
outils-telephone,UniversalRemote,smart view samsung tv,39,79,249,98,4.43
outils-telephone,UniversalRemote,mando tv,37,73,250,245,3.57
outils-telephone,UniversalRemote,mando lg smart tv,37,75,242,49,4.85
outils-telephone,UniversalRemote,control samsung smart tv,36,85,250,217,3.55
outils-telephone,UniversalRemote,samsung tv plus,36,97,250,78,4.28
outils-telephone,UniversalRemote,lg remote control free,36,89,250,231,3.51
outils-telephone,UniversalRemote,vizio remote control,35,84,247,141,3.72
outils-telephone,UniversalRemote,lg remote control app for tv,33,75,249,75,3.95
outils-telephone,UniversalRemote,samsung remote control free,32,88,250,184,3.24
outils-telephone,UniversalRemote,hisense tv remote free,32,85,249,174,3.27
outils-telephone,UniversalRemote,ruko smart tv remote control,32,83,247,11,6.30
outils-telephone,UniversalRemote,control para tv samsung,30,74,247,68,3.67
outils-telephone,UniversalRemote,control remoto universal gratis para tv,30,93,247,24,4.68
outils-telephone,UniversalRemote,rokie tv smart tv remote,30,,248,46,3.99
outils-telephone,UniversalRemote,control sony,29,76,250,197,2.90
outils-telephone,UniversalRemote,onn tv remote free,29,97,250,245,2.80
outils-telephone,UniversalRemote,lg control for tv,29,,249,172,2.97
outils-telephone,UniversalRemote,emerson tv remote,28,91,250,9,5.91
outils-telephone,UniversalRemote,pluto tv free,28,96,249,71,3.39
outils-telephone,UniversalRemote,sony tv remote control,28,92,248,50,3.66
outils-telephone,UniversalRemote,remote for samsung tv,28,91,250,247,2.70
outils-telephone,UniversalRemote,control smart tv,28,75,250,68,3.42
outils-telephone,UniversalRemote,control remoto universal free,28,90,250,129,3.02
outils-telephone,UniversalRemote,lg universal tv remote,28,91,250,214,2.76
outils-telephone,UniversalRemote,tv fernbedienung,27,60,248,32,3.92
outils-telephone,UniversalRemote,xfinity remote,26,93,246,42,3.53
outils-telephone,UniversalRemote,free universal tv remote control,26,89,248,45,3.48
outils-telephone,UniversalRemote,free remote for samsung tv,26,91,250,133,2.79
outils-telephone,UniversalRemote,btv,25,92,168,63,3.11
outils-telephone,UniversalRemote,smart things for smart tv,25,70,247,202,2.49
outils-telephone,UniversalRemote,remote control app,24,97,250,145,2.54
outils-telephone,UniversalRemote,ir,24,95,168,6,5.93
outils-telephone,UniversalRemote,fire tv remote control free,24,86,248,248,2.31
outils-telephone,UniversalRemote,control lg gratis,24,79,249,49,3.15
outils-telephone,UniversalRemote,free lg tv remote control,24,94,249,33,3.45
outils-telephone,UniversalRemote,apple tv remote free,23,83,245,12,4.40
outils-telephone,UniversalRemote,remote control lg smart tv,23,76,248,143,2.44
outils-telephone,UniversalRemote,tv control universal remote,23,90,248,46,3.06
outils-telephone,UniversalRemote,free roku tv remote universal,23,,247,132,2.47
outils-telephone,UniversalRemote,telecomando tv,22,93,245,29,3.27
outils-telephone,UniversalRemote,universal remote samsung,22,89,250,56,2.80
outils-telephone,UniversalRemote,smart tv remote for samsung,22,76,245,12,4.21
outils-telephone,UniversalRemote,samsung remote app,21,90,250,11,4.13
outils-telephone,UniversalRemote,free remote for vizio tv,21,92,250,201,2.10
outils-telephone,UniversalRemote,toshiba tv remote free,21,90,250,36,2.96
outils-telephone,UniversalRemote,tv remote control universal,21,95,246,106,2.35
outils-telephone,UniversalRemote,control tv gratis,21,76,248,13,3.92
outils-telephone,UniversalRemote,sanyo tv remote free,21,93,250,233,2.04
outils-telephone,UniversalRemote,youtube tv remote,19,97,247,166,1.96
outils-telephone,UniversalRemote,télécommande tv samsung,18,76,246,19,3.00
outils-telephone,UniversalRemote,samsung remote free,17,88,250,122,1.85
outils-telephone,UniversalRemote,control remoto lg gratis,17,73,250,18,2.87
outils-telephone,UniversalRemote,bauhn tv remote,16,76,246,64,1.98
outils-telephone,UniversalRemote,control remoto universal lg,16,78,250,10,3.25
outils-telephone,UniversalRemote,fire tv remote app,15,66,250,113,1.66
outils-telephone,UniversalRemote,toshiba fire tv remote,15,55,250,245,1.45
outils-telephone,UniversalRemote,free samsung remote control,15,93,250,14,2.73
outils-telephone,UniversalRemote,리모트,14,64,244,109,1.56
outils-telephone,UniversalRemote,universal remote for tv smart,13,67,249,51,1.69
outils-telephone,UniversalRemote,video tv cast for samsung tv,13,,240,76,1.55
outils-telephone,UniversalRemote,westinghouse tv remote,12,93,249,174,1.23
outils-telephone,UniversalRemote,sanyo,11,86,250,206,1.09
outils-telephone,UniversalRemote,haier tv remote,11,87,249,80,1.30
outils-telephone,UniversalRemote,samsung fernbedienung,11,81,242,39,1.52
outils-telephone,UniversalRemote,lgtv,10,91,250,177,1.02
outils-telephone,UniversalRemote,control remote,10,94,248,73,1.20
outils-telephone,UniversalRemote,블루투스 리모컨,10,71,242,12,1.91
outils-telephone,UniversalRemote,uniremote universal tv remote,10,,240,64,1.24
outils-telephone,UniversalRemote,control remoto lg,9,75,249,29,1.34
outils-telephone,UniversalRemote,sony remote,9,91,247,163,0.93
outils-telephone,UniversalRemote,remote lg,9,75,249,31,1.32
outils-telephone,UniversalRemote,lg webos,9,60,246,208,0.89
outils-telephone,UniversalRemote,tv remote lg,9,87,234,13,1.68
outils-telephone,UniversalRemote,remote control lg,9,74,246,29,1.34
outils-telephone,UniversalRemote,lg universal remote,9,75,245,9,1.90
outils-telephone,UniversalRemote,lg control,9,83,248,42,1.22
outils-telephone,UniversalRemote,easy line remote,9,52,250,187,0.91
outils-telephone,UniversalRemote,amazon tv remote,9,84,248,85,1.05
outils-telephone,UniversalRemote,firetv remote,9,80,250,83,1.06
outils-telephone,UniversalRemote,unimote,9,90,250,154,0.94
outils-telephone,UniversalRemote,sky tv remote,9,82,249,65,1.11
outils-telephone,UniversalRemote,tv smart remote control,9,74,250,128,0.97
outils-telephone,UniversalRemote,yool tv,9,,249,54,1.16
outils-telephone,UniversalRemote,any tv remote control,9,,249,42,1.22
outils-telephone,UniversalRemote,bluetooth mouse,8,48,250,14,1.46
outils-telephone,UniversalRemote,itunes remote,8,81,235,40,1.10
outils-telephone,UniversalRemote,remote control for tv samsung,8,86,249,181,0.81
outils-telephone,UniversalRemote,universal tv remote control,8,85,249,36,1.13
outils-telephone,UniversalRemote,control remoto tv universal,8,95,249,12,1.53
outils-telephone,UniversalRemote,sharp tv remote,8,79,250,122,0.87
outils-telephone,UniversalRemote,mi remote controller,8,40,250,185,0.81
outils-telephone,UniversalRemote,samsung tv remote free,8,90,250,211,0.79
outils-telephone,UniversalRemote,stick remote control,8,,250,55,1.02
outils-telephone,UniversalRemote,video tv cast for samsung smart tv,7,71,240,83,0.82
outils-telephone,UniversalRemote,android tv remote control,7,79,250,128,0.76
outils-telephone,UniversalRemote,remote control for tv lg,7,75,248,22,1.12
outils-telephone,UniversalRemote,lg xboom,7,,182,18,1.18
outils-telephone,UniversalRemote,tv cast sharp,7,80,239,54,0.90
outils-telephone,UniversalRemote,tv remote free,7,95,250,174,0.72
outils-telephone,UniversalRemote,tv remote universal control,7,94,246,37,0.98
outils-telephone,UniversalRemote,ac remote controller,7,50,248,100,0.79
outils-telephone,UniversalRemote,ir remote,6,77,250,133,0.64
outils-telephone,UniversalRemote,virgin remote,6,46,248,139,0.64
outils-telephone,UniversalRemote,tv smart,6,70,250,149,0.63
outils-telephone,UniversalRemote,lg smart thinq,6,72,242,72,0.72
outils-telephone,UniversalRemote,lg magic remote,6,59,250,13,1.12
outils-telephone,UniversalRemote,toshiba,6,89,244,167,0.62
outils-telephone,UniversalRemote,ceiling fan remote,6,43,249,226,0.59
outils-telephone,UniversalRemote,lg controller,6,78,237,56,0.76
outils-telephone,UniversalRemote,remote control for tv free,6,96,250,151,0.63
outils-telephone,UniversalRemote,free universal remote,6,82,250,8,1.32
outils-telephone,UniversalRemote,control remoto samsung gratis,6,65,250,248,0.58
outils-telephone,UniversalRemote,remote for hisense tv,6,,248,229,0.59
outils-telephone,UniversalRemote,do cast,6,,229,116,0.66
outils-telephone,UniversalRemote,video y tv cast for samsung,6,,242,144,0.63
outils-telephone,UniversalRemote,imote,6,97,250,209,0.59
outils-telephone,UniversalRemote,any tv universal remote,6,,247,128,0.65
outils-telephone,UniversalRemote,mac remote,5,48,250,14,0.91
outils-telephone,UniversalRemote,remote for mac,5,48,248,12,0.96
outils-telephone,UniversalRemote,pause remote,5,48,247,76,0.60
outils-telephone,UniversalRemote,tv remote no wifi,5,,250,15,0.89
outils-telephone,UniversalRemote,tv control app,5,79,250,74,0.60
outils-telephone,UniversalRemote,tv control universal,5,70,246,72,0.60
outils-telephone,UniversalRemote,ipad remote,5,42,250,12,0.96
outils-telephone,UniversalRemote,mouse for computer,5,40,247,13,0.93
outils-telephone,UniversalRemote,free tv app,5,87,248,198,0.50
outils-telephone,UniversalRemote,soundbar remote,5,92,249,81,0.59
outils-telephone,UniversalRemote,smart remote control sony,5,70,247,79,0.59
outils-telephone,UniversalRemote,lg tv screen share,5,65,246,189,0.50
outils-telephone,UniversalRemote,sharp tv,5,81,250,78,0.59
outils-telephone,UniversalRemote,video tv cast for lg smart tv,5,40,238,78,0.59
outils-telephone,UniversalRemote,lg tv cast,5,57,245,145,0.53
outils-telephone,UniversalRemote,lg smart tv,5,46,247,46,0.67
outils-telephone,UniversalRemote,remote control for apple tv,5,63,248,14,0.91
outils-telephone,UniversalRemote,remot,5,100,247,148,0.53
outils-telephone,UniversalRemote,hulu remote,5,,217,182,0.51
outils-telephone,UniversalRemote,samsung smart tv remote,5,95,250,139,0.53
outils-telephone,UniversalRemote,samsung smartview for ipad,5,70,230,183,0.51
outils-telephone,UniversalRemote,samsung tv remote app,5,90,250,62,0.62
outils-telephone,UniversalRemote,tv remote for samsung,5,93,247,62,0.62
outils-telephone,UniversalRemote,samsumg,5,38,195,90,0.58
outils-telephone,UniversalRemote,wi fi remote,5,75,249,162,0.52
outils-telephone,UniversalRemote,video tv cast samsung tv,5,70,240,139,0.53
outils-telephone,UniversalRemote,tv cast samsung,5,72,244,144,0.53
outils-telephone,UniversalRemote,remote for tv,5,95,249,177,0.51
outils-telephone,UniversalRemote,universal remote tv smart,5,79,249,107,0.56
outils-telephone,UniversalRemote,tv remote universal,5,96,246,8,1.10
outils-telephone,UniversalRemote,remote control tv,5,80,248,247,0.48
outils-telephone,UniversalRemote,fernbedienung mac,5,48,240,50,0.65
outils-telephone,UniversalRemote,android remote,5,73,249,156,0.52
outils-telephone,UniversalRemote,seiki tv remote,5,86,250,133,0.54
outils-telephone,UniversalRemote,telecommande mac,5,46,250,104,0.56
outils-telephone,UniversalRemote,remote hd,5,46,245,34,0.71
outils-telephone,UniversalRemote,magnavox tv remote,5,,249,65,0.62
outils-telephone,UniversalRemote,quick remote,5,74,248,6,1.24
outils-telephone,UniversalRemote,universität,5,61,250,147,0.53
outils-telephone,UniversalRemote,anymote smart universal remote,5,93,250,208,0.50
outils-telephone,UniversalRemote,tagesplaner,5,89,244,162,0.52
outils-telephone,UniversalRemote,tv steuerung,5,81,208,51,0.65
outils-telephone,UniversalRemote,watch control,5,82,245,77,0.60
outils-telephone,UniversalRemote,movie remote,5,88,244,139,0.53
outils-telephone,UniversalRemote,iphone tv,5,59,243,162,0.52
outils-telephone,UniversalRemote,remote samsung,5,81,249,11,0.98
outils-telephone,UniversalRemote,touchcast,5,61,124,88,0.58
outils-telephone,UniversalRemote,master remote,5,,226,30,0.74
outils-telephone,UniversalRemote,tv remote samsung,5,77,248,48,0.66
outils-telephone,UniversalRemote,samsung remote tv,5,64,233,44,0.67
outils-telephone,UniversalRemote,freeview remote,5,40,246,118,0.55
outils-telephone,UniversalRemote,mac リモコン,5,45,250,215,0.49
outils-telephone,UniversalRemote,tv programm app,5,81,239,201,0.50
outils-telephone,UniversalRemote,planning scolaire,5,66,244,213,0.49
outils-telephone,UniversalRemote,tele samsung,5,80,220,56,0.64
outils-telephone,UniversalRemote,panasonic tv remote 2,5,73,248,67,0.61
outils-telephone,UniversalRemote,vios,5,79,179,112,0.55
outils-telephone,UniversalRemote,lg plus,5,,189,23,0.79
outils-telephone,UniversalRemote,universal remote control for tv,5,77,245,79,0.59
outils-telephone,UniversalRemote,dynex tv remote,5,89,250,43,0.68
outils-telephone,UniversalRemote,haier remote,5,,250,35,0.71
outils-telephone,UniversalRemote,rca remote,5,75,250,111,0.55
outils-telephone,UniversalRemote,denon 500 series remote,5,,212,204,0.50
outils-telephone,UniversalRemote,sansui remote,5,89,250,10,1.02
outils-telephone,UniversalRemote,lg app,5,83,241,52,0.65
outils-telephone,UniversalRemote,lg tv app,5,54,247,122,0.55
outils-telephone,UniversalRemote,tv lg,5,75,244,111,0.55
outils-telephone,UniversalRemote,dvd player remote,5,76,250,9,1.06
outils-telephone,UniversalRemote,ir blaster,5,46,173,14,0.91
outils-telephone,UniversalRemote,dvd remote,5,76,245,4,1.49
outils-telephone,UniversalRemote,smart tv lg,5,91,222,15,0.89
outils-telephone,UniversalRemote,for tv,5,77,227,137,0.53
outils-telephone,UniversalRemote,dvd remote control,5,75,250,5,1.34
outils-telephone,UniversalRemote,wifi tv remote,5,,250,233,0.49
outils-telephone,UniversalRemote,samsung cast to tv,5,65,238,163,0.52
outils-telephone,UniversalRemote,remote control for all tv,5,81,248,71,0.61
outils-telephone,UniversalRemote,all tv remote,5,93,249,150,0.52
outils-telephone,UniversalRemote,sky q remote control,5,58,248,240,0.48
