cluster,app,keyword,popularity,competitiveness,num_apps,rank,importance
utilitaires,Compass,compass,63,64,250,6,15.56
utilitaires,Compass,reading com,59,92,241,198,5.90
utilitaires,Compass,bevel,58,67,122,42,7.88
utilitaires,Compass,o,57,98,247,66,7.01
utilitaires,Compass,livre,56,98,249,211,5.54
utilitaires,Compass,true,56,69,248,47,7.42
utilitaires,Compass,kompass,55,55,250,12,10.52
utilitaires,Compass,compass free,54,88,250,1,54.00
utilitaires,Compass,compass time,51,49,250,4,15.19
utilitaires,Compass,boussole,48,50,241,8,10.58
utilitaires,Compass,as,47,100,248,215,4.64
utilitaires,Compass,指南针,43,49,250,13,8.02
utilitaires,Compass,brujula,39,42,246,3,13.59
utilitaires,Compass,simple mobile,38,95,249,49,4.99
utilitaires,Compass,gps navigation,32,95,246,214,3.16
utilitaires,Compass,navigate student,32,98,250,134,3.43
utilitaires,Compass,compass real estate,31,70,248,10,6.30
utilitaires,Compass,kostenlos,28,90,249,164,2.89
utilitaires,Compass,自由,28,51,239,124,3.04
utilitaires,Compass,mekka kompass,26,57,247,140,2.76
utilitaires,Compass,compass nil,25,46,250,3,8.71
utilitaires,Compass,suna,25,97,248,169,2.57
utilitaires,Compass,旅程,23,46,246,231,2.24
utilitaires,Compass,navigon,21,89,238,205,2.09
utilitaires,Compass,simpli,12,76,245,172,1.23
utilitaires,Compass,free compass,9,35,248,4,2.68
utilitaires,Compass,compass school,9,50,250,4,2.68
utilitaires,Compass,angle finder,8,51,250,94,0.92
utilitaires,Compass,brújula,8,42,243,5,2.14
utilitaires,Compass,ahead app,8,55,243,202,0.80
utilitaires,Compass,pusula,7,55,250,122,0.76
utilitaires,Compass,directions,6,94,246,6,1.48
utilitaires,Compass,bussola,6,51,240,5,1.61
utilitaires,Compass,une,6,98,247,154,0.63
utilitaires,Compass,wind compass,6,68,245,10,1.22
utilitaires,Compass,navigation for iphone free,5,87,248,36,0.70
utilitaires,Compass,gyroscope,5,55,246,36,0.70
utilitaires,Compass,big head,5,95,168,48,0.66
utilitaires,Compass,compass app,5,51,250,6,1.24
utilitaires,Compass,free navigation,5,89,247,115,0.55
utilitaires,Compass,utilitaire,5,,249,171,0.51
utilitaires,Compass,simple phone,5,53,249,133,0.54
utilitaires,Compass,compass portal,5,,181,95,0.57
utilitaires,Compass,direction map,5,,201,86,0.58
utilitaires,Compass,map directions,5,82,240,206,0.50
utilitaires,Compass,bog,5,100,248,181,0.51
utilitaires,Compass,navitel navigator,5,94,226,198,0.50
utilitaires,Compass,kostenlose,5,86,250,191,0.50
utilitaires,Compass,smart compass,5,54,249,3,1.74
utilitaires,Compass,コンパス,5,42,84,8,1.10
utilitaires,Compass,atlas mobile app,5,,224,124,0.54
utilitaires,Compass,digital compass,5,54,247,3,1.74
utilitaires,Compass,gps compass,5,51,244,3,1.74
utilitaires,Compass,navigation google,5,79,220,220,0.49
utilitaires,Compass,navegacion maritima,5,87,249,176,0.51
utilitaires,Compass,3d compass,5,79,233,9,1.06
utilitaires,Compass,compass for iphone,5,42,229,2,2.29
utilitaires,Compass,navigation compass,5,32,240,3,1.74
utilitaires,Compass,orientation,5,52,246,7,1.16
utilitaires,Compass,altimeter compass,5,,108,19,0.83
utilitaires,Compass,путешествие,5,76,241,229,0.49
utilitaires,Compass,google compass,5,85,236,4,1.49
utilitaires,Compass,qibla compass,5,68,249,67,0.61
utilitaires,Compass,qibla compass kaaba locator,5,53,241,153,0.52
utilitaires,Compass,magnetic compass,5,,248,6,1.24
utilitaires,Compass,offline compass,5,68,248,3,1.74
utilitaires,Compass,islamic compass,5,49,247,6,1.24
utilitaires,Compass,prayer compass,5,56,248,9,1.06
utilitaires,Compass,mecca compass,5,54,250,97,0.57
utilitaires,Compass,mytim,5,91,247,58,0.63
utilitaires,Compass,direction compass,5,,250,2,2.29
utilitaires,Compass,compass rose,5,,249,4,1.49
utilitaires,Compass,compass pro,5,,249,81,0.59
utilitaires,Compass,accurate compass,5,41,244,1,5.00
