cluster,app,keyword,popularity,competitiveness,num_apps,rank,importance
voiture-transport,FuelRecord,everlance mileage tracker,37,77,248,39,5.12
voiture-transport,FuelRecord,mon petit gazon,7,86,238,213,0.69
voiture-transport,FuelRecord,fuel tracker,6,64,247,41,0.82
voiture-transport,FuelRecord,drivoo,6,,21,15,1.07
voiture-transport,FuelRecord,gas mileage tracker,5,67,248,68,0.61
voiture-transport,FuelRecord,consumption,5,57,242,34,0.71
voiture-transport,FuelRecord,road trip mpg,5,48,175,160,0.52
voiture-transport,FuelRecord,gas tracker,5,62,244,233,0.49
voiture-transport,FuelRecord,fuel log,5,64,249,27,0.76
voiture-transport,FuelRecord,cheapest gas,5,54,212,201,0.50
voiture-transport,FuelRecord,fuel mileage calculator,5,40,242,150,0.52
voiture-transport,FuelRecord,fuel mileage tracker,5,62,249,148,0.53
voiture-transport,FuelRecord,mobile gas app,5,,216,149,0.53
voiture-transport,FuelRecord,fuel log app,5,44,246,18,0.84
voiture-transport,FuelRecord,car mileage tracker,5,68,249,177,0.51
voiture-transport,FuelRecord,fuel consumption,5,57,239,90,0.58
voiture-transport,FuelRecord,fuel consumption tracker,5,57,250,32,0.73
voiture-transport,FuelRecord,gas mileage,5,69,248,182,0.51
voiture-transport,FuelRecord,gas tracker app,5,59,245,220,0.49
voiture-transport,FuelRecord,fuel economy,5,62,247,233,0.49
voiture-transport,FuelRecord,car fuel tracker,5,41,241,7,1.16
voiture-transport,FuelRecord,gad,5,60,223,121,0.55
voiture-transport,FuelRecord,road trip gas calculator,5,40,231,165,0.52
voiture-transport,FuelRecord,gas calculator app,5,57,241,177,0.51
voiture-transport,FuelRecord,fuel cost,5,55,248,89,0.58
voiture-transport,FuelRecord,gas log,5,63,248,5,1.34
voiture-transport,FuelRecord,gas price finder,5,45,193,130,0.54
voiture-transport,FuelRecord,mileage expense tracker,5,66,235,213,0.49
voiture-transport,FuelRecord,ifta mileage tracker,5,,235,227,0.49
voiture-transport,FuelRecord,mpg log,5,32,238,52,0.65
voiture-transport,FuelRecord,mileage and expense tracker,5,,220,77,0.60
voiture-transport,FuelRecord,fuel tracker gas,5,18,210,10,1.02
voiture-transport,FuelRecord,gas price tracker,5,51,245,138,0.53
voiture-transport,FuelRecord,cheapest gas app,5,,189,79,0.59
voiture-transport,FuelRecord,compare gas prices,5,,190,99,0.57
voiture-transport,FuelRecord,mileage gas tracker,5,56,240,11,0.98
voiture-transport,FuelRecord,truck fuel,5,,218,189,0.50
voiture-transport,FuelRecord,car energy,5,38,215,50,0.65
voiture-transport,FuelRecord,my 7 eleven fuel app,5,57,245,188,0.50
voiture-transport,FuelRecord,tracker recorder,5,42,248,15,0.89
voiture-transport,FuelRecord,recorder tracker,5,40,247,15,0.89
voiture-transport,FuelRecord,fiel recorder,5,17,4,1,5.00
voiture-transport,FuelRecord,gas cost,5,67,246,28,0.75
voiture-transport,FuelRecord,fuel mileage,5,59,247,13,0.93
voiture-transport,FuelRecord,car mpg,5,69,235,172,0.51
voiture-transport,FuelRecord,Cost free,5,54,248,67,0.61
voiture-transport,FuelRecord,fuel and mileage log,5,80,201,5,1.34
voiture-transport,FuelRecord,vehicle fuel costs,5,40,244,94,0.57
voiture-transport,FuelRecord,fuel expense app,5,47,246,22,0.80
voiture-transport,FuelRecord,tracker record,5,40,248,22,0.80
voiture-transport,FuelRecord,fuel cost calculator app,5,,215,30,0.74
voiture-transport,FuelRecord,Cars log,5,43,241,119,0.55
voiture-transport,FuelRecord,consuption Tracker,5,50,245,32,0.73
voiture-transport,FuelRecord,Petrol tracker,5,47,244,17,0.86
voiture-transport,FuelRecord,carbon footprint tracker,5,47,185,52,0.65
voiture-transport,FuelRecord,log fuel,5,45,243,40,0.69
voiture-transport,FuelRecord,Car expenses tracker,5,52,241,131,0.54
voiture-transport,FuelRecord,car cost,5,59,249,246,0.48
voiture-transport,FuelRecord,fuel calc,5,86,223,26,0.76
voiture-transport,FuelRecord,log count,5,54,229,93,0.57
voiture-transport,FuelRecord,mileage tracker real time,5,53,238,148,0.53
voiture-transport,FuelRecord,car fuel,5,47,233,8,1.10
voiture-transport,FuelRecord,my car price tracker,5,70,211,64,0.62
voiture-transport,FuelRecord,fuel tracking,5,58,249,233,0.49
voiture-transport,FuelRecord,Vehicle cost Tracker,5,40,248,45,0.67
voiture-transport,FuelRecord,fuel logger,5,42,248,248,0.48
voiture-transport,FuelRecord,maintenance logger,5,60,221,175,0.51
voiture-transport,FuelRecord,road trip fuel calculator,5,40,237,208,0.50
voiture-transport,FuelRecord,Auto Expense & Care Logger,5,51,243,134,0.54
voiture-transport,FuelRecord,vehicle expense logger,5,40,245,212,0.49
voiture-transport,FuelRecord,car expense log,5,40,238,126,0.54
voiture-transport,FuelRecord,car expense logger,5,40,242,188,0.50
voiture-transport,FuelRecord,economy tracker,5,62,247,14,0.91
voiture-transport,FuelRecord,consumption tracker,5,47,246,36,0.70
voiture-transport,FuelRecord,forge identifier,5,2,231,181,0.51
voiture-transport,FuelRecord,personal carbon footprint tracker,5,29,210,68,0.61
voiture-transport,FuelRecord,log bills,5,54,196,41,0.68
voiture-transport,FuelRecord,mileage tracker obd,5,47,242,135,0.54
voiture-transport,FuelRecord,mileage template,5,24,195,120,0.55
voiture-transport,FuelRecord,mileage record,5,51,236,13,0.93
voiture-transport,FuelRecord,commute mileage tracker,5,54,241,199,0.50
voiture-transport,FuelRecord,intake tracker,5,72,243,238,0.48
voiture-transport,FuelRecord,fuels,5,,227,45,0.67
voiture-transport,FuelRecord,fuelly: mpg & service tracker,5,54,247,16,0.87
voiture-transport,FuelRecord,idg : vehicle expense tracker,5,48,246,135,0.54
voiture-transport,FuelRecord,fuel%20log,5,40,248,239,0.48
voiture-transport,FuelRecord,milage%20tracker,5,52,243,199,0.50
voiture-transport,FuelRecord,mileage%20log,5,69,236,224,0.49
voiture-transport,FuelRecord,gas%20tracker,5,27,194,14,0.91
voiture-transport,FuelRecord,mileage%20tracker,5,54,229,37,0.70
voiture-transport,FuelRecord,mileage%20calculator,5,49,211,112,0.55
voiture-transport,FuelRecord,car%20mileage%20tracker,5,73,225,84,0.59
voiture-transport,FuelRecord,gas%20price%20tracker,5,,234,47,0.66
voiture-transport,FuelRecord,height fuel,5,,221,169,0.51
voiture-transport,FuelRecord,fuel tracke,5,,215,7,1.16
voiture-transport,FuelRecord,oxygen saturation log,5,,228,40,0.69
voiture-transport,FuelRecord,gas gas gas,5,,242,182,0.51
voiture-transport,FuelRecord,co2 tracker,5,,209,34,0.71
voiture-transport,FuelRecord,drink log,5,50,225,144,0.53
voiture-transport,FuelRecord,mileage tracker free trial,5,,218,76,0.60
voiture-transport,FuelRecord,fuel tracker for freelancers,5,,201,104,0.56
voiture-transport,FuelRecord,fuel tracker live activities,5,,243,108,0.56
voiture-transport,FuelRecord,fuel tracker siri,5,57,245,45,0.67
voiture-transport,FuelRecord,mileage log shortcuts,5,,212,192,0.50
voiture-transport,FuelRecord,mileage tracker ai,5,53,240,171,0.51
voiture-transport,FuelRecord,tilet log tracker,5,,209,19,0.83
voiture-transport,FuelRecord,save fuel with trip meter,5,49,247,184,0.51
voiture-transport,FuelRecord,log mileage,5,44,228,163,0.52
voiture-transport,FuelRecord,mileage tracker for tax,5,66,234,228,0.49
voiture-transport,FuelRecord,cost fuel,5,55,247,22,0.80
voiture-transport,FuelRecord,mpg fuel converter,5,,192,52,0.65
voiture-transport,FuelRecord,simple logging,5,,223,67,0.61
voiture-transport,FuelRecord,fuel economy log,5,40,234,19,0.83
voiture-transport,FuelRecord,mileage photo log,5,,201,46,0.67
voiture-transport,FuelRecord,auto-renew tracker,5,,230,17,0.86
voiture-transport,FuelRecord,recurring charges log,5,,213,89,0.58
voiture-transport,FuelRecord,simple fuel tracker,5,60,245,39,0.69
voiture-transport,FuelRecord,fuel costs calculator,5,40,236,148,0.53
voiture-transport,FuelRecord,mileage deduction tracker,5,,206,48,0.66
voiture-transport,FuelRecord,lyft mileage tracker,5,,207,55,0.64
voiture-transport,FuelRecord,self employed mileage tracker,5,74,212,58,0.63
voiture-transport,FuelRecord,fuel economy tracker,5,55,238,11,0.98
voiture-transport,FuelRecord,mileage reimbursement tracker,5,51,234,191,0.50
voiture-transport,FuelRecord,mileage writeoff,5,57,235,228,0.49
voiture-transport,FuelRecord,medical mileage log,5,69,239,223,0.49
voiture-transport,FuelRecord,work mileage log,5,,204,130,0.54
voiture-transport,FuelRecord,fuel logbook,5,40,239,9,1.06
voiture-transport,FuelRecord,mileage recorder,5,,196,15,0.89
voiture-transport,FuelRecord,daily mileage,5,,235,197,0.50
voiture-transport,FuelRecord,fill up tracker,5,,216,123,0.54
voiture-transport,FuelRecord,fuel cost tracker,5,45,244,2,2.29
voiture-transport,FuelRecord,car ai fuel,5,,225,47,0.66
voiture-transport,FuelRecord,fuel ai,5,,223,91,0.58
voiture-transport,FuelRecord,lite record tracker,5,87,246,71,0.61
voiture-transport,FuelRecord,recorder frees tracker,5,40,249,105,0.56
voiture-transport,FuelRecord,comsumption,5,40,243,25,0.77
voiture-transport,FuelRecord,mileaget tracker,5,71,238,182,0.51
voiture-transport,FuelRecord,renewal dates tracker,5,,233,61,0.63
voiture-transport,FuelRecord,repairlog,5,,242,154,0.52
voiture-transport,FuelRecord,mileage tracker contractor,5,51,238,230,0.49
voiture-transport,FuelRecord,fuel tracker contractor,5,52,245,25,0.77
voiture-transport,FuelRecord,gear log,5,,218,56,0.64
voiture-transport,FuelRecord,mileage tracket,5,,221,175,0.51
voiture-transport,FuelRecord,fuel consumption boat,5,42,248,90,0.58
voiture-transport,FuelRecord,fuel range boat,5,,234,149,0.53
voiture-transport,FuelRecord,mileage identifier,5,,208,116,0.55
voiture-transport,FuelRecord,fermentation log,5,,216,28,0.75
voiture-transport,FuelRecord,car main maintenance tracker oil logbook,5,,219,51,0.65
voiture-transport,FuelRecord,carbon log,5,,217,10,1.02
voiture-transport,FuelRecord,fuel tracker app,5,52,249,50,0.65
voiture-transport,FuelRecord,resolution log,5,,213,26,0.76
voiture-transport,FuelRecord,maintanence log,5,,208,96,0.57
voiture-transport,FuelRecord,fuel efficiency calculator,5,40,233,175,0.51
voiture-transport,FuelRecord,liquidtext prepaid,5,,225,168,0.51
voiture-transport,FuelRecord,florida driving log,5,,225,186,0.51
voiture-transport,FuelRecord,practice driving log,5,,216,107,0.56
voiture-transport,FuelRecord,miley mileage tracker,5,57,232,223,0.49
voiture-transport,FuelRecord,manual subscription tracker.,5,,236,134,0.54
voiture-transport,FuelRecord,can log,5,80,215,59,0.63
voiture-transport,FuelRecord,auto renewing,5,,212,189,0.50
voiture-transport,FuelRecord,eco planeta iq,5,,215,210,0.50
voiture-transport,FuelRecord,ethereum gas pump,5,,225,199,0.50
voiture-transport,FuelRecord,ethereum gas tracker,5,,213,48,0.66
voiture-transport,FuelRecord,ev vs gas cost calculator,5,,193,30,0.74
voiture-transport,FuelRecord,mileme automatic mileage log,5,,205,140,0.53
voiture-transport,FuelRecord,piusi bsmart,5,,224,219,0.49
voiture-transport,FuelRecord,track fuel costs,5,,199,14,0.91
voiture-transport,FuelRecord,fuel costs,5,49,241,6,1.24
voiture-transport,FuelRecord,fuel expense tracker,5,47,246,42,0.68
voiture-transport,FuelRecord,gas expense tracker,5,50,244,28,0.75
voiture-transport,FuelRecord,gas consumption,5,52,247,23,0.79
voiture-transport,FuelRecord,fuel estimator,5,40,243,226,0.49
voiture-transport,FuelRecord,trip gas cost,5,40,230,129,0.54
voiture-transport,FuelRecord,mileage cost calculator,5,40,236,151,0.52
voiture-transport,FuelRecord,fuel usage tracker,5,49,245,14,0.91
voiture-transport,FuelRecord,fuel estimator app,5,44,248,62,0.62
voiture-transport,FuelRecord,gas budget tracker,5,40,243,7,1.16
voiture-transport,FuelRecord,gas spend tracker,5,40,244,21,0.81
voiture-transport,FuelRecord,free fuel cost calculator,5,40,237,178,0.51
voiture-transport,FuelRecord,free fuel tracker,5,50,249,25,0.77
voiture-transport,FuelRecord,mileage record app,5,45,235,89,0.58
voiture-transport,FuelRecord,split gas cost,5,44,246,95,0.57
voiture-transport,FuelRecord,fuel budget app,5,44,245,21,0.81
voiture-transport,FuelRecord,gas budget app,5,50,249,122,0.55
voiture-transport,FuelRecord,drive cost tracker,5,48,249,146,0.53
voiture-transport,FuelRecord,driving cost tracker,5,74,247,65,0.62
voiture-transport,FuelRecord,mileage logbook app,5,70,231,174,0.51
voiture-transport,FuelRecord,fuel budget tracker app,5,52,247,10,1.02
voiture-transport,FuelRecord,gas budget tracker app,5,44,243,6,1.24
voiture-transport,FuelRecord,gas cost per trip,5,40,231,163,0.52
voiture-transport,FuelRecord,fuel cost per trip,5,40,240,196,0.50
voiture-transport,FuelRecord,mileage cost per trip,5,40,230,174,0.51
voiture-transport,FuelRecord,fuel expense trip tracker,5,40,246,25,0.77
voiture-transport,FuelRecord,gas expense trip tracker,5,45,238,98,0.57
voiture-transport,FuelRecord,commute fuel cost tracker,5,49,245,12,0.96
voiture-transport,FuelRecord,commute gas cost tracker,5,40,239,3,1.74
voiture-transport,FuelRecord,mileage reimbursement trip tracker,5,47,231,212,0.49
voiture-transport,FuelRecord,car mileage cost tracker,5,48,242,6,1.24
voiture-transport,FuelRecord,trip fuel expense calculator,5,40,240,182,0.51
voiture-transport,FuelRecord,petrol expense tracker,5,40,246,135,0.54
voiture-transport,FuelRecord,petrol cost tracker,5,40,247,13,0.93
voiture-transport,FuelRecord,car cost tracker,5,52,247,9,1.06
voiture-transport,FuelRecord,auto fuel tracker,5,49,239,60,0.63
voiture-transport,FuelRecord,car mileage log,5,68,232,93,0.57
voiture-transport,FuelRecord,car costs,5,51,244,14,0.91
voiture-transport,FuelRecord,fuel spending tracker,5,40,247,63,0.62
voiture-transport,FuelRecord,car spending tracker,5,42,246,223,0.49
voiture-transport,FuelRecord,gas efficiency tracker,5,40,238,12,0.96
voiture-transport,FuelRecord,car efficiency tracker,5,43,239,23,0.79
voiture-transport,FuelRecord,drive fuel cost,5,40,248,100,0.57
voiture-transport,FuelRecord,vehicle cost app,5,44,248,124,0.54
voiture-transport,FuelRecord,commute cost planner,5,40,246,188,0.50
voiture-transport,FuelRecord,mile gas calculator,5,40,229,134,0.54
voiture-transport,FuelRecord,cost per mile tracker,5,46,239,169,0.51
voiture-transport,FuelRecord,cost per mile gas,5,40,233,79,0.59
voiture-transport,FuelRecord,cost per mile fuel,5,40,240,110,0.56
voiture-transport,FuelRecord,mileage cost tracker,5,48,243,7,1.16
voiture-transport,FuelRecord,mileage fuel tracker,5,49,241,24,0.78
voiture-transport,FuelRecord,mileage fuel log,5,40,238,44,0.67
voiture-transport,FuelRecord,mileage gas log,5,40,229,20,0.82
voiture-transport,FuelRecord,automatic fuel tracker,5,40,246,38,0.70
voiture-transport,FuelRecord,export gas log,5,46,240,8,1.10
voiture-transport,FuelRecord,true gas cost,5,40,241,59,0.63
voiture-transport,FuelRecord,fuel cost tracking,5,40,246,2,2.29
voiture-transport,FuelRecord,vehicle cost tracking,5,44,250,96,0.57
voiture-transport,FuelRecord,expense tracking fuel,5,40,247,27,0.76
voiture-transport,FuelRecord,calculate road trip gas,5,41,233,173,0.51
voiture-transport,FuelRecord,calculate fuel mileage,5,40,231,163,0.52
voiture-transport,FuelRecord,fuel cost by miles,5,40,238,94,0.57
voiture-transport,FuelRecord,commute fuel cost,5,40,246,104,0.56
voiture-transport,FuelRecord,commute gas cost,5,40,240,65,0.62
voiture-transport,FuelRecord,fuel mileage trip calculator,5,40,231,193,0.50
voiture-transport,FuelRecord,fuel cost mileage calculator,5,40,232,111,0.55
voiture-transport,FuelRecord,auto gas cost calculator,5,40,236,117,0.55
voiture-transport,FuelRecord,car gas cost calculator,5,40,233,74,0.60
voiture-transport,FuelRecord,road trip cost tracker,5,72,243,125,0.54
voiture-transport,FuelRecord,road trip fuel app,5,48,244,223,0.49
voiture-transport,FuelRecord,gas price mileage calculator,5,40,230,96,0.57
voiture-transport,FuelRecord,fuel price mileage calculator,5,40,234,157,0.52
voiture-transport,FuelRecord,car spend tracker,5,58,246,232,0.49
voiture-transport,FuelRecord,road trip fuel usage,5,40,242,193,0.50
voiture-transport,FuelRecord,miles fuel cost,5,40,240,106,0.56
voiture-transport,FuelRecord,mile fuel cost,5,40,240,70,0.61
voiture-transport,FuelRecord,mile gas cost,5,40,237,82,0.59
voiture-transport,FuelRecord,gas cost per mile,5,40,233,49,0.66
voiture-transport,FuelRecord,petrol costs app,5,44,250,91,0.58
voiture-transport,FuelRecord,mileage tracker no ads,5,54,236,199,0.50
voiture-transport,FuelRecord,fuel log no ads,5,49,244,9,1.06
voiture-transport,FuelRecord,fuel cost log,5,40,244,2,2.29
voiture-transport,FuelRecord,fuel cost share,5,40,244,125,0.54
voiture-transport,FuelRecord,fuel cost budget,5,40,242,164,0.52
voiture-transport,FuelRecord,fuel cost expenses,5,40,245,58,0.63
voiture-transport,FuelRecord,fuel cost with mileage,5,40,236,39,0.69
voiture-transport,FuelRecord,fuel cost by mileage,5,40,238,36,0.70
voiture-transport,FuelRecord,fuel costs log,5,42,244,2,2.29
voiture-transport,FuelRecord,fuel costs tracker,5,49,244,1,5.00
voiture-transport,FuelRecord,fuel costs planner,5,40,245,104,0.56
voiture-transport,FuelRecord,fuel costs estimator,5,40,245,40,0.69
voiture-transport,FuelRecord,fuel costs split,5,40,247,62,0.62
voiture-transport,FuelRecord,fuel costs share,5,43,247,112,0.55
voiture-transport,FuelRecord,fuel costs splitter,5,40,246,40,0.69
voiture-transport,FuelRecord,fuel costs budget,5,42,246,112,0.55
voiture-transport,FuelRecord,fuel costs expenses,5,40,249,95,0.57
