cluster,app,keyword,popularity,competitiveness,num_apps,rank,importance
watch-faces,Facer,apple watch,67,75,246,4,19.95
watch-faces,Facer,watch,65,73,238,5,17.39
watch-faces,Facer,fallout shelter,56,72,245,192,5.63
watch-faces,Facer,apple watch faces free,53,55,248,1,53.00
watch-faces,Facer,iwatch,51,64,248,4,15.19
watch-faces,Facer,clockology,51,61,250,2,23.40
watch-faces,Facer,apple watch faces,46,56,248,1,46.00
watch-faces,Facer,watch app,44,89,248,11,8.66
watch-faces,Facer,apple watch apps,44,68,247,3,15.34
watch-faces,Facer,ultrahuman,44,87,37,36,6.20
watch-faces,Facer,wear os,43,90,81,24,6.71
watch-faces,Facer,zepp life,42,42,33,30,6.19
watch-faces,Facer,smart watch,40,59,244,12,7.65
watch-faces,Facer,quadranti apple watch gratis,40,34,250,13,7.46
watch-faces,Facer,applewatch,39,58,237,9,8.23
watch-faces,Facer,smart watch app,37,51,248,12,7.08
watch-faces,Facer,iwatch apps free,35,88,249,4,10.42
watch-faces,Facer,페이스,34,91,245,36,4.79
watch-faces,Facer,cadran apple watch gratuit,34,49,249,24,5.31
watch-faces,Facer,ジブリ,33,98,250,204,3.28
watch-faces,Facer,watch face,31,69,247,1,31.00
watch-faces,Facer,watch faces free,31,50,248,1,31.00
watch-faces,Facer,fallout watch face,31,56,249,1,31.00
watch-faces,Facer,free apple watch faces free,31,54,249,1,31.00
watch-faces,Facer,caratulas apple watch,29,53,247,1,29.00
watch-faces,Facer,smou,28,40,17,17,4.81
watch-faces,Facer,watch アプリ,28,85,249,135,3.00
watch-faces,Facer,free watch faces for apple watch,25,39,248,1,25.00
watch-faces,Facer,apple watch widgets,17,75,246,4,5.06
watch-faces,Facer,caratulas,11,48,93,2,5.05
watch-faces,Facer,sfondi animati,10,49,183,137,1.07
watch-faces,Facer,apple watch face,9,58,240,1,9.00
watch-faces,Facer,watch faces for apple watch,9,54,243,1,9.00
watch-faces,Facer,apple watch zifferblätter,9,51,249,11,1.77
watch-faces,Facer,clockology watch faces,9,,249,2,4.13
watch-faces,Facer,top watch,9,53,247,2,4.13
watch-faces,Facer,watch lab,9,58,249,2,4.13
watch-faces,Facer,app watch,8,86,246,34,1.14
watch-faces,Facer,apple watch apps free,8,87,247,23,1.26
watch-faces,Facer,facer,8,62,250,1,8.00
watch-faces,Facer,itouch wearables,8,58,246,11,1.57
watch-faces,Facer,free apple watch faces,8,54,244,1,8.00
watch-faces,Facer,itech,8,66,188,188,0.81
watch-faces,Facer,free watch faces,7,56,247,1,7.00
watch-faces,Facer,caratulas apple watch gratis,7,51,248,7,1.62
watch-faces,Facer,fall out,6,60,245,118,0.66
watch-faces,Facer,faceapo,6,,184,111,0.67
watch-faces,Facer,buddywatch,6,59,250,3,2.09
watch-faces,Facer,faves,6,88,183,158,0.62
watch-faces,Facer,pare,6,51,221,156,0.63
watch-faces,Facer,coolz,6,61,114,6,1.48
watch-faces,Facer,face kit 3d,6,,185,22,0.96
watch-faces,Facer,apple watch app,5,64,248,4,1.49
watch-faces,Facer,apple card,5,98,247,11,0.98
watch-faces,Facer,applewatch app,5,59,247,5,1.34
watch-faces,Facer,iwatch apps,5,66,249,17,0.86
watch-faces,Facer,i watch,5,68,237,11,0.98
watch-faces,Facer,faces,5,78,246,2,2.29
watch-faces,Facer,fase app,5,,228,98,0.57
watch-faces,Facer,best apple watch apps,5,77,247,31,0.73
watch-faces,Facer,apps for apple watch,5,69,245,5,1.34
watch-faces,Facer,faces for apple watch,5,56,241,1,5.00
watch-faces,Facer,apple iwatch,5,60,248,4,1.49
watch-faces,Facer,facey face editor makeup cam,5,,217,72,0.60
watch-faces,Facer,retale,5,76,227,129,0.54
watch-faces,Facer,apple watch wallpaper,5,55,246,1,5.00
watch-faces,Facer,watchmaker,5,66,250,3,1.74
watch-faces,Facer,itouch,5,65,247,10,1.02
watch-faces,Facer,alterungs,5,86,232,220,0.49
watch-faces,Facer,fitbit watch faces,5,,248,1,5.00
watch-faces,Facer,smart watch faces,5,60,242,1,5.00
watch-faces,Facer,rolex watch face,5,53,244,5,1.34
watch-faces,Facer,watch wallpaper,5,59,247,1,5.00
watch-faces,Facer,watch widget,5,78,244,11,0.98
watch-faces,Facer,nfl wallpaper,5,27,192,168,0.51
watch-faces,Facer,watch maker,5,94,218,3,1.74
watch-faces,Facer,face challenge,5,,223,94,0.57
watch-faces,Facer,yatch,5,60,249,13,0.93
watch-faces,Facer,watch face rolex,5,,219,8,1.10
watch-faces,Facer,2face,5,,219,50,0.65
watch-faces,Facer,one by one,5,65,238,69,0.61
watch-faces,Facer,watch theme,5,54,250,3,1.74
watch-faces,Facer,amazfit watch,5,53,250,68,0.61
watch-faces,Facer,watch face maker,5,60,247,6,1.24
watch-faces,Facer,face shape meter,5,68,221,80,0.59
watch-faces,Facer,face shape glasses,5,97,223,35,0.71
watch-faces,Facer,face x,5,,203,18,0.84
watch-faces,Facer,facet,5,79,102,10,1.02
watch-faces,Facer,face type,5,72,229,28,0.75
watch-faces,Facer,christmas watch face,5,54,221,4,1.49
watch-faces,Facer,faceup app,5,,238,59,0.63
watch-faces,Facer,smart gallery app,5,,227,107,0.56
watch-faces,Facer,first then,5,44,171,140,0.53
watch-faces,Facer,face gallery,5,54,221,1,5.00
watch-faces,Facer,crea sfondi,5,84,122,91,0.58
watch-faces,Facer,aplle watch,5,58,248,5,1.34
watch-faces,Facer,amazfaces,5,41,120,5,1.34
watch-faces,Facer,free apps for apple watch,5,63,246,4,1.49
watch-faces,Facer,old face filter,5,,216,19,0.83
watch-faces,Facer,whach,5,56,239,5,1.34
watch-faces,Facer,apple watch keyboard,5,45,246,13,0.93
watch-faces,Facer,audemars piguet,5,43,60,59,0.63
watch-faces,Facer,pile ou face,5,,92,20,0.82
watch-faces,Facer,facer app,5,,214,1,5.00
watch-faces,Facer,findface,5,,222,30,0.74
watch-faces,Facer,livefit,5,42,210,151,0.52
watch-faces,Facer,breitling,5,49,50,49,0.66
watch-faces,Facer,息屏时钟,5,,234,223,0.49
watch-faces,Facer,face watch,5,51,242,1,5.00
watch-faces,Facer,facets,5,71,213,1,5.00
watch-faces,Facer,apple watch app for ipad,5,27,243,151,0.52
watch-faces,Facer,pennywise face,5,24,94,4,1.49
watch-faces,Facer,haylou,5,54,22,9,1.06
watch-faces,Facer,apple watch rolex,5,29,247,12,0.96
watch-faces,Facer,watchfacely,5,53,214,2,2.29
watch-faces,Facer,saatleri,5,45,211,83,0.59
watch-faces,Facer,face live,5,70,206,55,0.64
watch-faces,Facer,apple watch cadran,5,52,247,7,1.16
watch-faces,Facer,watchsmith,5,59,248,4,1.49
watch-faces,Facer,watch keyboard free,5,40,246,105,0.56
watch-faces,Facer,Watch Facer,5,54,247,1,5.00
watch-faces,Facer,watch faces by facer,5,57,200,1,5.00
watch-faces,Facer,faces gallery,5,66,247,1,5.00
watch-faces,Facer,watch wallpapers,5,56,248,1,5.00
watch-faces,Facer,touch round,5,35,210,204,0.50
watch-faces,Facer,face predictor,5,66,229,8,1.10
watch-faces,Facer,carátulas,5,48,92,5,1.34
watch-faces,Facer,iwatch faces gallery apps,5,54,214,1,5.00
watch-faces,Facer,your face,5,,210,166,0.52
watch-faces,Facer,faceupp,5,74,198,80,0.59
watch-faces,Facer,apple watch widget,5,77,245,5,1.34
watch-faces,Facer,cadran watch,5,49,246,39,0.69
watch-faces,Facer,watch faces app,5,60,244,5,1.34
watch-faces,Facer,customize iphone free,5,,244,217,0.49
watch-faces,Facer,rolex apple watch face,5,53,245,9,1.06
watch-faces,Facer,animated watch faces,5,58,245,3,1.74
watch-faces,Facer,ziffernblätter,5,14,23,15,0.89
watch-faces,Facer,watch face albums,5,52,223,2,2.29
watch-faces,Facer,apple watch clock faces,5,56,248,4,1.49
watch-faces,Facer,apple watch faces rolex,5,53,249,6,1.24
watch-faces,Facer,apple watch background,5,52,245,1,5.00
watch-faces,Facer,apple watch complications,5,57,246,5,1.34
watch-faces,Facer,LiveFun,5,51,214,106,0.56
watch-faces,Facer,نتائج البث المباشر للدوري الاسباني,5,80,274,20,0.82
watch-faces,Facer,wych,5,62,242,4,1.49
watch-faces,Facer,free iphone watch faces,5,40,246,2,2.29
watch-faces,Facer,live watch faces,5,63,243,1,5.00
watch-faces,Facer,Watch 6 faces,5,40,235,131,0.54
watch-faces,Facer,Watch 7 faces,5,49,233,130,0.54
