keyword,popularity,competitiveness,score
zedge,59,46,13
astrotalk,56,45,11
interval timer,55,44,11
playtime scheduler for pickleball,34,28,6
crossfit open,34,30,4
escape room games,54,51,3
voice changer,62,60,2
cricket,62,62,0
hunting,54,54,0
bird identifier,52,52,0
dog whistle,49,49,0
cosori air fryer app,32,32,0
house design,67,68,-1
timer,60,61,-1
clipboard,58,59,-1
goat,67,69,-2
compass,63,65,-2
anime games,59,61,-2
tagebuch,43,45,-2
bass booster,55,58,-3
volume booster,56,60,-4
magnifier,52,56,-4
mobility,53,58,-5
xmind,42,47,-5
fishing games,60,66,-6
magic the gathering,59,65,-6
75 hard,55,61,-6
passport photo,54,60,-6
muslim pro,54,60,-6
timezone,51,57,-6
icebreaker,50,56,-6
[stretching],34,40,-6
cat games,67,75,-8
poker,67,75,-8
musescore,53,61,-8
marine traffic,53,61,-8
chess,70,79,-9
quran,60,69,-9
lottery,58,67,-9
spirit box,53,62,-9
equalizer,53,62,-9
costar,62,72,-10
walkie talkie,58,68,-10
sudoku,68,79,-11
letterboxd,66,77,-11
hearts,52,63,-11
clockify,50,61,-11
parkour,50,61,-11
bmi,49,60,-11
lego,67,79,-12
step counter,60,72,-12
guitartuna,56,68,-12
volleyball,51,63,-12
bridge,51,63,-12
sporcle,50,62,-12
aurora,50,62,-12
nusuk,47,59,-12
boxing timer,47,59,-12
75 hard challenge,41,53,-12
barcode scanner app free,37,49,-12
romme,37,49,-12
bowling,55,68,-13
75 day challenge,49,62,-13
bitcoin wallet,48,61,-13
passport photo maker,43,56,-13
spotlight,43,56,-13
healthy roster,32,45,-13
osha,30,43,-13
guitar tuner,68,82,-14
18 birdies,65,79,-14
simple,59,73,-14
fishing,59,73,-14
stitch fix,55,69,-14
tabata timer,47,61,-14
escape room,46,60,-14
redtiger dash cam,38,52,-14
subway,75,90,-15
meme soundboard,53,68,-15
grocery list,53,68,-15
nonogram,52,67,-15
crossword,62,78,-16
boxing,56,72,-16
diary,51,67,-16
qr code reader,60,77,-17
