keyword,rank,app,appstore_url,rating,ratings_count
75 hard,1,id302730508888,https://apps.apple.com/us/app/id302730508888,2.50,8*
75 hard,2,id336860686095,https://apps.apple.com/us/app/id336860686095,4.83,231*
75 hard,3,id338241852778,https://apps.apple.com/us/app/id338241852778,4.79,389
75 hard,4,id281146970874,https://apps.apple.com/us/app/id281146970874,4.73,1.5K*
75 hard,5,id337640575435,https://apps.apple.com/us/app/id337640575435,4.67,15
75 hard,6,id338520863469,https://apps.apple.com/us/app/id338520863469,4.86,14
75 hard,7,id338331761989,https://apps.apple.com/us/app/id338331761989,5.00,7
75 hard,8,id334395895758,https://apps.apple.com/us/app/id334395895758,,,
75 hard,9,id337726013951,https://apps.apple.com/us/app/id337726013951,4.45,11
75 hard,10,id338542474519,https://apps.apple.com/us/app/id338542474519,5.00,1
