keyword,rank,app,developer,appstore_url,rating,ratings_count,category,updated,released
75 hard challenge,1,75 Hard The Official App,44SEVEN MEDIA,https://apps.apple.com/us/app/id302730508888,2.50,8*,Health & Fitness,10 months ago,6 years ago
75 hard challenge,2,75 Days Challenge Tough & Soft,BeHard,https://apps.apple.com/us/app/id336860686095,4.83,231*,Health & Fitness,2 months ago,3 years ago
75 hard challenge,3,Her 75 day challenge with friends,My,https://apps.apple.com/us/app/id338241852778,4.79,389,Health & Fitness,2 months ago,
75 hard challenge,4,75 Hard: Challenge Tracker,Shay,https://apps.apple.com/us/app/id338331761989,5.00,7,Health & Fitness,6 days ago,
75 hard challenge,5,75 Day Challenge: Soft Edition,Inkolab,https://apps.apple.com/us/app/id337726013951,4.45,11,Health & Fitness,22 days ago,2 years ago
75 hard challenge,6,Habit Tracker Goal Tracker & ADHD Planner,InnerGrow,https://apps.apple.com/us/app/id281146970874,4.73,1.5K*,Productivity,13 days ago,8 years ago
75 hard challenge,7,75 Days Challenge: Better Soft,Alexander,https://apps.apple.com/us/app/id337640575435,4.67,15,Health & Fitness,2 months ago,2 years ago
75 hard challenge,8,75 Days Challenge - Reset75,EHM,https://apps.apple.com/us/app/id338520863469,4.86,14,Health & Fitness,8 days ago,
75 hard challenge,9,75 Tough & Soft Challenge,Solowei,https://apps.apple.com/us/app/id334395895758,,,Health & Fitness,2 years ago,2 years ago
75 hard challenge,10,Her Glow Up: 75 Day Challenge,David,https://apps.apple.com/us/app/id338601838100,5.00,3*,Health & Fitness,2 days ago,
