keyword,rank,app,appstore_url,rating,ratings_count
bowling,1,Bowling Crew - 3D Sport Game,https://apps.apple.com/us/app/,4.89,713
bowling,2,PBA Bowling Challenge,https://apps.apple.com/us/app/,NA,31*
bowling,3,Bowling 3D Extreme,https://apps.apple.com/us/app/,4.56,328
bowling,4,My Bowling 3D,https://apps.apple.com/us/app/,4.69,57*
bowling,5,Unlimited Bowling,https://apps.apple.com/us/app/,4.68,152
bowling,6,Bowling by Jason Belmonte,https://apps.apple.com/us/app/,4.16,34*
bowling,7,Skyline Bowling,https://apps.apple.com/us/app/,4.74,864
bowling,8,Bowling Unleashed,https://apps.apple.com/us/app/,4.30,46*
bowling,9,Bowling Games: King of Bowling,https://apps.apple.com/us/app/,4.24,54
bowling,10,Galaxy Bowling HD,https://apps.apple.com/us/app/,4.60,6*
bowling,11,3D Pocket Classic Bowling,https://apps.apple.com/us/app/,4.50,3*
bowling,12,Ball-Hop Bowling,https://apps.apple.com/us/app/,4.37,48*
bowling,13,Strike! Ten Pin Bowling,https://apps.apple.com/us/app/,NA,1*
bowling,14,Strike! By Skillz Pro Bowling,https://apps.apple.com/us/app/,4.53,23*
bowling,15,Bowling 3D Pro: Ten Pin,https://apps.apple.com/us/app/,4.57,38*
