keyword,rank,app,appstore_url,rating,ratings_count
boxing,1,Real Boxing 2,https://apps.apple.com/us/app/,4.11,83*
boxing,2,Real Boxing: KO Fight Club,https://apps.apple.com/us/app/,4.72,398*
boxing,3,Prizefighters 2,https://apps.apple.com/us/app/,5.00,5*
boxing,4,Boxing Star: Sports Action Game,https://apps.apple.com/us/app/,4.73,51*
boxing,5,Super Boxing Championship!,https://apps.apple.com/us/app/,4.57,31*
boxing,6,MFC - Midnight Fight Club,https://apps.apple.com/us/app/,4.44,317
boxing,7,Shadow Boxing Workout App,https://apps.apple.com/us/app/,4.89,71
boxing,8,FightHood: Street Boxing Game,https://apps.apple.com/us/app/,3.57,6
boxing,9,Real Boxing Manny Pacquiao,https://apps.apple.com/us/app/,5.00,1
boxing,10,Bloody Bastards,https://apps.apple.com/us/app/,4.68,430*
boxing,11,World Robot Boxing,https://apps.apple.com/us/app/,4.55,127*
boxing,12,WWE SuperCard - Wrestling Game,https://apps.apple.com/us/app/,4.91,288
boxing,13,Big Shot Boxing,https://apps.apple.com/us/app/,3.75,4
boxing,14,Boxing - Fighting Clash,https://apps.apple.com/us/app/,5.00,3
boxing,15,Wrestling Revolution 3D,https://apps.apple.com/us/app/,4.13,21*
