keyword,rank,app,appstore_url,rating,ratings_count
darts,1,Darts of Fury: PvP Multiplayer,https://apps.apple.com/us/app/,4.78,163
darts,2,Pro Darts 2026,https://apps.apple.com/us/app/,4.82,31*
darts,3,Simple Darts Scoreboard,https://apps.apple.com/us/app/,4.79,66*
darts,4,Darts Club: PvP Multiplayer,https://apps.apple.com/us/app/,4.65,1.9K
darts,5,Darts Scoreboard: Scorekeeper,https://apps.apple.com/us/app/,4.81,48
darts,6,DartCounter,https://apps.apple.com/us/app/,5.00,34
darts,7,Darts Club - Dart Board Game,https://apps.apple.com/us/app/,NA,0
darts,8,Darts Match Live!,https://apps.apple.com/us/app/,5.00,4*
darts,9,Easy Darts Score,https://apps.apple.com/us/app/,NA,0
darts,10,Pro Darts 2026+,https://apps.apple.com/us/app/,4.78,18
darts,11,Darts Stars,https://apps.apple.com/us/app/,NA,0
darts,12,Darts Master - Dart Board Game,https://apps.apple.com/us/app/,NA,0
darts,13,Dartsmind,https://apps.apple.com/us/app/,5.00,10*
darts,14,GamePigeon,https://apps.apple.com/us/app/,4.13,499*
darts,15,3D Darts Pro,https://apps.apple.com/us/app/,NA,0
