keyword,rank,app,appstore_url,rating,ratings_count
hockey,1,Hockey All Stars 24,https://apps.apple.com/us/app/,4.67,476*
hockey,2,Glow Hockey 2L,https://apps.apple.com/us/app/,2.33,6*
hockey,3,Hockey All Stars,https://apps.apple.com/us/app/,4.62,79*
hockey,4,Ice League Hockey,https://apps.apple.com/us/app/,4.00,6*
hockey,5,Hockey Showdown,https://apps.apple.com/us/app/,4.72,20*
hockey,6,Superstar Hockey,https://apps.apple.com/us/app/,4.62,77*
hockey,7,NHL,https://apps.apple.com/us/app/,NA,19*
hockey,8,Big Win Hockey Manager,https://apps.apple.com/us/app/,1.00,1
hockey,9,Franchise Hockey: Pro GM,https://apps.apple.com/us/app/,4.44,10*
hockey,10,Pocket Hockey Stars,https://apps.apple.com/us/app/,4.08,28*
hockey,11,Blocky Hockey,https://apps.apple.com/us/app/,NA,0
hockey,12,Hockey-Clash,https://apps.apple.com/us/app/,3.00,4
hockey,13,Pin Hockey - Ice Arena,https://apps.apple.com/us/app/,NA,3*
hockey,14,Hockey Legacy Manager 26,https://apps.apple.com/us/app/,4.88,20*
hockey,15,Madden NFL 27 Mobile Football,https://apps.apple.com/us/app/,4.64,6.8K*
