keyword,rank,app,appstore_url,rating,ratings_count
kite,1,Zerodha Kite - Trade & Invest,https://apps.apple.com/us/app/,5.00,3
kite,2,Kite Fighting,https://apps.apple.com/us/app/,NA,0
kite,3,Kite Finance,https://apps.apple.com/us/app/,NA,1*
kite,4,Pipa Combate 3D - Kite Flying,https://apps.apple.com/us/app/,NA,0
kite,5,Kite School - Ready 2 fly,https://apps.apple.com/us/app/,NA,0
kite,6,Pipa Combate Kite Simulator 3D,https://apps.apple.com/us/app/,5.00,1
kite,7,Good To Kite,https://apps.apple.com/us/app/,NA,0
kite,8,GoFly-A-Kite,https://apps.apple.com/us/app/,NA,0
kite,9,Which Kite,https://apps.apple.com/us/app/,NA,0
kite,10,India Vs Pakistan KiteFly Game,https://apps.apple.com/us/app/,NA,0
kite,11,Windfinder: Wind & Weather map,https://apps.apple.com/us/app/,4.77,607*
kite,12,Kite Flying Simulator Games,https://apps.apple.com/us/app/,5.00,3
kite,13,Kite: Idea Vault,https://apps.apple.com/us/app/,NA,0
kite,14,Kite Game 3D - Kite Flying,https://apps.apple.com/us/app/,NA,0
kite,15,Kite Clash: Battle in the Sky,https://apps.apple.com/us/app/,NA,0
