rank,app,dev,price,ratings,rating,category,released,notes
1,Photo Light & Exposure Meter,Pavel Bukhonov,Free,22,4.45,Utilities,9 years ago,
2,Light Meter LM-3000,Lightray Innovation GmbH,Free,20,4.65,Utilities,5 years ago,
3,Lightme - Lightmeter,Giuseppe Bertolini,Free,30,4.83,Photo & Video,6 years ago,
4,myLightMeter PRO,David Quiles,$4.99,30,4.67,Photo & Video,14 years ago,store rank #11
5,Lghtmtr,Alexander Jacque,Free,22,4.86,Photo & Video,12 years ago,
6,Lux Light Meter Pro,Marina Polyanskaya,Free,14,3.93,Utilities,9 years ago,
7,Photone - Grow Light Meter,Lightray Innovation GmbH,Free,22,4.77,Utilities,7 years ago,angle plantes
8,Pocket Light Meter,Nuwaste studios,$9.99,1,5.00,Photo & Video,16 years ago,
9,Easy Light Meter,Christoph Kretschmer,Free,0,—,Photo & Video,10 months ago,
10,Light Meter Ultra,Ultrafine,Free,1,—,Photo & Video,5 years ago,film photography
11,Lumu Light Meter,Lumu d.o.o.,Free,1,4.00,Photo & Video,13 years ago,
12,Lux Light Meter for Mobile,WeBrain,Free,3,3.67,Utilities,4 years ago,
