keyword,rank,app,developer,appstore_url,rating,ratings_count,updated
manifestation,1,Stella - Manifest Anything,Perl,https://apps.apple.com/us/app/id338464010942,4.75,610*,4 days ago
manifestation,2,Myla: Manifest & Vision Board,Succeed,https://apps.apple.com/us/app/id335713526966,4.91,13*,4 months ago
manifestation,3,Manifest & Affirmations - Soul,Matthew,https://apps.apple.com/us/app/id336972383035,4.74,69,5 months ago
manifestation,4,I am - Daily Affirmations,Monkey,https://apps.apple.com/us/app/id40046538165,4.60,5K*,6 days ago
manifestation,5,Aya: Manifest Your Dream Self,Lit,https://apps.apple.com/us/app/id338522559191,4.82,545,2 days ago
manifestation,6,Manifest: Affirmations Daily,Transcend,https://apps.apple.com/us/app/id337374370136,4.72,76*,3 days ago
manifestation,7,Subliminal Manifestation,iMobLife,https://apps.apple.com/us/app/id212418323,3.00,2,4 months ago
manifestation,8,Vix Manifestation,Monday,https://apps.apple.com/us/app/id338260472489,4.70,26,14 days ago
manifestation,9,Manifestation Journal,The,https://apps.apple.com/us/app/id335203301950,,,2 years ago
manifestation,10,Manifestation - Starpath,Devon,https://apps.apple.com/us/app/id338608461198,,,8 days ago
