keyword,rank,app,appstore_url,rating,ratings_count
motorcycle,1,Traffic Rider,https://apps.apple.com/us/app/,4.75,605*
motorcycle,2,Bike Race: Free Style Games,https://apps.apple.com/us/app/,4.63,1.5K*
motorcycle,3,Xtreme Motorbikes,https://apps.apple.com/us/app/,4.86,47*
motorcycle,4,CycleTrader: Shop Motorcycles,https://apps.apple.com/us/app/,4.81,448
motorcycle,5,Highway Rider,https://apps.apple.com/us/app/,4.40,127*
motorcycle,6,Motorcycle Real Simulator,https://apps.apple.com/us/app/,4.70,299
motorcycle,7,Motor Bike: Xtreme Races,https://apps.apple.com/us/app/,5.00,3*
motorcycle,8,Street Racing EVO: Car & Moto,https://apps.apple.com/us/app/,4.46,301
motorcycle,9,Wheelie Life 3,https://apps.apple.com/us/app/,4.63,30*
motorcycle,10,Moto X3M Bike Race Game,https://apps.apple.com/us/app/,4.87,469*
motorcycle,11,BMX Space,https://apps.apple.com/us/app/,4.78,237
motorcycle,12,Hill Climb Racing,https://apps.apple.com/us/app/,4.72,1.3K*
motorcycle,13,Extreme Motorcycle Simulator,https://apps.apple.com/us/app/,4.83,12
motorcycle,14,Dirt Bike Unchained,https://apps.apple.com/us/app/,4.63,261
motorcycle,15,Metro Bike Rider Racing Games,https://apps.apple.com/us/app/,4.04,252
