source_keyword,related_keyword,popularity,competitiveness
equalizer,volume booster,56,60
equalizer,bass booster,55,58
equalizer,music equalizer,22,66
equalizer,flac player,5,77
equalizer,ecualizador,6,46
ringtone maker,zedge,59,46
ringtone maker,real drum,44,57
ringtone maker,ringtone,58,78
ringtone maker,ringtone maker for iphone,28,79
ringtone maker,ringtones maker,8,64
voice recorder,voice memo,61,85
voice recorder,voice memos,53,79
voice recorder,call recorder,46,67
voice recorder,audio editor,51,86
voice recorder,grabadora,34,68
voice recorder,voice,66,84
voice recorder,autotune,45,81
gif maker,gıphy,63,92
gif maker,gif maker studio,5,50
gif maker,gif maker for boomerang,5,40
gif maker,imgplay,9,85
