source_keyword,related_keyword,popularity,competitiveness
knitting,ravelry,53,92
knitting,row counter,8,64
knitting,knitting counter,5,45
knitting,knitting patterns,5,66
knitting,how to knit,5,73
knitting,knitting chart,5,49
knitting,knitting project tracker,5,65
crochet,crochet for beginners,30,66
crochet,ravelry,53,92
crochet,crochet pattern,5,75
crochet,crochet patterns,7,67
crochet,learn crochet,5,43
crochet,crochet chart,6,75
crochet,crochet row tracker,5,40
crochet,crochet patterns ai,5,40
sewing,sewing patterns,5,74
sewing,sewpal,7,70
sewing,sewing project tracker,5,69
sewing,sewing pattern tracker,5,40
origami,paper fold,9,56
origami,learn origami,5,46
origami,origami for kids,5,—
