source_keyword,related_keyword,popularity,competitiveness
crossword,cross,42,95
crossword,crossword puzzles,41,78
crossword,crossword puzzle free,59,69
crossword,crossword master,46,68
crossword,crossword challenge,8,70
crossword,codycross,6,71
crossword,today is the day,38,91
crossword,easy crossword,5,69
crossword,classic crosswords,5,54
crossword,quick crossword,5,57
crossword,crossword for ipad,5,49
crossword,crossword versus,5,45
crossword,simple crossword,5,63
crossword,crossword light,5,52
crossword,smart crossword puzzle,5,—
