source_keyword,related_keyword,popularity,competitiveness
dashcam,dascam,6,NA
dashcam,dash cam,46,63
dashcam,dash cam iphone,5,58
dashcam,dash camera,17,55
dashcam,dash cam for vehicle surveillance,NA,NA
dashcam,dash cam recorder,NA,NA
dashcam,dashboard camera,5,45
dashcam,redtiger dash cam,38,52
dashcam,tesla dashcam,5,65
dashcam,dash cam app,28,NA
dashcam,smart dashcam,5,49
dashcam,dashcam ai,5,22
dashcam,driver: driving & dash cam app,5,NA
dashcam,plex dash,8,NA
dashcam,dashcam for uber lyft,5,NA
dashcam,dash lane,5,79
dashcam,dash cam crash detection,NA,40
dashcam,dashpanel,5,49
dashcam,dashlane,9,94
dashcam,dash%20cam,5,35
dashcam,mobile dash cam,5,87
dashcam,dash%20camera,5,47
dashcam,bcuoz,5,69
dashcam,dashcommand,5,65
dashcam,dashcam: hd dash cam video,5,NA
